"day","hour","value"
1,1,1.15130894668933
2,1,1.18926581201028
3,1,1.17414115797182
4,1,1.17371105585644
5,1,1.17235318027951
6,1,1.16679118201028
7,1,1.15707399230443
1,2,1.08359078329311
2,2,1.11697705258721
3,2,1.1060476423949
4,2,1.10411978066413
5,2,1.10211362816413
6,2,1.09956882393336
7,2,1.09240014079499
1,3,1.03025956631197
2,3,1.07320073335644
3,3,1.06308771874105
4,3,1.05994729527951
5,3,1.05854767701028
6,3,1.0569021948949
7,3,1.05037293947424
1,4,0.988998817821409
2,4,1.04293394451028
3,4,1.03123228162567
4,4,1.02882385912567
5,4,1.02981454816413
6,4,1.02869770162567
7,4,1.02063170400254
1,5,0.987839804236503
2,5,1.03959552931797
3,5,1.02517538201028
4,5,1.02164877008721
5,5,1.02838908431797
6,5,1.02417940277951
7,5,1.01310547249311
1,6,1.04544379480254
2,6,1.09502847201028
3,6,1.07930750835644
4,6,1.07642561162567
5,6,1.08469254431797
6,6,1.06236928912567
7,6,1.03493162117235
1,7,1.16488300348179
2,7,1.2055109498949
3,7,1.19962165374105
4,7,1.1935669223949
5,7,1.20575766297182
6,7,1.14903600508721
7,7,1.08438164230443
1,8,1.22085107140631
2,8,1.25706396470259
3,8,1.26017547701028
4,8,1.24554810124105
5,8,1.26904700527951
6,8,1.21746840354874
7,8,1.15606271249311
1,9,1.25624751046292
2,9,1.28067475797182
3,9,1.28665335258721
4,9,1.27566586181797
5,9,1.29788277220259
6,9,1.25499133893336
7,9,1.19564373570065
1,10,1.34833927555726
2,10,1.35012361527951
3,10,1.35954558066413
4,10,1.34718201354874
5,10,1.37657247470259
6,10,1.33470602643336
7,10,1.23593310947424
1,11,1.40635179782141
2,11,1.39924219027951
3,11,1.40571525585644
4,11,1.39592768374105
5,11,1.42731149008721
6,11,1.38568708624105
7,11,1.2660433353233
1,12,1.40547425216103
2,12,1.39754453508721
3,12,1.40061174720259
4,12,1.38976250412567
5,12,1.42477988258721
6,12,1.38159457220259
7,12,1.27531678702141
1,13,1.38579334838745
2,13,1.37911715547182
3,13,1.37752406085644
4,13,1.36642284297182
5,13,1.39804790047182
6,13,1.36495715124105
7,13,1.26175817211575
1,14,1.35331419555726
2,14,1.31700723181797
3,14,1.33702420758721
4,14,1.32994077201028
5,14,1.35096807201028
6,14,1.32119326912567
7,14,1.22607156513462
1,15,1.38437673631197
2,15,1.35645182085644
3,15,1.37265716277951
4,15,1.36110569047182
5,15,1.38800138797182
6,15,1.3391152548949
7,15,1.21758403268179
1,16,1.39031388216103
2,16,1.34850715912567
3,16,1.37625421027951
4,16,1.36648879027951
5,16,1.39722951412567
6,16,1.33938755970259
7,16,1.20641510362518
1,17,1.38674696536858
2,17,1.3496096298949
3,17,1.36400222585644
4,17,1.36282277643336
5,17,1.38429051701028
6,17,1.32927753681797
7,17,1.19404457268179
1,18,1.40231611140631
2,18,1.36373757354874
3,18,1.37903488893336
4,18,1.38795577124105
5,18,1.39295788970259
6,18,1.34120608912567
7,18,1.21350256098367
1,19,1.44756077234971
2,19,1.42285243624105
3,19,1.42188985951028
4,19,1.43129924335644
5,19,1.42060509431797
6,19,1.39327443951028
7,19,1.27551683060631
1,20,1.47288033027424
2,20,1.45544376854874
3,20,1.45511061547182
4,20,1.45701628124105
5,20,1.45589435297182
6,20,1.42584637431797
7,20,1.3307771843799
1,21,1.46183963555726
2,21,1.44575144047182
3,21,1.44515368027951
4,21,1.44920326431797
5,21,1.43876867143336
6,21,1.4131733573949
7,21,1.35698139060631
1,22,1.43071586951952
2,22,1.41717224816413
3,22,1.41597921393336
4,22,1.41499216758721
5,22,1.39808454835644
6,22,1.36817005181797
7,22,1.35026658268179
1,23,1.38305670367047
2,23,1.37374712201028
3,23,1.3709500598949
4,23,1.36145428527951
5,23,1.35430185970259
6,23,1.32476738566413
7,23,1.31889232796481
1,24,1.28843051951952
2,24,1.27922692181797
3,24,1.27749708624105
4,24,1.27613978085644
5,24,1.26865150662567
6,24,1.25516756604874
7,24,1.24491570664405
