"day","hour","value"
1,1,0.11280792650566
2,1,0.114826303361538
3,1,0.114261963169231
4,1,0.115116532592308
5,1,0.114976233746154
6,1,0.115041745092308
7,1,0.113805600890566
1,2,0.106705490656604
2,2,0.108510384130769
3,2,0.108008927976923
4,2,0.1085552399
5,2,0.108687701053846
6,2,0.108597481053846
7,2,0.107552099192453
1,3,0.10244433914717
2,3,0.105208051053846
3,3,0.104580990284615
4,3,0.105063865092308
5,3,0.105038455669231
6,3,0.105002253361538
7,3,0.104068136173585
1,4,0.0990390095245283
2,4,0.102936601053846
3,4,0.102720534323077
4,4,0.102961383746154
5,4,0.102841281630769
6,4,0.102838242592308
7,4,0.101721414286792
1,5,0.0984687112226415
2,5,0.102030077976923
3,5,0.101723211823077
4,5,0.101826820476923
5,5,0.101845237592308
6,5,0.101370946823077
7,5,0.100080875984906
1,6,0.100204725184906
2,6,0.103011235476923
3,6,0.102496374515385
4,6,0.102764297015385
5,6,0.102864339707692
6,6,0.100907692015385
7,6,0.0989307269283019
1,7,0.107271446316981
2,7,0.109787151438462
3,7,0.109357903169231
4,7,0.109465641053846
5,7,0.109839512976923
6,7,0.1044564449
7,7,0.100389528815094
1,8,0.124705945562264
2,8,0.127111230284615
3,8,0.127351083553846
4,8,0.126823653938462
5,8,0.127589157592308
6,8,0.1171680449
7,8,0.108107199569811
1,9,0.154971018958491
2,9,0.1573942324
3,9,0.157155678553846
4,9,0.157293226053846
5,9,0.157810497784615
6,9,0.134753536053846
7,9,0.114079633909434
1,10,0.194060516883019
2,10,0.195576585861538
3,10,0.193605393938462
4,10,0.195193528361538
5,10,0.195425411823077
6,10,0.155272011630769
7,10,0.118502384664151
1,11,0.220619859335849
2,11,0.220420432976923
3,11,0.217653772976923
4,11,0.219732846246154
5,11,0.220372827784615
6,11,0.171546447784615
7,11,0.123905036928302
1,12,0.228232496883019
2,12,0.227492304515385
3,12,0.224447530861538
4,12,0.225293568361538
5,12,0.226807131630769
6,12,0.1774359949
7,12,0.127751803343396
1,13,0.230325695750943
2,13,0.228518543746154
3,13,0.2257708674
4,13,0.226250221053846
5,13,0.227470368361538
6,13,0.1785616074
7,13,0.128696686928302
1,14,0.228108675750943
2,14,0.222219353938462
3,14,0.223434800476923
4,14,0.223949949323077
5,14,0.225030670476923
6,14,0.174878904515385
7,14,0.12870547994717
1,15,0.225037131411321
2,15,0.219705452207692
3,15,0.2220588199
4,15,0.221723053746154
5,15,0.223759313361538
6,15,0.169194969130769
7,15,0.127971354475472
1,16,0.223979317637736
2,16,0.219166130861538
3,16,0.2209727799
4,16,0.220712463361538
5,16,0.223031757784615
6,16,0.164682571823077
7,16,0.127125536362264
1,17,0.217626030279245
2,17,0.215158050861538
3,17,0.215113500669231
4,17,0.214621164515385
5,17,0.215836902015385
6,17,0.157301103169231
7,17,0.125526443343396
1,18,0.201661260090566
2,18,0.199485497976923
3,18,0.199699400669231
4,18,0.198055936053846
5,18,0.199792737207692
6,18,0.150707672784615
7,18,0.126325449758491
1,19,0.180235613486792
2,19,0.178962074515385
3,19,0.179081274130769
4,19,0.178188947976923
5,19,0.178842601823077
6,19,0.150249784515385
7,19,0.133939322588679
1,20,0.167020437637736
2,20,0.166059113361538
3,20,0.167191747592308
4,20,0.166039359323077
5,20,0.166446621053846
6,20,0.150603421438462
7,20,0.141330149569811
1,21,0.1516978416
2,21,0.151442638361538
3,21,0.152223405861538
4,21,0.151676268169231
5,21,0.151529831438462
6,21,0.143863463938462
7,21,0.139522846173585
1,22,0.141484106883019
2,22,0.140406020476923
3,22,0.141389040092308
4,22,0.141462701053846
5,22,0.140718308938462
6,22,0.136300515476923
7,22,0.134738356362264
1,23,0.13333002669434
2,23,0.1325182974
3,23,0.133623499515385
4,23,0.133558250861538
5,23,0.1330852324
6,23,0.129824024130769
7,23,0.12924170749434
1,24,0.12407932669434
2,24,0.123772879515385
3,24,0.1247744999
4,24,0.1245907349
5,24,0.1245173074
6,24,0.122846434707692
7,24,0.121646555984906
