"","Time","winter_in_Megawatts","summer_in_Megawatts","monsoon_in_Megawatts","fall_in_Megawatts"
"1","00:00 - 00:15",672.569249261306,1574.77088274438,1607.43627289457,880.397253387273
"2","00:15 - 00:30",647.225979290461,1559.28183730749,1583.40815715544,860.131794808038
"3","00:30 - 00:45",626.71298477151,1542.39750216186,1561.3828814453,843.632513933721
"4","00:45 - 01:00",610.094405996,1526.0263687638,1540.59556034385,828.190841693284
"5","01:00 - 01:15",595.967504654892,1507.8205495405,1515.91240315544,814.272863332628
"6","01:15 - 01:30",585.101345704455,1492.18422216186,1495.24080130037,803.183547376344
"7","01:30 - 01:45",577.301625121364,1476.66470837545,1478.0581648366,794.350747922792
"8","01:45 - 02:00",570.643807745271,1462.74090138516,1463.22193251776,786.665552075798
"9","02:00 - 02:15",565.384061506204,1449.66635653079,1447.24433979312,779.919715573065
"10","02:15 - 02:30",560.608756433318,1437.84671458904,1432.07398953225,773.367024425524
"11","02:30 - 02:45",557.343802847312,1425.10505536574,1414.37630269168,767.745949671426
"12","02:45 - 03:00",555.16144238084,1412.65203342399,1399.78188808298,763.410457977437
"13","03:00 - 03:15",555.447408678216,1400.41498915215,1387.25276689457,760.025871201481
"14","03:15 - 03:30",555.438779873551,1386.14720099681,1373.37999240182,756.873449015688
"15","03:30 - 03:45",558.037351535359,1374.68059672496,1361.99005819892,755.625963551207
"16","03:45 - 04:00",563.065318182589,1363.6811448803,1351.96227750327,756.501472075798
"17","04:00 - 04:15",575.378359698624,1353.2828918706,1341.55251251776,762.26860846924
"18","04:15 - 04:30",586.848758998915,1339.76754546283,1330.76566150327,767.803961802573
"19","04:30 - 04:45",603.178613342939,1328.89605478322,1321.0238130395,776.16092857853
"20","04:45 - 05:00",627.271391068886,1320.23732293856,1312.27831550327,789.261192950114
"21","05:00 - 05:15",669.653352934775,1315.53251342399,1307.23807730037,813.494073824431
"22","05:15 - 05:30",713.686632235067,1301.11567400652,1297.62211825689,839.191790327164
"23","05:30 - 05:45",768.845704654892,1289.74486526865,1290.30739825689,872.8948141523
"24","05:45 - 06:00",832.369456958099,1284.05935381234,1286.7558750395,911.116487376344
"25","06:00 - 06:15",913.716032701539,1281.92118255021,1291.10376257573,957.378845081262
"26","06:15 - 06:30",985.982214742356,1274.36603400652,1287.44426167718,992.19022289547
"27","06:30 - 06:45",1050.72003060241,1268.76981284147,1284.1374318511,1019.73375437088
"28","06:45 - 07:00",1108.86305905722,1260.71103886089,1278.70144243081,1039.54623295011
"29","07:00 - 07:15",1165.96853378659,1255.79768332691,1274.56469298153,1053.45917065503
"30","07:15 - 07:30",1204.47508072536,1246.61393439487,1268.09086422791,1056.01945087361
"31","07:30 - 07:45",1228.74371011312,1242.5145295405,1263.90353448878,1054.0564193982
"32","07:45 - 08:00",1247.39992842216,1240.97133808419,1261.57800680762,1052.86351327798
"33","08:00 - 08:15",1261.98216716218,1241.65566585118,1263.77976472066,1055.20120650203
"34","08:15 - 08:30",1270.97184541291,1246.51110390943,1270.51802872066,1060.34050923427
"35","08:30 - 08:45",1273.46183480066,1256.47504526865,1284.22089245979,1066.7399793982
"36","08:45 - 09:00",1276.14538302224,1274.59992235603,1302.24249411197,1074.75876322334
"37","09:00 - 09:15",1277.96513194352,1305.39770022011,1332.19681738733,1087.47398038181
"38","09:15 - 09:30",1283.89566978609,1337.83716662788,1367.01446550327,1105.10954453481
"39","09:30 - 09:45",1289.14603200183,1370.41861633662,1399.29299628588,1120.52865316869
"40","09:45 - 10:00",1290.02680692894,1400.33204779293,1429.25147648878,1133.41635710312
"41","10:00 - 10:15",1285.35059398434,1427.26483128807,1453.78726816994,1141.52969021787
"42","10:15 - 10:30",1276.92643620008,1447.13069672496,1468.76470993805,1145.49635535449
"43","10:30 - 10:45",1264.44383995518,1463.13958449195,1479.88618396704,1146.62961032716
"44","10:45 - 11:00",1249.61297161699,1475.30638041428,1491.39058854675,1141.48914070968
"45","11:00 - 11:15",1229.36647622341,1483.45267536574,1497.02448141631,1137.77205874246
"46","11:15 - 11:30",1212.25514139775,1494.6773879871,1503.97330179312,1134.19106398837
"47","11:30 - 11:45",1193.94109614994,1502.39433051137,1510.6751332424,1129.86458213044
"48","11:45 - 12:00",1174.82453370096,1510.37269284147,1516.28200272066,1125.78729688454
"49","12:00 - 12:15",1150.62260049979,1519.24394235603,1519.05415953225,1119.98231480804
"50","12:15 - 12:30",1130.37062872136,1526.37343555992,1521.96991599602,1113.8157404911
"51","12:30 - 12:45",1111.91907688463,1533.34677653079,1524.32426098153,1106.04797786815
"52","12:45 - 13:00",1088.04649717617,1536.33914507448,1525.24513425689,1092.57279032716
"53","13:00 - 13:15",1047.02945134527,1525.09649012302,1508.18002057573,1064.94224497197
"54","13:15 - 13:30",1022.74283198667,1526.52559594827,1505.74997048878,1052.36309404301
"55","13:30 - 13:45",1015.34951746772,1540.30291594827,1516.94334918443,1054.24554289547
"56","13:45 - 14:00",1011.27446405664,1557.00633420069,1535.18414640182,1057.3179489064
"57","14:00 - 14:15",1006.94721041233,1576.45830526865,1551.92691567718,1061.96157830531
