"","Average Energy Supply in mWs in summer from BRPL"
"00:00 - 00:15",1574.77088274438
"00:15 - 00:30",1559.28183730749
"00:30 - 00:45",1542.39750216186
"00:45 - 01:00",1526.0263687638
"01:00 - 01:15",1507.8205495405
"01:15 - 01:30",1492.18422216186
"01:30 - 01:45",1476.66470837545
"01:45 - 02:00",1462.74090138516
"02:00 - 02:15",1449.66635653079
"02:15 - 02:30",1437.84671458904
"02:30 - 02:45",1425.10505536574
"02:45 - 03:00",1412.65203342399
"03:00 - 03:15",1400.41498915215
"03:15 - 03:30",1386.14720099681
"03:30 - 03:45",1374.68059672496
"03:45 - 04:00",1363.6811448803
"04:00 - 04:15",1353.2828918706
"04:15 - 04:30",1339.76754546283
"04:30 - 04:45",1328.89605478322
"04:45 - 05:00",1320.23732293856
"05:00 - 05:15",1315.53251342399
"05:15 - 05:30",1301.11567400652
"05:30 - 05:45",1289.74486526865
"05:45 - 06:00",1284.05935381234
"06:00 - 06:15",1281.92118255021
"06:15 - 06:30",1274.36603400652
"06:30 - 06:45",1268.76981284147
"06:45 - 07:00",1260.71103886089
"07:00 - 07:15",1255.79768332691
"07:15 - 07:30",1246.61393439487
"07:30 - 07:45",1242.5145295405
"07:45 - 08:00",1240.97133808419
"08:00 - 08:15",1241.65566585118
"08:15 - 08:30",1246.51110390943
"08:30 - 08:45",1256.47504526865
"08:45 - 09:00",1274.59992235603
"09:00 - 09:15",1305.39770022011
"09:15 - 09:30",1337.83716662788
"09:30 - 09:45",1370.41861633662
"09:45 - 10:00",1400.33204779293
"10:00 - 10:15",1427.26483128807
"10:15 - 10:30",1447.13069672496
"10:30 - 10:45",1463.13958449195
"10:45 - 11:00",1475.30638041428
"11:00 - 11:15",1483.45267536574
"11:15 - 11:30",1494.6773879871
"11:30 - 11:45",1502.39433051137
"11:45 - 12:00",1510.37269284147
"12:00 - 12:15",1519.24394235603
"12:15 - 12:30",1526.37343555992
"12:30 - 12:45",1533.34677653079
"12:45 - 13:00",1536.33914507448
"13:00 - 13:15",1525.09649012302
"13:15 - 13:30",1526.52559594827
"13:30 - 13:45",1540.30291594827
"13:45 - 14:00",1557.00633420069
"14:00 - 14:15",1576.45830526865
"14:15 - 14:30",1591.70812552108
"14:30 - 14:45",1609.79987769584
"14:45 - 15:00",1620.30287517157
"15:00 - 15:15",1627.77867070555
"15:15 - 15:30",1629.37426313273
"15:30 - 15:45",1626.83261614244
"15:45 - 16:00",1625.44463381234
"16:00 - 16:15",1621.12236293856
"16:15 - 16:30",1613.45249769584
"16:30 - 16:45",1602.6520510939
"16:45 - 17:00",1589.42428429778
"17:00 - 17:15",1573.98920041428
"17:15 - 17:30",1553.97313381234
"17:30 - 17:45",1534.66600352108
"17:45 - 18:00",1520.4061487638
"18:00 - 18:15",1501.90723089972
"18:15 - 18:30",1488.80635089972
"18:30 - 18:45",1485.9297510939
"18:45 - 19:00",1496.55998235603
"19:00 - 19:15",1510.63408410361
"19:15 - 19:30",1534.7116703172
"19:30 - 19:45",1555.4218295405
"19:45 - 20:00",1572.97317089972
"20:00 - 20:15",1580.71257789001
"20:15 - 20:30",1589.11354682205
"20:30 - 20:45",1592.94974623953
"20:45 - 21:00",1598.47935769584
"21:00 - 21:15",1595.96749478322
"21:15 - 21:30",1609.36659983176
"21:30 - 21:45",1620.61634973467
"21:45 - 22:00",1633.37262080263
"22:00 - 22:15",1637.89557750166
"22:15 - 22:30",1648.96347789001
"22:30 - 22:45",1655.15910740458
"22:45 - 23:00",1655.99100080263
"23:00 - 23:15",1644.30079051137
"23:15 - 23:30",1636.95820293856
"23:30 - 23:45",1626.01937439487
"23:45 - 24:00",1611.9006864337
"TOTAL IN Mus",35.5249197386953
