Time,winter_in_Megawatts,summer_in_Megawatts,monsoon_in_Megawatts,fall_in_Megawatts
00:00 - 00:15,376.122778892128,860.28515961165,888.709996284376,515.077842289126
00:15 - 00:30,358.54978122449,848.942136796117,877.462131501768,503.780325786393
00:30 - 00:45,345.752353119534,840.020146699029,866.746247009014,493.016254092404
00:45 - 01:00,333.507830204082,830.470900679612,854.352799037999,482.842535622459
01:00 - 01:15,322.502987405248,818.010725048544,839.491938023507,472.863529065082
01:15 - 01:30,314.939289212828,809.17601,829.046175269884,464.90490108694
01:30 - 01:45,308.812766763848,800.135620485437,819.382344110463,458.227070923005
01:45 - 02:00,303.57733212828,791.832541165048,810.439504110463,452.107228737213
02:00 - 02:15,299.093740174927,783.468014854369,800.539492226405,447.119727097869
02:15 - 02:30,295.109386588921,775.215861067961,791.795433820608,442.209841196229
02:30 - 02:45,291.773586938776,766.790012038835,781.755266864086,437.818727972186
02:45 - 03:00,288.928914169096,760.754995436893,774.036695704666,433.438216933934
03:00 - 03:15,286.424219241982,752.545968640777,766.636513965536,429.160640540492
03:15 - 03:30,284.707337609329,744.221633980583,759.641511646695,425.426682944863
03:30 - 03:45,284.282506122449,736.934904174757,753.011718168434,422.741291688033
03:45 - 04:00,285.12682425656,730.156254368932,745.786069762637,420.991642507705
04:00 - 04:15,288.748154285714,722.890197087379,737.249616719159,420.927285349235
04:15 - 04:30,293.160129795918,714.736236893204,728.792847443797,421.1940551853
04:30 - 04:45,300.924370145773,709.210952038835,722.900698168434,424.821609283661
04:45 - 05:00,312.842018425656,706.053030194175,718.072254110463,430.158621961257
05:00 - 05:15,333.766664723032,705.469085145631,715.917296139449,440.750009939399
05:15 - 05:30,357.53804851312,703.117901067961,713.138487443797,454.111104584208
05:30 - 05:45,388.606097026239,701.337621456311,713.447145704666,472.082599884754
05:45 - 06:00,426.83100851312,704.375898058252,715.865171066985,492.855647097869
06:00 - 06:15,475.774731661808,714.53765631068,726.338693820608,520.654617371093
06:15 - 06:30,523.187529329446,721.026826893204,734.526904545246,547.797573218087
06:30 - 06:45,565.958356734694,726.294978349515,741.627633240898,570.389541305519
06:45 - 07:00,604.831694577259,728.262986019417,744.442544835101,589.103829392951
07:00 - 07:15,640.305912186589,728.740813592233,745.120494400318,601.50609824541
07:15 - 07:30,669.500863556851,726.23552815534,743.043572371333,606.16003245306
07:30 - 07:45,689.995973294461,725.625043398058,742.808663530753,609.620644256339
07:45 - 08:00,705.20199696793,725.782078737864,743.935680922057,612.591441633388
08:00 - 08:15,716.464709504373,727.797267378641,746.461959907565,616.4247751853
08:15 - 08:30,721.559827521866,728.227670097087,748.382808603217,617.56246961153
08:30 - 08:45,723.723618425656,729.800613592233,751.020343530753,619.330854529563
