"","Average Energy Consumption in MUs in summer from BYPL"
"00:00 - 00:15",860.28515961165
"00:15 - 00:30",848.942136796117
"00:30 - 00:45",840.020146699029
"00:45 - 01:00",830.470900679612
"01:00 - 01:15",818.010725048544
"01:15 - 01:30",809.17601
"01:30 - 01:45",800.135620485437
"01:45 - 02:00",791.832541165048
"02:00 - 02:15",783.468014854369
"02:15 - 02:30",775.215861067961
"02:30 - 02:45",766.790012038835
"02:45 - 03:00",760.754995436893
"03:00 - 03:15",752.545968640777
"03:15 - 03:30",744.221633980583
"03:30 - 03:45",736.934904174757
"03:45 - 04:00",730.156254368932
"04:00 - 04:15",722.890197087379
"04:15 - 04:30",714.736236893204
"04:30 - 04:45",709.210952038835
"04:45 - 05:00",706.053030194175
"05:00 - 05:15",705.469085145631
"05:15 - 05:30",703.117901067961
"05:30 - 05:45",701.337621456311
"05:45 - 06:00",704.375898058252
"06:00 - 06:15",714.53765631068
"06:15 - 06:30",721.026826893204
"06:30 - 06:45",726.294978349515
"06:45 - 07:00",728.262986019417
"07:00 - 07:15",728.740813592233
"07:15 - 07:30",726.23552815534
"07:30 - 07:45",725.625043398058
"07:45 - 08:00",725.782078737864
"08:00 - 08:15",727.797267378641
"08:15 - 08:30",728.227670097087
"08:30 - 08:45",729.800613592233
"08:45 - 09:00",734.206463398058
"09:00 - 09:15",745.02510592233
"09:15 - 09:30",761.849371941748
"09:30 - 09:45",778.522509029126
"09:45 - 10:00",794.976618834951
"10:00 - 10:15",808.028371941748
"10:15 - 10:30",820.608394271845
"10:30 - 10:45",833.036142621359
"10:45 - 11:00",844.630081941748
"11:00 - 11:15",852.809758932039
"11:15 - 11:30",859.618895728155
"11:30 - 11:45",864.661465825243
"11:45 - 12:00",872.814026407767
"12:00 - 12:15",878.941270388349
"12:15 - 12:30",883.433258058252
"12:30 - 12:45",887.229136699029
"12:45 - 13:00",885.632496213592
"13:00 - 13:15",877.758640349515
"13:15 - 13:30",875.378696019417
"13:30 - 13:45",880.533893184466
"13:45 - 14:00",889.607049456311
"14:00 - 14:15",899.549183223301
"14:15 - 14:30",908.504262776699
"14:30 - 14:45",919.315660291262
"14:45 - 15:00",923.838913708738
"15:00 - 15:15",929.131827281553
"15:15 - 15:30",929.198878737864
"15:30 - 15:45",927.407943980583
"15:45 - 16:00",925.587785825243
"16:00 - 16:15",927.678272970874
"16:15 - 16:30",923.528719165049
"16:30 - 16:45",919.322211320388
"16:45 - 17:00",914.755098116505
"17:00 - 17:15",910.894332504854
"17:15 - 17:30",903.822285669903
"17:30 - 17:45",897.378834854369
"17:45 - 18:00",893.788864776699
"18:00 - 18:15",889.703204990291
"18:15 - 18:30",887.655280582524
"18:30 - 18:45",889.009972796116
"18:45 - 19:00",894.872176796116
"19:00 - 19:15",900.275322582524
"19:15 - 19:30",908.152869456311
"19:30 - 19:45",913.903186912621
"19:45 - 20:00",917.187529378641
"20:00 - 20:15",913.759916330097
"20:15 - 20:30",909.49220584466
"20:30 - 20:45",903.039473281553
"20:45 - 21:00",897.61365823301
"21:00 - 21:15",888.911928757282
"21:15 - 21:30",889.387962174757
"21:30 - 21:45",894.273919417476
"21:45 - 22:00",901.662364407767
"22:00 - 22:15",906.03227992233
"22:15 - 22:30",913.193598834951
"22:30 - 22:45",916.949057902913
"22:45 - 23:00",917.055709883495
"23:00 - 23:15",909.395947378641
"23:15 - 23:30",904.582707398058
"23:30 - 23:45",896.470259223301
"23:45 - 24:00",885.452924621359
"TOTAL IN Mus",20.0573803622476
