"","Average Energy Supply in mWs in fall from MES"
"00:00 - 00:15",14.535868852459
"00:15 - 00:30",14.3424699453552
"00:30 - 00:45",14.2006338797814
"00:45 - 01:00",14.0754754098361
"01:00 - 01:15",13.9664262295082
"01:15 - 01:30",13.8789508196721
"01:30 - 01:45",13.8180546448087
"01:45 - 02:00",13.7675628415301
"02:00 - 02:15",13.731825136612
"02:15 - 02:30",13.6849398907104
"02:30 - 02:45",13.6607868852459
"02:45 - 03:00",13.6604153005464
"03:00 - 03:15",13.6835409836066
"03:15 - 03:30",13.6833224043716
"03:30 - 03:45",13.7172677595628
"03:45 - 04:00",13.7995409836066
"04:00 - 04:15",14.0415737704918
"04:15 - 04:30",14.3251803278689
"04:30 - 04:45",14.8351256830601
"04:45 - 05:00",15.5845464480874
"05:00 - 05:15",16.9588196721311
"05:15 - 05:30",18.459650273224
"05:30 - 05:45",20.0200218579235
"05:45 - 06:00",21.412262295082
"06:00 - 06:15",22.5308415300546
"06:15 - 06:30",23.292306010929
"06:30 - 06:45",23.8535081967213
"06:45 - 07:00",24.3684371584699
"07:00 - 07:15",24.6745276502732
"07:15 - 07:30",24.6781298360656
"07:30 - 07:45",24.6231099453552
"07:45 - 08:00",24.6115908196721
"08:00 - 08:15",24.6086487431694
"08:15 - 08:30",24.5650819672131
"08:30 - 08:45",24.5737049180328
"08:45 - 09:00",24.4999071038251
"09:00 - 09:15",24.4645519125683
"09:15 - 09:30",24.423956284153
"09:30 - 09:45",24.3715409836066
"09:45 - 10:00",24.3139453551913
"10:00 - 10:15",24.1301420765027
"10:15 - 10:30",23.9034972677596
"10:30 - 10:45",23.6682404371585
"10:45 - 11:00",23.3289398907104
"11:00 - 11:15",23.0791038251366
"11:15 - 11:30",22.9094574863388
"11:30 - 11:45",22.8648249180328
"11:45 - 12:00",22.8039016393443
"12:00 - 12:15",22.7054963934426
"12:15 - 12:30",22.5450810928962
"12:30 - 12:45",22.3529412021858
"12:45 - 13:00",22.1523656830601
"13:00 - 13:15",21.7825954098361
"13:15 - 13:30",21.1536402185792
"13:30 - 13:45",20.4093328961749
"13:45 - 14:00",19.8378655737705
"14:00 - 14:15",19.3198684153005
"14:15 - 14:30",18.8994968306011
"14:30 - 14:45",18.4422797814208
"14:45 - 15:00",18.0410627322404
"15:00 - 15:15",17.7339890710383
"15:15 - 15:30",17.5461639344262
"15:30 - 15:45",17.5174207650273
"15:45 - 16:00",17.6314754098361
"16:00 - 16:15",17.9222076502732
"16:15 - 16:30",18.1986448087432
"16:30 - 16:45",18.6626885245902
"16:45 - 17:00",19.3412021857924
"17:00 - 17:15",20.2621639344262
"17:15 - 17:30",21.1645464480874
"17:30 - 17:45",22.1918032786885
"17:45 - 18:00",23.500349726776
"18:00 - 18:15",24.6207650273224
"18:15 - 18:30",25.2379672131148
"18:30 - 18:45",25.368262295082
"18:45 - 19:00",25.336306010929
"19:00 - 19:15",25.2253989071038
"19:15 - 19:30",25.0606557377049
"19:30 - 19:45",24.9667978142076
"19:45 - 20:00",24.8019890710382
"20:00 - 20:15",24.4833879781421
"20:15 - 20:30",24.1747322404372
"20:30 - 20:45",23.7650491803279
"20:45 - 21:00",23.2479344262295
"21:00 - 21:15",22.4775737704918
"21:15 - 21:30",21.7986010928962
"21:30 - 21:45",21.0583825136612
"21:45 - 22:00",20.1856393442623
"22:00 - 22:15",19.0991475409836
"22:15 - 22:30",18.2042841530055
"22:30 - 22:45",17.4148633879781
"22:45 - 23:00",16.7185136612022
"23:00 - 23:15",16.0486775956284
"23:15 - 23:30",15.5330928961749
"23:30 - 23:45",15.1173333333333
"23:45 - 24:00",14.7786666666667
"TOTAL IN Mus",0.481756215519126
