Time,winter_in_Megawatts,summer_in_Megawatts,monsoon_in_Megawatts,fall_in_Megawatts
00:00 - 00:15,17.8279673469388,23.5989931067961,24.4978,14.535868852459
00:15 - 00:30,17.4420239067055,23.5004357281553,24.3152405797101,14.3424699453552
00:30 - 00:45,17.1729531195335,23.4003908737864,24.1534876811594,14.2006338797814
00:45 - 01:00,16.9853653644315,23.2672850485437,24.0209413043478,14.0754754098361
01:00 - 01:15,16.85416303207,23.1178968932039,23.7754514492754,13.9664262295082
01:15 - 01:30,16.7323839067055,22.9515237864078,23.6017594202899,13.8789508196721
01:30 - 01:45,16.6491952186589,22.8300954368932,23.47655,13.8180546448087
01:45 - 02:00,16.5847001749271,22.757507184466,23.3900036231884,13.7675628415301
02:00 - 02:15,16.5627567346939,22.6539445631068,23.255115942029,13.731825136612
02:15 - 02:30,16.5339678134111,22.5835277669903,23.144302173913,13.6849398907104
02:30 - 02:45,16.5122611078717,22.5237826213592,22.9723963768116,13.6607868852459
02:45 - 03:00,16.5281339941691,22.4746175728155,22.8691884057971,13.6604153005464
03:00 - 03:15,16.6135835568513,22.385784368932,22.801965942029,13.6835409836066
03:15 - 03:30,16.6528080466472,22.2651866019417,22.6698565217391,13.6833224043716
03:30 - 03:45,16.7451972011662,22.1954503883495,22.5955514492754,13.7172677595628
03:45 - 04:00,16.9621678134111,22.1468533009709,22.526281884058,13.7995409836066
04:00 - 04:15,17.4640662390671,22.098827184466,22.4699086956522,14.0415737704918
04:15 - 04:30,17.900663090379,22.0679882524272,22.4911144927536,14.3251803278689
04:30 - 04:45,18.6268469970845,22.1768402912621,22.6172050724638,14.8351256830601
04:45 - 05:00,19.7191304956268,22.3867346601942,22.8487666666667,15.5845464480874
05:00 - 05:15,21.7845226822157,22.8055311650485,23.4199550724638,16.9588196721311
05:15 - 05:30,23.7667774927114,22.9999091262136,23.9998144927536,18.459650273224
05:30 - 05:45,26.1310900291545,23.309477961165,24.5441333333333,20.0200218579235
05:45 - 06:00,28.4652499125364,23.7515705825243,24.9960768115942,21.412262295082
06:00 - 06:15,30.7310937609329,24.1619438834951,25.5045173913043,22.5308415300546
06:15 - 06:30,32.4302064139942,24.3803363106796,25.6435572463768,23.292306010929
06:30 - 06:45,33.7212248396501,24.5353791262136,25.75145,23.8535081967213
06:45 - 07:00,34.7360174927114,24.6574483495146,25.9991942028986,24.3684371584699
