"","Average Energy Consumption in MUs in summer from MES"
"00:00 - 00:15",23.5989931067961
"00:15 - 00:30",23.5004357281553
"00:30 - 00:45",23.4003908737864
"00:45 - 01:00",23.2672850485437
"01:00 - 01:15",23.1178968932039
"01:15 - 01:30",22.9515237864078
"01:30 - 01:45",22.8300954368932
"01:45 - 02:00",22.757507184466
"02:00 - 02:15",22.6539445631068
"02:15 - 02:30",22.5835277669903
"02:30 - 02:45",22.5237826213592
"02:45 - 03:00",22.4746175728155
"03:00 - 03:15",22.385784368932
"03:15 - 03:30",22.2651866019417
"03:30 - 03:45",22.1954503883495
"03:45 - 04:00",22.1468533009709
"04:00 - 04:15",22.098827184466
"04:15 - 04:30",22.0679882524272
"04:30 - 04:45",22.1768402912621
"04:45 - 05:00",22.3867346601942
"05:00 - 05:15",22.8055311650485
"05:15 - 05:30",22.9999091262136
"05:30 - 05:45",23.309477961165
"05:45 - 06:00",23.7515705825243
"06:00 - 06:15",24.1619438834951
"06:15 - 06:30",24.3803363106796
"06:30 - 06:45",24.5353791262136
"06:45 - 07:00",24.6574483495146
"07:00 - 07:15",24.7920778640777
"07:15 - 07:30",25.0257323300971
"07:30 - 07:45",25.4898027184466
"07:45 - 08:00",25.977814368932
"08:00 - 08:15",26.6071963106796
"08:15 - 08:30",27.2874991262136
"08:30 - 08:45",27.8575482524272
"08:45 - 09:00",28.3151033009709
"09:00 - 09:15",28.7297942718447
"09:15 - 09:30",29.0497639805825
"09:30 - 09:45",29.3143422330097
"09:45 - 10:00",29.5711094174757
"10:00 - 10:15",29.751397961165
"10:15 - 10:30",29.880863592233
"10:30 - 10:45",29.9538695145631
"10:45 - 11:00",29.9090866019417
"11:00 - 11:15",30.0103650485437
"11:15 - 11:30",30.1981605825243
"11:30 - 11:45",30.2487572815534
"11:45 - 12:00",30.3474122330097
"12:00 - 12:15",30.4358747572816
"12:15 - 12:30",30.5216486407767
"12:30 - 12:45",30.527222038835
"12:45 - 13:00",30.585737961165
"13:00 - 13:15",30.3829642718447
"13:15 - 13:30",30.1715323300971
"13:30 - 13:45",29.4704302912621
"13:45 - 14:00",29.0803459223301
"14:00 - 14:15",28.8778246601942
"14:15 - 14:30",28.6066027184466
"14:30 - 14:45",28.3563275728155
"14:45 - 15:00",27.93646
"15:00 - 15:15",27.7357636893204
"15:15 - 15:30",27.6163411650485
"15:30 - 15:45",27.5756378640777
"15:45 - 16:00",27.4862122330097
"16:00 - 16:15",27.4431123300971
"16:15 - 16:30",27.3692926213592
"16:30 - 16:45",27.3700105825243
"16:45 - 17:00",27.3715741747573
"17:00 - 17:15",27.3452568932039
"17:15 - 17:30",27.1286815533981
"17:30 - 17:45",26.7250859223301
"17:45 - 18:00",26.2455801941748
"18:00 - 18:15",25.6620276699029
"18:15 - 18:30",25.2930112621359
"18:30 - 18:45",25.2409940776699
"18:45 - 19:00",25.5887814563107
"19:00 - 19:15",26.0831666990291
"19:15 - 19:30",26.8817048543689
"19:30 - 19:45",27.6318976699029
"19:45 - 20:00",28.3503249514563
"20:00 - 20:15",28.7982710679612
"20:15 - 20:30",29.0891495145631
"20:30 - 20:45",29.2060895145631
"20:45 - 21:00",29.1365711650485
"21:00 - 21:15",28.8455330097087
"21:15 - 21:30",28.5980833980583
"21:30 - 21:45",28.2207547572816
"21:45 - 22:00",27.788704368932
"22:00 - 22:15",27.1366023300971
"22:15 - 22:30",26.6670818446602
"22:30 - 22:45",26.1120798058252
"22:45 - 23:00",25.6528570873786
"23:00 - 23:15",25.058373592233
"23:15 - 23:30",24.6709991262136
"23:30 - 23:45",24.3939812621359
"23:45 - 24:00",24.190104368932
"TOTAL IN Mus",0.634741406092233
