"","Average Energy Supply in mWs in monsoon from NDMC"
"00:00 - 00:15",143.282354439721
"00:15 - 00:30",140.675012120881
"00:30 - 00:45",138.563865164359
"00:45 - 01:00",136.716596903489
"01:00 - 01:15",134.658302120881
"01:15 - 01:30",132.981770816533
"01:30 - 01:45",131.5897174832
"01:45 - 02:00",130.17822806291
"02:00 - 02:15",128.972512120881
"02:15 - 02:30",127.946844584649
"02:30 - 02:45",126.854842265808
"02:45 - 03:00",125.824105888997
"03:00 - 03:15",124.958566178852
"03:15 - 03:30",124.066050091895
"03:30 - 03:45",123.366262990446
"03:45 - 04:00",122.798574729576
"04:00 - 04:15",122.204533860011
"04:15 - 04:30",121.648768207837
"04:30 - 04:45",121.220592845518
"04:45 - 05:00",121.210572555663
"05:00 - 05:15",121.112217628127
"05:15 - 05:30",120.343846468707
"05:30 - 05:45",119.132958207837
"05:45 - 06:00",117.819772845518
"06:00 - 06:15",118.120251396243
"06:15 - 06:30",119.645924729576
"06:30 - 06:45",122.427318932475
"06:45 - 07:00",125.960394294794
"07:00 - 07:15",130.563068497692
"07:15 - 07:30",135.646820526678
"07:30 - 07:45",141.876534584649
"07:45 - 08:00",148.734309077402
"08:00 - 08:15",157.030022410736
"08:15 - 08:30",166.727097628127
"08:30 - 08:45",177.109897773055
"08:45 - 09:00",187.80245038175
"09:00 - 09:15",198.82058096146
"09:15 - 09:30",209.704919657113
"09:30 - 09:45",220.357075309286
"09:45 - 10:00",228.971678787547
"10:00 - 10:15",236.571137628127
"10:15 - 10:30",241.95725038175
"10:30 - 10:45",245.657160091895
"10:45 - 11:00",248.665207048417
"11:00 - 11:15",250.637530526678
"11:15 - 11:30",251.84291038175
"11:30 - 11:45",252.851798932475
"11:45 - 12:00",253.524553135373
"12:00 - 12:15",254.400529657113
"12:15 - 12:30",254.461028787547
"12:30 - 12:45",254.451104874504
"12:45 - 13:00",254.134424874504
"13:00 - 13:15",254.236580236823
"13:15 - 13:30",252.6566074832
"13:30 - 13:45",251.157204584649
"13:45 - 14:00",250.051630816533
"14:00 - 14:15",249.825252410736
"14:15 - 14:30",250.077318352765
"14:30 - 14:45",250.796933570156
"14:45 - 15:00",250.308869657113
"15:00 - 15:15",249.765088497692
"15:15 - 15:30",248.343060671605
"15:30 - 15:45",247.742191686098
"15:45 - 16:00",246.17148806291
"16:00 - 16:15",245.375257048417
"16:15 - 16:30",243.509263280301
"16:30 - 16:45",241.251592265808
"16:45 - 17:00",238.10145980204
"17:00 - 17:15",233.777409077402
"17:15 - 17:30",226.917900236823
"17:30 - 17:45",218.775292845518
"17:45 - 18:00",210.567339946968
"18:00 - 18:15",203.561770526678
"18:15 - 18:30",197.826833135373
"18:30 - 18:45",193.964439367257
"18:45 - 19:00",191.391697628127
"19:00 - 19:15",189.33319038175
"19:15 - 19:30",187.348601541171
"19:30 - 19:45",184.777921541171
"19:45 - 20:00",181.369901251315
"20:00 - 20:15",176.917198497692
"20:15 - 20:30",173.131083135373
"20:30 - 20:45",170.097224874504
"20:45 - 21:00",167.283878787547
"21:00 - 21:15",164.308691251315
"21:15 - 21:30",162.526892845518
"21:30 - 21:45",161.100806468707
"21:45 - 22:00",160.017923280301
"22:00 - 22:15",158.328175019431
"22:15 - 22:30",157.119125309286
"22:30 - 22:45",156.214316323779
"22:45 - 23:00",154.853639512185
"23:00 - 23:15",152.725714874504
"23:15 - 23:30",150.51411980204
"23:30 - 23:45",148.136739077402
"23:45 - 24:00",145.7582874832
"TOTAL IN Mus",4.39869894057505
