"","Average Energy Supply in mWs in monsoon from NDPL"
"00:00 - 00:15",1063.76570792029
"00:15 - 00:30",1050.30106177536
"00:30 - 00:45",1037.10954806522
"00:45 - 01:00",1023.24890800725
"01:00 - 01:15",1004.91758099275
"01:15 - 01:30",991.443383282609
"01:30 - 01:45",980.875631050725
"01:45 - 02:00",970.29006423913
"02:00 - 02:15",958.38184392029
"02:15 - 02:30",947.138557224638
"02:30 - 02:45",934.211088702898
"02:45 - 03:00",921.96553592029
"03:00 - 03:15",909.283758702898
"03:15 - 03:30",897.894712036232
"03:30 - 03:45",888.763324210145
"03:45 - 04:00",880.203622876811
"04:00 - 04:15",869.875867427536
"04:15 - 04:30",860.945028586956
"04:30 - 04:45",853.243487485507
"04:45 - 05:00",846.052011543478
"05:00 - 05:15",840.771056413043
"05:15 - 05:30",834.883925891304
"05:30 - 05:45",830.769847050725
"05:45 - 06:00",826.545150413043
"06:00 - 06:15",827.933459833333
"06:15 - 06:30",827.514810297101
"06:30 - 06:45",827.266028673913
"06:45 - 07:00",825.747762586956
"07:00 - 07:15",825.495962181159
"07:15 - 07:30",826.560023543478
"07:30 - 07:45",828.259498210145
"07:45 - 08:00",829.577666326087
"08:00 - 08:15",830.642211166667
"08:15 - 08:30",834.788657601449
"08:30 - 08:45",841.219122992754
"08:45 - 09:00",849.288249601449
"09:00 - 09:15",866.055747485507
"09:15 - 09:30",901.840242413043
"09:30 - 09:45",943.415545833333
"09:45 - 10:00",974.764493166667
"10:00 - 10:15",998.791484094203
"10:15 - 10:30",1016.66620015217
"10:30 - 10:45",1029.61858597826
"10:45 - 11:00",1040.34296386232
"11:00 - 11:15",1047.87973678986
"11:15 - 11:30",1052.55206148551
"11:30 - 11:45",1057.34572496377
"11:45 - 12:00",1062.80599563043
"12:00 - 12:15",1067.07550852899
"12:15 - 12:30",1068.89526105072
"12:30 - 12:45",1070.88570041304
"12:45 - 13:00",1062.25266061594
"13:00 - 13:15",1019.1515569058
"13:15 - 13:30",1002.57914815217
"13:30 - 13:45",1016.2391167029
"13:45 - 14:00",1040.83327441304
"14:00 - 14:15",1058.13071673188
"14:15 - 14:30",1074.59842994928
"14:30 - 14:45",1090.19434519565
"14:45 - 15:00",1100.05850545652
"15:00 - 15:15",1106.78258812319
"15:15 - 15:30",1107.41502145652
"15:30 - 15:45",1107.79246986232
"15:45 - 16:00",1104.76136363043
"16:00 - 16:15",1100.1250658913
"16:15 - 16:30",1092.32400797826
"16:30 - 16:45",1085.53743078986
"16:45 - 17:00",1078.15642577536
"17:00 - 17:15",1070.9148742971
"17:15 - 17:30",1062.4489051087
"17:30 - 17:45",1049.95297061594
"17:45 - 18:00",1041.96300476087
"18:00 - 18:15",1036.38846157246
"18:15 - 18:30",1036.8048060942
"18:30 - 18:45",1045.08101719565
"18:45 - 19:00",1055.14142499275
"19:00 - 19:15",1066.39976513768
"19:15 - 19:30",1079.07284452899
"19:30 - 19:45",1088.22330139855
"19:45 - 20:00",1095.38769971739
"20:00 - 20:15",1090.63529386232
"20:15 - 20:30",1085.68193386232
"20:30 - 20:45",1078.73581316667
"20:45 - 21:00",1069.65149067391
"21:00 - 21:15",1053.45465907971
"21:15 - 21:30",1058.46753580435
"21:30 - 21:45",1071.19989102174
"21:45 - 22:00",1083.87898073188
"22:00 - 22:15",1091.3338847029
"22:15 - 22:30",1101.76607383333
"22:30 - 22:45",1109.54815073188
"22:45 - 23:00",1111.80414348551
"23:00 - 23:15",1104.68874881884
"23:15 - 23:30",1099.22694423913
"23:30 - 23:45",1091.22885994928
"23:45 - 24:00",1079.51124021014
"TOTAL IN Mus",23.9379085639565
