"","Time","winter_in_Megawatts","summer_in_Megawatts","monsoon_in_Megawatts","fall_in_Megawatts"
"1","00:00 - 00:15",507.918070857143,1010.51273022649,1063.76570792029,631.068709836066
"2","00:15 - 00:30",493.55302619242,1000.39900129445,1050.30106177536,619.271150928962
"3","00:30 - 00:45",481.97708496793,988.364796537172,1037.10954806522,609.157678797814
"4","00:45 - 01:00",471.629718437318,976.677003236201,1023.24890800725,598.849496830601
"5","01:00 - 01:15",460.759256163265,962.486077216783,1004.91758099275,587.321695956284
"6","01:15 - 01:30",453.623328233236,950.888668964356,991.443383282609,578.772113770492
"7","01:30 - 01:45",449.344942110787,940.683992071152,980.875631050725,573.246493333333
"8","01:45 - 02:00",445.148302810496,930.936010517754,970.29006423913,567.610930710382
"9","02:00 - 02:15",440.411028874636,920.28071809057,958.38184392029,562.070202185792
"10","02:15 - 02:30",436.719796804665,910.375701197366,947.138557224638,556.405873442623
"11","02:30 - 02:45",433.353555055394,901.143871974065,934.211088702898,551.924104918033
"12","02:45 - 03:00",429.551243801749,890.497508867268,921.96553592029,546.230764043716
"13","03:00 - 03:15",425.430796571429,878.728490809016,909.283758702898,540.237853333333
"14","03:15 - 03:30",422.82367948688,868.430128964356,897.894712036232,536.713754644809
"15","03:30 - 03:45",421.912409399417,859.823084692511,888.763324210145,534.025213224044
"16","03:45 - 04:00",423.067333830904,848.858932556589,880.203622876811,532.898964371585
"17","04:00 - 04:15",426.705722868805,839.280413042026,869.875867427536,533.277196502732
"18","04:15 - 04:30",430.917296979592,830.757948381832,860.945028586956,534.972124043716
"19","04:30 - 04:45",437.79704496793,822.853874595424,853.243487485507,538.261441420765
"20","04:45 - 05:00",448.164713072886,814.728362944938,846.052011543478,543.080043060109
"21","05:00 - 05:15",467.819335463557,809.394625177948,840.771056413043,552.636534863388
"22","05:15 - 05:30",490.379035405248,801.015822459501,834.883925891304,565.589249836066
"23","05:30 - 05:45",519.179745142857,794.453717508045,830.769847050725,581.877115409836
"24","05:45 - 06:00",552.757450215743,789.187264692511,826.545150413043,600.533083278688
"25","06:00 - 06:15",594.810131498542,788.59918362455,827.933459833333,623.240810819672
"26","06:15 - 06:30",638.237144559767,788.261154304162,827.514810297101,645.443335081967
"27","06:30 - 06:45",679.150862227405,786.744204304162,827.266028673913,662.588872240437
"28","06:45 - 07:00",714.367933597668,783.733947993482,825.747762586956,673.755047431694
"29","07:00 - 07:15",740.226975813411,780.899342071152,825.495962181159,681.88268
"30","07:15 - 07:30",764.443783976676,780.38753954688,826.560023543478,688.976517595628
"31","07:30 - 07:45",784.187160536443,780.721286634259,828.259498210145,694.022306010929
"32","07:45 - 08:00",800.656172897959,782.141334304162,829.577666326087,697.576562513661
"33","08:00 - 08:15",819.867275638484,785.804141585715,830.642211166667,701.951198907104
"34","08:15 - 08:30",831.271608,788.623628673094,834.788657601449,706.090224043716
"35","08:30 - 08:45",836.121991906705,794.107444789599,841.219122992754,709.070808961749
"36","08:45 - 09:00",839.373402052478,801.852225177948,849.288249601449,712.79241136612
"37","09:00 - 09:15",841.690875521866,819.242575372123,866.055747485507,722.352913333333
"38","09:15 - 09:30",862.51072555102,855.302749741055,901.840242413043,748.50482284153
"39","09:30 - 09:45",887.78429464723,896.431442362414,943.415545833333,778.058973005464
"40","09:45 - 10:00",906.305960069971,928.558280323579,974.764493166667,800.531868196721
"41","10:00 - 10:15",914.979501877551,953.616272459502,998.791484094203,815.483601530055
"42","10:15 - 10:30",918.207501760933,973.45663139154,1016.66620015217,826.03576852459
"43","10:30 - 10:45",917.538895463557,988.852595275036,1029.61858597826,834.681927978142
"44","10:45 - 11:00",914.083103976676,999.148723915812,1040.34296386232,838.527587759563
"45","11:00 - 11:15",905.361365434402,1006.898946343,1047.87973678986,837.90489704918
"46","11:15 - 11:30",897.515977446064,1015.01348517795,1052.55206148551,837.130209398907
"47","11:30 - 11:45",888.576322635568,1022.87632847892,1057.34572496377,835.020655628415
"48","11:45 - 12:00",879.820228524781,1029.89895022649,1062.80599563043,833.214104590164
"49","12:00 - 12:15",869.288716921283,1036.182586343,1067.07550852899,830.710948743169
"50","12:15 - 12:30",857.35106619242,1040.86840372164,1068.89526105072,827.973824699454
"51","12:30 - 12:45",844.495174880466,1045.40847061484,1070.88570041304,821.384327868852
"52","12:45 - 13:00",821.596763685131,1037.3035047896,1062.25266061594,806.740674098361
"53","13:00 - 13:15",764.207987008746,996.98705546921,1019.1515569058,762.285869289617
"54","13:15 - 13:30",733.571322052478,982.558594595424,1002.57914815217,738.810751803279
"55","13:30 - 13:45",736.850843451895,995.8199340129,1016.2391167029,747.793912349727
"56","13:45 - 14:00",752.602077620991,1023.11306867309,1040.83327441304,765.544297377049
"57","14:00 - 14:15",758.688305959184,1042.06686042067,1058.13071673188,774.606197595628
"58","14:15 - 14:30",763.02707587172,1058.51314760513,1074.59842994928,783.490106448087
"59","14:30 - 14:45",764.63715528863,1073.16276983814,1090.19434519565,789.859601967213
"60","14:45 - 15:00",763.72468438484,1079.73235226533,1100.05850545652,790.919134644809
"61","15:00 - 15:15",760.991486600583,1085.02885721678,1106.78258812319,789.066966229508
"62","15:15 - 15:30",756.546271556851,1085.95439061484,1107.41502145652,784.78333431694
"63","15:30 - 15:45",753.807074938775,1086.41147469251,1107.79246986232,783.478799016393
"64","15:45 - 16:00",751.516599137026,1084.2755132362,1104.76136363043,780.398297595628
"65","16:00 - 16:15",750.550615346939,1080.72877488669,1100.1250658913,779.146657377049
"66","16:15 - 16:30",749.195351556851,1073.10939110028,1092.32400797826,778.26851420765
"67","16:30 - 16:45",751.613163451895,1064.40892770222,1085.53743078986,779.471136612022
"68","16:45 - 17:00",756.766221644315,1053.92176449834,1078.15642577536,782.157760655738
"69","17:00 - 17:15",768.378259545189,1041.83751925562,1070.9148742971,790.180851912568
"70","17:15 - 17:30",778.828252198251,1029.32264731387,1062.4489051087,800.456749945355
"71","17:30 - 17:45",791.584210215743,1013.62961906144,1049.95297061594,816.022696612022
"72","17:45 - 18:00",810.787739078717,1001.67710828474,1041.96300476087,839.275238251366
"73","18:00 - 18:15",831.336757037901,989.887697022608,1036.38846157246,862.973865245902
"74","18:15 - 18:30",850.845420361516,983.7704540129,1036.8048060942,881.141458688524
"75","18:30 - 18:45",866.767134530612,984.266077605133,1045.08101719565,890.823802295082
"76","18:45 - 19:00",874.936588408163,990.426150226492,1055.14142499275,893.675329398907
"77","19:00 - 19:15",869.19038619242,1000.91594284785,1066.39976513768,889.428766775956
"78","19:15 - 19:30",864.293546075802,1015.72443867309,1079.07284452899,882.473619672131
"79","19:30 - 19:45",854.660896396501,1025.0135540129,1088.22330139855,872.409533442623
"80","19:45 - 20:00",840.789961002915,1030.56244430416,1095.38769971739,859.323763060109
"81","20:00 - 20:15",823.513569516035,1023.94592517795,1090.63529386232,840.580136939891
"82","20:15 - 20:30",806.089366483965,1018.01909935271,1085.68193386232,824.295490601093
"83","20:30 - 20:45",783.523931498542,1011.14801275076,1078.73581316667,804.877469617486
"84","20:45 - 21:00",757.600669107872,1000.37723032358,1069.65149067391,782.996791803279
"85","21:00 - 21:15",722.890437504373,980.549797119696,1053.45465907971,755.103821420765
"86","21:15 - 21:30",709.12643587172,983.629966634259,1058.46753580435,744.147898797814
"87","21:30 - 21:45",699.80948858309,995.259491585715,1071.19989102174,739.042389726776
"88","21:45 - 22:00",688.974444734694,1009.85937294494,1083.87898073188,734.702084699454
