"","Time","Central","East","NewD","North","NorthE","NorthW","South","SouthW","West"
"1","00:00 - 00:15",128.769460572282,128.769460572282,94.7267787382793,339.125697184303,128.769460572282,210.356236612022,293.465751129091,308.00161998155,503.821987741113
"2","00:15 - 00:30",125.945081446598,125.945081446598,92.580091962323,332.368798422919,125.945081446598,206.423716976321,286.710598269346,301.053068214701,493.134315245667
"3","00:30 - 00:45",123.254063523101,123.254063523101,90.9544943666946,326.306623122372,123.254063523101,203.052559599271,281.210837977907,295.411471857688,484.263397577178
"4","00:45 - 01:00",120.710633905615,120.710633905615,89.5479037656017,320.327132849148,120.710633905615,199.616498943534,276.063613897761,290.139089307597,475.680112841295
"5","01:00 - 01:15",118.21588226627,118.21588226627,88.2122349131426,313.989780918365,118.21588226627,195.773898652095,271.424287777543,285.390714007051,467.198186429637
"6","01:15 - 01:30",116.226225271735,116.226225271735,86.9920760060388,309.150263195232,116.226225271735,192.924037923497,267.727849125448,281.60679994512,460.651887048945
"7","01:30 - 01:45",114.556767730751,114.556767730751,86.0426357874596,305.638932175196,114.556767730751,191.082164444444,264.783582640931,278.601637285739,455.865747085375
"8","01:45 - 02:00",113.026807184303,113.026807184303,85.2853037656017,302.230450754431,113.026807184303,189.203643570127,262.221850691933,275.989413533463,451.42549426206
"9","02:00 - 02:15",111.779931774467,111.779931774467,84.6508722901918,299.136665836398,111.779931774467,187.356734061931,259.973238524355,273.705063660967,447.329972586286
"10","02:15 - 02:30",110.552460299057,110.552460299057,84.0826781918312,296.021084779932,110.552460299057,185.468624480874,257.789008141841,271.473948032552,443.257632622716
"11","02:30 - 02:45",109.454681993047,109.454681993047,83.5405798311754,293.429383632391,109.454681993047,183.974701639344,255.915316557142,269.576103442388,439.890018196486
"12","02:45 - 03:00",108.359554233483,108.359554233483,83.1636786289896,290.436475581389,108.359554233483,182.076921347905,254.470152659146,268.130567959692,436.547074007051
"13","03:00 - 03:15",107.290160135123,107.290160135123,82.8777802683339,287.369444579567,107.290160135123,180.079284444444,253.34195706716,267.025498050767,433.421241511605
"14","03:15 - 03:30",106.356670736216,106.356670736216,82.6187671535798,285.261255617819,106.356670736216,178.904584881603,252.291149671896,265.974472076268,431.195734553499
"15","03:30 - 03:45",105.685322922008,105.685322922008,82.3309192847273,283.693727330023,105.685322922008,178.008404408015,251.875321183736,265.592588943298,429.88372559175
"16","03:45 - 04:00",105.247910626926,105.247910626926,82.1106755688804,282.880898750788,105.247910626926,177.632988123862,252.167157358599,265.966698342206,429.800145482461
"17","04:00 - 04:15",105.231821337309,105.231821337309,82.1701306508476,282.990886838219,105.231821337309,177.759065500911,254.089536156413,268.131109926905,431.848601657324
"18","04:15 - 04:30",105.298513796325,105.298513796325,82.1997804869131,283.62255514423,105.298513796325,178.324041347905,255.934653934191,270.25983426206,434.258695282096
"19","04:30 - 04:45",106.205402320915,106.205402320915,82.3736972082246,285.625882794504,106.205402320915,179.420480473588,258.720309526177,273.555435209237,438.140789999765
"20","04:45 - 05:00",107.539655490314,107.539655490314,82.8951227819951,288.566336510351,107.539655490314,181.026681020036,263.087064316705,278.671610764792,444.113745336741
"21","05:00 - 05:15",110.18750248485,110.18750248485,83.8739007054924,294.399680772646,110.18750248485,184.212178287796,271.16469127481,288.123510946941,455.376869562606
"22","05:15 - 05:30",113.527776146052,113.527776146052,85.166023109864,302.057526091407,113.527776146052,188.529749945355,279.730596775721,298.190247048945,468.260346721077
"23","05:30 - 05:45",118.020649971189,118.020649971189,86.5507505415579,311.979688441134,118.020649971189,193.959038469945,290.964938050767,310.98495990869,484.923976520712
"24","05:45 - 06:00",123.213911774467,123.213911774467,88.0705953503011,323.391606200697,123.213911774467,200.177694426229,303.705495792115,325.117758087197,503.883190218344
"25","06:00 - 06:15",130.163654342773,130.163654342773,89.9041584104104,337.910591282664,130.163654342773,207.746936939891,319.126281693754,341.657123223809,526.873218633645
"26","06:15 - 06:30",136.949393304522,136.949393304522,91.4513079186071,352.097171665177,136.949393304522,215.147778360656,330.73007429849,354.022380309419,545.877852659146
"27","06:30 - 06:45",142.59738532638,142.59738532638,92.9438869350006,363.460342739859,142.59738532638,220.862957413479,339.91125145696,363.764759653681,560.774208870439
"28","06:45 - 07:00",147.275957348238,147.275957348238,96.0442703229787,371.860973158802,147.275957348238,224.585015810565,346.51541098337,370.88384814184,571.100426793935
"29","07:00 - 07:15",150.376524561353,150.376524561353,99.6911072628694,377.670751228019,150.376524561353,227.294226666667,351.15305688501,375.827584535283,578.447283551677
"30","07:15 - 07:30",151.540008113265,151.540008113265,103.231323437733,381.198847311808,151.540008113265,229.658839198543,352.006483624537,376.684613460602,581.665322823079
"31","07:30 - 07:45",152.405161064085,152.405161064085,107.311205404946,383.745929734394,152.405161064085,231.34076867031,351.3521397994,375.975249744755,582.69290846971
"32","07:45 - 08:00",153.147860408347,153.147860408347,111.419127809318,385.673381246234,153.147860408347,232.525520837887,350.954504425993,375.566095245665,583.48002526388
"33","08:00 - 08:15",154.106193796325,154.106193796325,116.625600377624,388.08992676536,154.106193796325,233.983732969035,351.733735500677,376.342384243846,585.717468469711
"34","08:15 - 08:30",154.390617402882,154.390617402882,122.440180924072,389.754025417454,154.390617402882,235.363408014572,353.446836411423,378.011918378636,588.810244425995
"35","08:30 - 08:45",154.832713632391,154.832713632391,128.413663984181,391.189649952974,154.832713632391,236.356936320583,355.579993132733,380.153698050766,591.936929453316
"36","08:45 - 09:00",155.005951774467,155.005951774467,134.356407590738,392.603422229841,155.005951774467,237.597470455373,358.252921074447,382.752828178272,595.85039152982
"37","09:00 - 09:15",156.028691337309,156.028691337309,140.338449557951,396.812995781753,156.028691337309,240.784304444444,362.491326793937,386.955878706505,603.275631238381
"38","09:15 - 09:30",158.342322156981,158.342322156981,145.943019831175,407.843929770824,158.342322156981,249.501607613843,368.36984817827,392.793804462423,617.871455792113
"39","09:30 - 09:45",160.838137402882,160.838137402882,151.377473383088,420.191128404704,160.838137402882,259.352991001821,373.50955105623,397.881092039837,632.862542058051
"40","09:45 - 10:00",163.287210080478,163.287210080478,156.25888431205,430.131166146052,163.287210080478,266.843956065574,377.805452367707,402.119397722898,644.64940843328
"41","10:00 - 10:15",165.00123374168,165.00123374168,160.293818301121,436.829100918365,165.00123374168,271.827867176685,380.50989673929,404.640038815793,652.337763915975
"42","10:15 - 10:30",166.317731610533,166.317731610533,162.976442563416,441.662987785396,166.317731610533,275.345256174863,381.832118451497,405.735615719256,657.17737462636
"43","10:30 - 10:45",167.530258495779,167.530258495779,165.275827481449,445.757567821826,167.530258495779,278.227309326047,382.209870109053,405.878110546212,660.437179435101
"44","10:45 - 11:00",168.358785271735,168.358785271735,166.867139175438,447.867981191589,168.358785271735,279.509195919854,380.49638023656,403.82532012727,660.005576156414
"45","11:00 - 11:15",168.77012532638,168.77012532638,168.081919066148,448.071757676106,168.77012532638,279.301632349727,379.257352914153,402.33645673929,658.55898526388
"46","11:15 - 11:30",168.676022594139,168.676022594139,168.828305951394,447.719425727108,168.676022594139,279.043403132969,378.063687996123,400.973145482462,657.107091129092
"47","11:30 - 11:45",168.114712648784,168.114712648784,169.080477536093,446.454931191589,168.114712648784,278.340218542805,376.621527376813,399.486352294846,654.961745919618
"48","11:45 - 12:00",167.857701829112,167.857701829112,169.437794694563,445.5957366925,167.857701829112,277.738034863388,375.262432294847,398.066333934191,653.000467158235
"49","12:00 - 12:15",167.528072320915,167.528072320915,169.73787578746,444.431721901972,167.528072320915,276.903649581056,373.327438269347,396.032934662789,650.231087850403
