"","Time","Central","East","NewD","North","NorthE","NorthW","South","SouthW","West"
"1","00:00 - 00:15",222.177499071094,222.177499071094,143.282354439721,576.766068377857,222.177499071094,354.588569306763,535.812090964857,560.309890964857,890.40066027162
"2","00:15 - 00:30",219.365532875442,219.365532875442,140.675012120881,569.465886800562,219.365532875442,350.10035392512,527.802719051813,552.117959631523,877.903072976933
"3","00:30 - 00:45",216.686561752254,216.686561752254,138.563865164359,562.38974444066,216.686561752254,345.703182688407,520.460960481767,544.614448162926,866.164143170173
"4","00:45 - 01:00",213.5881997595,213.5881997595,136.716596903489,554.67116909525,213.5881997595,341.08296933575,513.53185344795,537.552794752298,854.6148227837
"5","01:00 - 01:15",209.872984505877,209.872984505877,134.658302120881,544.84551150346,209.872984505877,334.972526997583,505.304134385147,529.079585834422,840.27666138273
"6","01:15 - 01:30",207.261543817471,207.261543817471,132.981770816533,537.742671578341,207.261543817471,330.48112776087,498.413600433457,522.015359853747,828.894728194326
"7","01:30 - 01:45",204.845586027616,204.845586027616,131.5897174832,531.804129711191,204.845586027616,326.958543683575,492.686054945533,516.162604945533,819.644598629108
"8","01:45 - 02:00",202.609876027616,202.609876027616,130.17822806291,526.039897440659,202.609876027616,323.430021413043,487.740644172587,511.130647795775,811.17066558563
"9","02:00 - 02:15",200.134873056601,200.134873056601,128.972512120881,519.595487696698,200.134873056601,319.460614640097,482.41477993104,505.669895873069,801.875394571137
"10","02:15 - 02:30",197.948858455152,197.948858455152,127.946844584649,513.661710863365,197.948858455152,315.712852408213,477.35799651075,500.502298684663,793.070848918963
"11","02:30 - 02:45",195.438816716022,195.438816716022,126.854842265808,506.842512950321,195.438816716022,311.403696234299,471.458767563893,494.431163940705,782.862463798193
"12","02:45 - 03:00",193.509173926167,193.509173926167,125.824105888997,500.83101923293,193.509173926167,307.321845306763,466.593962694327,489.463151100124,773.91580800109
"13","03:00 - 03:15",191.659128491384,191.659128491384,124.958566178852,494.753714725683,191.659128491384,303.094586234299,462.417588964857,485.219554906886,765.512175199156
"14","03:15 - 03:30",189.910377911674,189.910377911674,124.066050091895,489.208615257084,189.910377911674,299.298237345411,457.793330800607,480.463187322346,757.091568146017
"15","03:30 - 03:45",188.252929542108,188.252929542108,123.366262990446,484.50737094549,188.252929542108,296.254441403382,453.996686066307,476.592237515582,750.251127469688
"16","03:45 - 04:00",186.446517440659,186.446517440659,122.798574729576,479.847725066263,186.446517440659,293.401207625604,450.65409250109,473.180374385148,744.055300126694
"17","04:00 - 04:15",184.31240417979,184.31240417979,122.204533860011,474.271026655635,184.31240417979,289.958622475845,447.184170839253,469.654079534906,737.142793315099
"18","04:15 - 04:30",182.198211860949,182.198211860949,121.648768207837,469.179888056601,182.198211860949,286.981676195652,443.588553834423,466.079668327177,730.570230030075
"19","04:30 - 04:45",180.725174542109,180.725174542109,121.220592845518,465.139670370611,180.725174542109,284.414495828502,440.341271013167,462.95847608563,724.755766841669
"20","04:45 - 05:00",179.518063527616,179.518063527616,121.210572555663,461.535400708775,179.518063527616,282.017337181159,437.426105167757,460.274871834423,719.443442348916
"21","05:00 - 05:15",178.979324034862,178.979324034862,121.112217628127,459.23634283921,178.979324034862,280.257018804348,435.74602576679,459.165980839254,716.003044571138
"22","05:15 - 05:30",178.284621860949,178.284621860949,120.343846468707,456.579263824717,178.284621860949,278.294641963768,432.54070608563,456.540520578384,710.835348049398
"23","05:30 - 05:45",178.361786426167,178.361786426167,119.132958207837,455.285068776408,178.361786426167,276.923282350242,430.10246608563,454.646599418963,707.025748435872
"24","05:45 - 06:00",178.966292766746,178.966292766746,117.819772845518,454.481342904427,178.966292766746,275.515050137681,428.918625013167,453.914701824761,704.433675150848
"25","06:00 - 06:15",181.584673455152,181.584673455152,118.120251396243,457.562493399596,181.584673455152,275.977819944444,430.367920858577,455.872438249881,706.345740803021
"26","06:15 - 06:30",183.631726136311,183.631726136311,119.645924729576,459.469996235345,183.631726136311,275.838270099034,429.148087225727,454.791644472103,704.98635732476
"27","06:30 - 06:45",185.406908310225,185.406908310225,122.427318932475,461.162251201529,185.406908310225,275.755342891304,428.045810617033,453.797260617033,703.801153508338
"28","06:45 - 07:00",186.110636208775,186.110636208775,125.960394294794,461.359890404427,186.110636208775,275.249254195652,426.233814143603,452.233008346502,701.483068339255
