"","Time","Central","East","NewD","North","NorthE","NorthW","South","SouthW","West"
"1","00:00 - 00:15",94.030694723032,94.030694723032,101.235935974845,263.33671834208,94.030694723032,169.306023619048,224.189749753769,242.017717100707,393.495773372816
"2","00:15 - 00:30",89.6374453061225,89.6374453061225,98.9537744588105,254.155120703596,89.6374453061225,164.517675397473,215.74199309682,233.184017003526,380.259668494294
"3","00:30 - 00:45",86.4380882798835,86.4380882798835,97.0812539923382,247.097116602527,86.4380882798835,160.659028322643,208.90432825717,226.077281376703,369.563356579813
"4","00:45 - 01:00",83.3769575510205,83.3769575510205,95.6252831468571,240.586863696793,83.3769575510205,157.209906145773,203.364801998667,220.350167363098,360.574708144439
"5","01:00 - 01:15",80.625746851312,80.625746851312,94.2954574908805,234.2121655724,80.625746851312,153.586418721088,198.655834884964,215.509997917034,352.242253606052
"6","01:15 - 01:30",78.734822303207,78.734822303207,93.2362357999184,229.942598380952,78.734822303207,151.207776077745,195.033781901485,211.76616580819,346.24155797923
"7","01:30 - 01:45",77.203191690962,77.203191690962,92.4325015725131,226.984839061224,77.203191690962,149.781647370262,192.433875040455,209.083070259114,342.215522410717
"8","01:45 - 02:00",75.89433303207,75.89433303207,91.7212345171195,224.277100635569,75.89433303207,148.382767603499,190.214602581757,206.799302756684,338.597370185256
"9","02:00 - 02:15",74.7734350437318,74.7734350437318,91.2125963830087,221.577111335277,74.7734350437318,146.803676291545,188.461353835401,205.024110570095,335.265030126947
"10","02:15 - 02:30",73.7773466472302,73.7773466472302,90.8511704937959,219.350612248785,73.7773466472302,145.573265601555,186.869585477773,203.403553291184,332.442851079328
"11","02:30 - 02:45",72.943396734694,72.943396734694,90.4976246045831,217.394581753159,72.943396734694,144.451185018465,185.781267615771,202.293528723642,330.232452634235
"12","02:45 - 03:00",72.232228542274,72.232228542274,90.2013787736793,215.41597647619,72.232228542274,143.183747933916,185.053814126947,201.581948121116,328.237562060863
"13","03:00 - 03:15",71.6060548104955,71.6060548104955,90.0860455958367,213.416320334305,71.6060548104955,141.81026552381,185.149136226072,201.762719782923,326.959401749882
"14","03:15 - 03:30",71.1768344023322,71.1768344023322,89.8881077532711,212.118060897959,71.1768344023322,140.941226495627,185.14625995785,201.799068004498,326.087486453477
"15","03:30 - 03:45",71.0706265306122,71.0706265306122,89.7928299690146,211.708096330418,71.0706265306122,140.637469799806,186.012450511786,202.757647712953,326.649920311592
"16","03:45 - 04:00",71.28170606414,71.28170606414,89.8325285112886,212.304150674441,71.28170606414,141.022444610301,187.688439394196,204.650607207607,328.710884004498
"17","04:00 - 04:15",72.1870385714285,72.1870385714285,90.1287157999184,214.422279527697,72.1870385714285,142.235240956268,191.792786566208,209.256852805275,334.028027522476
"18","04:15 - 04:30",73.2900324489795,73.2900324489795,90.3348635550204,216.929131442177,73.2900324489795,143.639098993197,195.616252999638,213.516916090017,339.255351992836
"19","04:30 - 04:45",75.2310925364433,75.2310925364433,90.8682587736793,221.163440859087,75.2310925364433,145.932348322643,201.05953778098,219.686384778064,346.991886103623
"20","04:45 - 05:00",78.210504606414,78.210504606414,91.5800633217843,227.598742297376,78.210504606414,149.388237690962,209.090463689629,228.809594185255,358.478701380591
"21","05:00 - 05:15",83.441666180758,83.441666180758,93.1421360914636,239.38144466861,83.441666180758,155.939778487852,223.217784311592,245.002306993807,379.157562799444
"22","05:15 - 05:30",89.38451212828,89.38451212828,94.9271469369446,252.844190596696,89.38451212828,163.459678468416,237.895544078356,261.662321571067,401.355222546772
"23","05:30 - 05:45",97.1515242565598,97.1515242565598,97.0483376074985,270.211439304179,97.1515242565598,173.059915047619,256.281901551631,282.412991580785,429.34181659925
