"","Time","season","consumption","id"
"1","00:00 - 00:15","winter",672.569249261306,"1"
"2","00:15 - 00:30","winter",647.225979290461,"2"
"3","00:30 - 00:45","winter",626.71298477151,"3"
"4","00:45 - 01:00","winter",610.094405996,"4"
"5","01:00 - 01:15","winter",595.967504654892,"5"
"6","01:15 - 01:30","winter",585.101345704455,"6"
"7","01:30 - 01:45","winter",577.301625121364,"7"
"8","01:45 - 02:00","winter",570.643807745271,"8"
"9","02:00 - 02:15","winter",565.384061506204,"9"
"10","02:15 - 02:30","winter",560.608756433318,"10"
"11","02:30 - 02:45","winter",557.343802847312,"11"
"12","02:45 - 03:00","winter",555.16144238084,"12"
"13","03:00 - 03:15","winter",555.447408678216,"13"
"14","03:15 - 03:30","winter",555.438779873551,"14"
"15","03:30 - 03:45","winter",558.037351535359,"15"
"16","03:45 - 04:00","winter",563.065318182589,"16"
"17","04:00 - 04:15","winter",575.378359698624,"17"
"18","04:15 - 04:30","winter",586.848758998915,"18"
"19","04:30 - 04:45","winter",603.178613342939,"19"
"20","04:45 - 05:00","winter",627.271391068886,"20"
"21","05:00 - 05:15","winter",669.653352934775,"21"
"22","05:15 - 05:30","winter",713.686632235067,"22"
"23","05:30 - 05:45","winter",768.845704654892,"23"
"24","05:45 - 06:00","winter",832.369456958099,"24"
"25","06:00 - 06:15","winter",913.716032701539,"25"
"26","06:15 - 06:30","winter",985.982214742356,"26"
"27","06:30 - 06:45","winter",1050.72003060241,"27"
"28","06:45 - 07:00","winter",1108.86305905722,"28"
"29","07:00 - 07:15","winter",1165.96853378659,"29"
"30","07:15 - 07:30","winter",1204.47508072536,"30"
"31","07:30 - 07:45","winter",1228.74371011312,"31"
"32","07:45 - 08:00","winter",1247.39992842216,"32"
"33","08:00 - 08:15","winter",1261.98216716218,"33"
"34","08:15 - 08:30","winter",1270.97184541291,"34"
"35","08:30 - 08:45","winter",1273.46183480066,"35"
"36","08:45 - 09:00","winter",1276.14538302224,"36"
"37","09:00 - 09:15","winter",1277.96513194352,"37"
"38","09:15 - 09:30","winter",1283.89566978609,"38"
"39","09:30 - 09:45","winter",1289.14603200183,"39"
"40","09:45 - 10:00","winter",1290.02680692894,"40"
"41","10:00 - 10:15","winter",1285.35059398434,"41"
"42","10:15 - 10:30","winter",1276.92643620008,"42"
"43","10:30 - 10:45","winter",1264.44383995518,"43"
"44","10:45 - 11:00","winter",1249.61297161699,"44"
"45","11:00 - 11:15","winter",1229.36647622341,"45"
"46","11:15 - 11:30","winter",1212.25514139775,"46"
"47","11:30 - 11:45","winter",1193.94109614994,"47"
"48","11:45 - 12:00","winter",1174.82453370096,"48"
"49","12:00 - 12:15","winter",1150.62260049979,"49"
"50","12:15 - 12:30","winter",1130.37062872136,"50"
"51","12:30 - 12:45","winter",1111.91907688463,"51"
"52","12:45 - 13:00","winter",1088.04649717617,"52"
"53","13:00 - 13:15","winter",1047.02945134527,"53"
"54","13:15 - 13:30","winter",1022.74283198667,"54"
"55","13:30 - 13:45","winter",1015.34951746772,"55"
"56","13:45 - 14:00","winter",1011.27446405664,"56"
"57","14:00 - 14:15","winter",1006.94721041233,"57"
"58","14:15 - 14:30","winter",1002.00899501874,"58"
"59","14:30 - 14:45","winter",996.583921098041,"59"
"60","14:45 - 15:00","winter",990.438199232152,"60"
"61","15:00 - 15:15","winter",985.760349086379,"61"
"62","15:15 - 15:30","winter",977.00975748288,"62"
"63","15:30 - 15:45","winter",972.040813459557,"63"
"64","15:45 - 16:00","winter",970.293729961014,"64"
"65","16:00 - 16:15","winter",973.627672818157,"65"
"66","16:15 - 16:30","winter",979.477614509119,"66"
"67","16:30 - 16:45","winter",989.865957599499,"67"
"68","16:45 - 17:00","winter",1004.36353392603,"68"
"69","17:00 - 17:15","winter",1027.99700063157,"69"
"70","17:15 - 17:30","winter",1052.07311305139,"70"
"71","17:30 - 17:45","winter",1084.95534780358,"71"
"72","17:45 - 18:00","winter",1126.79383025256,"72"
"73","18:00 - 18:15","winter",1167.88360436335,"73"
"74","18:15 - 18:30","winter",1202.11056751204,"74"
"75","18:30 - 18:45","winter",1225.71387748288,"75"
"76","18:45 - 19:00","winter",1237.88156482982,"76"
"77","19:00 - 19:15","winter",1238.85849707472,"77"
"78","19:15 - 19:30","winter",1233.78360949454,"78"
"79","19:30 - 19:45","winter",1224.44920366364,"79"
"80","19:45 - 20:00","winter",1211.85702115635,"80"
"81","20:00 - 20:15","winter",1191.77766966947,"81"
"82","20:15 - 20:30","winter",1178.89604156451,"82"
"83","20:30 - 20:45","winter",1161.05870512136,"83"
"84","20:45 - 21:00","winter",1140.54882908638,"84"
"85","21:00 - 21:15","winter",1106.16375153536,"85"
"86","21:15 - 21:30","winter",1083.62475794935,"86"
"87","21:30 - 21:45","winter",1058.46302442166,"87"
"88","21:45 - 22:00","winter",1028.96628319717,"88"
"89","22:00 - 22:15","winter",982.145493926029,"89"
"90","22:15 - 22:30","winter",946.135074217574,"90"
"91","22:30 - 22:45","winter",908.46980844498,"91"
"92","22:45 - 23:00","winter",869.427688911452,"92"
"93","23:00 - 23:15","winter",822.075372293376,"93"
"94","23:15 - 23:30","winter",781.096048794834,"94"
"95","23:30 - 23:45","winter",742.566818007662,"95"
"96","23:45 - 24:00","winter",708.147375442064,"96"
"97","00:00 - 00:15","summer",1574.77088274438,"1"
"98","00:15 - 00:30","summer",1559.28183730749,"2"
"99","00:30 - 00:45","summer",1542.39750216186,"3"
"100","00:45 - 01:00","summer",1526.0263687638,"4"
"101","01:00 - 01:15","summer",1507.8205495405,"5"
"102","01:15 - 01:30","summer",1492.18422216186,"6"
"103","01:30 - 01:45","summer",1476.66470837545,"7"
"104","01:45 - 02:00","summer",1462.74090138516,"8"
"105","02:00 - 02:15","summer",1449.66635653079,"9"
"106","02:15 - 02:30","summer",1437.84671458904,"10"
"107","02:30 - 02:45","summer",1425.10505536574,"11"
"108","02:45 - 03:00","summer",1412.65203342399,"12"
"109","03:00 - 03:15","summer",1400.41498915215,"13"
"110","03:15 - 03:30","summer",1386.14720099681,"14"
"111","03:30 - 03:45","summer",1374.68059672496,"15"
"112","03:45 - 04:00","summer",1363.6811448803,"16"
"113","04:00 - 04:15","summer",1353.2828918706,"17"
"114","04:15 - 04:30","summer",1339.76754546283,"18"
"115","04:30 - 04:45","summer",1328.89605478322,"19"
"116","04:45 - 05:00","summer",1320.23732293856,"20"
"117","05:00 - 05:15","summer",1315.53251342399,"21"
"118","05:15 - 05:30","summer",1301.11567400652,"22"
"119","05:30 - 05:45","summer",1289.74486526865,"23"
"120","05:45 - 06:00","summer",1284.05935381234,"24"
"121","06:00 - 06:15","summer",1281.92118255021,"25"
"122","06:15 - 06:30","summer",1274.36603400652,"26"
"123","06:30 - 06:45","summer",1268.76981284147,"27"
"124","06:45 - 07:00","summer",1260.71103886089,"28"
"125","07:00 - 07:15","summer",1255.79768332691,"29"
"126","07:15 - 07:30","summer",1246.61393439487,"30"
"127","07:30 - 07:45","summer",1242.5145295405,"31"
"128","07:45 - 08:00","summer",1240.97133808419,"32"
"129","08:00 - 08:15","summer",1241.65566585118,"33"
"130","08:15 - 08:30","summer",1246.51110390943,"34"
"131","08:30 - 08:45","summer",1256.47504526865,"35"
"132","08:45 - 09:00","summer",1274.59992235603,"36"
"133","09:00 - 09:15","summer",1305.39770022011,"37"
"134","09:15 - 09:30","summer",1337.83716662788,"38"
"135","09:30 - 09:45","summer",1370.41861633662,"39"
"136","09:45 - 10:00","summer",1400.33204779293,"40"
"137","10:00 - 10:15","summer",1427.26483128807,"41"
"138","10:15 - 10:30","summer",1447.13069672496,"42"
"139","10:30 - 10:45","summer",1463.13958449195,"43"
"140","10:45 - 11:00","summer",1475.30638041428,"44"
"141","11:00 - 11:15","summer",1483.45267536574,"45"
"142","11:15 - 11:30","summer",1494.6773879871,"46"
"143","11:30 - 11:45","summer",1502.39433051137,"47"
"144","11:45 - 12:00","summer",1510.37269284147,"48"
"145","12:00 - 12:15","summer",1519.24394235603,"49"
"146","12:15 - 12:30","summer",1526.37343555992,"50"
"147","12:30 - 12:45","summer",1533.34677653079,"51"
"148","12:45 - 13:00","summer",1536.33914507448,"52"
"149","13:00 - 13:15","summer",1525.09649012302,"53"
"150","13:15 - 13:30","summer",1526.52559594827,"54"
"151","13:30 - 13:45","summer",1540.30291594827,"55"
"152","13:45 - 14:00","summer",1557.00633420069,"56"
"153","14:00 - 14:15","summer",1576.45830526865,"57"
"154","14:15 - 14:30","summer",1591.70812552108,"58"
"155","14:30 - 14:45","summer",1609.79987769584,"59"
"156","14:45 - 15:00","summer",1620.30287517157,"60"
"157","15:00 - 15:15","summer",1627.77867070555,"61"
"158","15:15 - 15:30","summer",1629.37426313273,"62"
"159","15:30 - 15:45","summer",1626.83261614244,"63"
"160","15:45 - 16:00","summer",1625.44463381234,"64"
"161","16:00 - 16:15","summer",1621.12236293856,"65"
"162","16:15 - 16:30","summer",1613.45249769584,"66"
"163","16:30 - 16:45","summer",1602.6520510939,"67"
"164","16:45 - 17:00","summer",1589.42428429778,"68"
"165","17:00 - 17:15","summer",1573.98920041428,"69"
"166","17:15 - 17:30","summer",1553.97313381234,"70"
"167","17:30 - 17:45","summer",1534.66600352108,"71"
"168","17:45 - 18:00","summer",1520.4061487638,"72"
"169","18:00 - 18:15","summer",1501.90723089972,"73"
"170","18:15 - 18:30","summer",1488.80635089972,"74"
"171","18:30 - 18:45","summer",1485.9297510939,"75"
"172","18:45 - 19:00","summer",1496.55998235603,"76"
"173","19:00 - 19:15","summer",1510.63408410361,"77"
"174","19:15 - 19:30","summer",1534.7116703172,"78"
