"","Time","season","consumption","id"
"1","00:00 - 00:15","winter",101.235935974845,"1"
"2","00:15 - 00:30","winter",98.9537744588105,"2"
"3","00:30 - 00:45","winter",97.0812539923382,"3"
"4","00:45 - 01:00","winter",95.6252831468571,"4"
"5","01:00 - 01:15","winter",94.2954574908805,"5"
"6","01:15 - 01:30","winter",93.2362357999184,"6"
"7","01:30 - 01:45","winter",92.4325015725131,"7"
"8","01:45 - 02:00","winter",91.7212345171195,"8"
"9","02:00 - 02:15","winter",91.2125963830087,"9"
"10","02:15 - 02:30","winter",90.8511704937959,"10"
"11","02:30 - 02:45","winter",90.4976246045831,"11"
"12","02:45 - 03:00","winter",90.2013787736793,"12"
"13","03:00 - 03:15","winter",90.0860455958367,"13"
"14","03:15 - 03:30","winter",89.8881077532711,"14"
"15","03:30 - 03:45","winter",89.7928299690146,"15"
"16","03:45 - 04:00","winter",89.8325285112886,"16"
"17","04:00 - 04:15","winter",90.1287157999184,"17"
"18","04:15 - 04:30","winter",90.3348635550204,"18"
"19","04:30 - 04:45","winter",90.8682587736793,"19"
"20","04:45 - 05:00","winter",91.5800633217843,"20"
"21","05:00 - 05:15","winter",93.1421360914636,"21"
"22","05:15 - 05:30","winter",94.9271469369446,"22"
"23","05:30 - 05:45","winter",97.0483376074985,"23"
"24","05:45 - 06:00","winter",99.6754514267405,"24"
"25","06:00 - 06:15","winter",103.160269852396,"25"
"26","06:15 - 06:30","winter",106.976851776595,"26"
"27","06:30 - 06:45","winter",110.645649094379,"27"
"28","06:45 - 07:00","winter",114.229663671638,"28"
"29","07:00 - 07:15","winter",117.961771566181,"29"
"30","07:15 - 07:30","winter",122.282111974344,"30"
"31","07:30 - 07:45","winter",126.586771682799,"31"
"32","07:45 - 08:00","winter",130.804360953936,"32"
"33","08:00 - 08:15","winter",135.492257957353,"33"
"34","08:15 - 08:30","winter",140.483504254729,"34"
"35","08:30 - 08:45","winter",144.936161514204,"35"
"36","08:45 - 09:00","winter",149.284653525866,"36"
"37","09:00 - 09:15","winter",152.975429502542,"37"
"38","09:15 - 09:30","winter",156.292900406332,"38"
"39","09:30 - 09:45","winter",159.638059706624,"39"
"40","09:45 - 10:00","winter",162.481440464641,"40"
"41","10:00 - 10:15","winter",164.736355916536,"41"
"42","10:15 - 10:30","winter",166.390350318869,"42"
"43","10:30 - 10:45","winter",167.538011636653,"43"
"44","10:45 - 11:00","winter",168.096994143942,"44"
"45","11:00 - 11:15","winter",167.985148313038,"45"
"46","11:15 - 11:30","winter",167.709736199918,"46"
"47","11:30 - 11:45","winter",167.139672876303,"47"
"48","11:45 - 12:00","winter",166.556244771347,"48"
"49","12:00 - 12:15","winter",165.902929109539,"49"
"50","12:15 - 12:30","winter",165.281123861726,"50"
"51","12:30 - 12:45","winter",164.859137855895,"51"
"52","12:45 - 13:00","winter",164.390003861726,"52"
"53","13:00 - 13:15","winter",163.890179605166,"53"
"54","13:15 - 13:30","winter",161.954959663475,"54"
"55","13:30 - 13:45","winter",159.491910100793,"55"
"56","13:45 - 14:00","winter",157.574173541026,"56"
"57","14:00 - 14:15","winter",156.346156164933,"57"
"58","14:15 - 14:30","winter",155.517629401085,"58"
"59","14:30 - 14:45","winter",155.040621455895,"59"
"60","14:45 - 15:00","winter",154.503555216828,"60"
"61","15:00 - 15:15","winter",153.938836033155,"61"
"62","15:15 - 15:30","winter",153.013114167265,"62"
"63","15:30 - 15:45","winter",152.022857374262,"63"
"64","15:45 - 16:00","winter",151.074123146857,"64"
"65","16:00 - 16:15","winter",150.426890727032,"65"
"66","16:15 - 16:30","winter",149.582880581259,"66"
