"","Average Energy Consumption in MUs in monsoon from BRPL"
"00:00 - 00:15",1607.43627289457
"00:15 - 00:30",1583.40815715544
"00:30 - 00:45",1561.3828814453
"00:45 - 01:00",1540.59556034385
"01:00 - 01:15",1515.91240315544
"01:15 - 01:30",1495.24080130037
"01:30 - 01:45",1478.0581648366
"01:45 - 02:00",1463.22193251776
"02:00 - 02:15",1447.24433979312
"02:15 - 02:30",1432.07398953225
"02:30 - 02:45",1414.37630269168
"02:45 - 03:00",1399.78188808298
"03:00 - 03:15",1387.25276689457
"03:15 - 03:30",1373.37999240182
"03:30 - 03:45",1361.99005819892
"03:45 - 04:00",1351.96227750327
"04:00 - 04:15",1341.55251251776
"04:15 - 04:30",1330.76566150327
"04:30 - 04:45",1321.0238130395
"04:45 - 05:00",1312.27831550327
"05:00 - 05:15",1307.23807730037
"05:15 - 05:30",1297.62211825689
"05:30 - 05:45",1290.30739825689
"05:45 - 06:00",1286.7558750395
"06:00 - 06:15",1291.10376257573
"06:15 - 06:30",1287.44426167718
"06:30 - 06:45",1284.1374318511
"06:45 - 07:00",1278.70144243081
"07:00 - 07:15",1274.56469298153
"07:15 - 07:30",1268.09086422791
"07:30 - 07:45",1263.90353448878
"07:45 - 08:00",1261.57800680762
"08:00 - 08:15",1263.77976472066
"08:15 - 08:30",1270.51802872066
"08:30 - 08:45",1284.22089245979
"08:45 - 09:00",1302.24249411197
"09:00 - 09:15",1332.19681738733
"09:15 - 09:30",1367.01446550327
"09:30 - 09:45",1399.29299628588
"09:45 - 10:00",1429.25147648878
"10:00 - 10:15",1453.78726816994
"10:15 - 10:30",1468.76470993805
"10:30 - 10:45",1479.88618396704
"10:45 - 11:00",1491.39058854675
"11:00 - 11:15",1497.02448141631
"11:15 - 11:30",1503.97330179312
"11:30 - 11:45",1510.6751332424
"11:45 - 12:00",1516.28200272066
"12:00 - 12:15",1519.05415953225
"12:15 - 12:30",1521.96991599602
"12:30 - 12:45",1524.32426098153
"12:45 - 13:00",1525.24513425689
"13:00 - 13:15",1508.18002057573
"13:15 - 13:30",1505.74997048878
"13:30 - 13:45",1516.94334918443
"13:45 - 14:00",1535.18414640182
"14:00 - 14:15",1551.92691567718
"14:15 - 14:30",1568.13842274965
"14:30 - 14:45",1582.40567895254
"14:45 - 15:00",1593.5550914453
"15:00 - 15:15",1600.70586979312
"15:15 - 15:30",1598.57978819892
"15:30 - 15:45",1596.82193674965
"15:45 - 16:00",1594.33141935834
"16:00 - 16:15",1590.18143347428
"16:15 - 16:30",1582.86690906849
"16:30 - 16:45",1575.32788843081
"16:45 - 17:00",1569.91791735834
"17:00 - 17:15",1562.26514840182
"17:15 - 17:30",1550.02182570617
"17:30 - 17:45",1536.00161222791
"17:45 - 18:00",1529.05629953225
"18:00 - 18:15",1525.21894301052
"18:15 - 18:30",1528.27934848878
"18:30 - 18:45",1537.47094956124
"18:45 - 19:00",1551.8163394453
"19:00 - 19:15",1568.80591060472
"19:15 - 19:30",1593.44704715544
"19:30 - 19:45",1614.24403796704
"19:45 - 20:00",1633.77546993805
"20:00 - 20:15",1641.25359159023
"20:15 - 20:30",1647.57277782211
"20:30 - 20:45",1651.34109460472
"20:45 - 21:00",1655.79765086559
"21:00 - 21:15",1653.99663477863
"21:15 - 21:30",1665.48899877863
"21:30 - 21:45",1676.82312573515
"21:45 - 22:00",1687.58719341631
"22:00 - 22:15",1687.78661611197
"22:15 - 22:30",1699.09470843081
"22:30 - 22:45",1704.02844631486
"22:45 - 23:00",1702.9945570395
"23:00 - 23:15",1687.41530388008
"23:15 - 23:30",1676.13919599602
"23:30 - 23:45",1657.57051405399
"23:45 - 24:00",1635.6830068366
"TOTAL IN Mus",35.8257681849118
