"","Average Energy Consumption in MUs in fall from BYPL"
"00:00 - 00:15",515.077842289126
"00:15 - 00:30",503.780325786393
"00:30 - 00:45",493.016254092404
"00:45 - 01:00",482.842535622459
"01:00 - 01:15",472.863529065082
"01:15 - 01:30",464.90490108694
"01:30 - 01:45",458.227070923005
"01:45 - 02:00",452.107228737213
"02:00 - 02:15",447.119727097869
"02:15 - 02:30",442.209841196229
"02:30 - 02:45",437.818727972186
"02:45 - 03:00",433.438216933934
"03:00 - 03:15",429.160640540492
"03:15 - 03:30",425.426682944863
"03:30 - 03:45",422.741291688033
"03:45 - 04:00",420.991642507705
"04:00 - 04:15",420.927285349235
"04:15 - 04:30",421.1940551853
"04:30 - 04:45",424.821609283661
"04:45 - 05:00",430.158621961257
"05:00 - 05:15",440.750009939399
"05:15 - 05:30",454.111104584208
"05:30 - 05:45",472.082599884754
"05:45 - 06:00",492.855647097869
"06:00 - 06:15",520.654617371093
"06:15 - 06:30",547.797573218087
"06:30 - 06:45",570.389541305519
"06:45 - 07:00",589.103829392951
"07:00 - 07:15",601.50609824541
"07:15 - 07:30",606.16003245306
"07:30 - 07:45",609.620644256339
"07:45 - 08:00",612.591441633388
"08:00 - 08:15",616.4247751853
"08:15 - 08:30",617.56246961153
"08:30 - 08:45",619.330854529563
"08:45 - 09:00",620.023807097869
"09:00 - 09:15",624.114765349235
"09:15 - 09:30",633.369288627923
"09:30 - 09:45",643.35254961153
"09:45 - 10:00",653.148840321912
"10:00 - 10:15",660.004934966721
"10:15 - 10:30",665.270926442131
"10:30 - 10:45",670.121033983115
"10:45 - 11:00",673.43514108694
"11:00 - 11:15",675.080501305519
"11:15 - 11:30",674.704090376557
"11:30 - 11:45",672.458850595136
"11:45 - 12:00",671.430807316448
"12:00 - 12:15",670.112289283661
"12:15 - 12:30",668.097277698962
"12:30 - 12:45",662.033378026831
"12:45 - 13:00",653.98021540388
"13:00 - 13:15",636.892267425738
"13:15 - 13:30",628.044689939399
"13:30 - 13:45",626.429825677104
"13:45 - 14:00",628.789987644317
"14:00 - 14:15",630.652513983115
"14:15 - 14:30",631.963562507705
"14:30 - 14:45",633.648822616994
"14:45 - 15:00",632.897619994044
"15:00 - 15:15",632.267918354699
"15:15 - 15:30",629.766202944863
"15:30 - 15:45",627.350590923005
"15:45 - 16:00",626.195463272732
"16:00 - 16:15",628.506227644317
"16:15 - 16:30",630.383746332841
"16:30 - 16:45",635.843957917541
"16:45 - 17:00",644.145459775464
"17:00 - 17:15",656.658718354699
"17:15 - 17:30",671.203439010437
"17:30 - 17:45",692.815369939399
"17:45 - 18:00",719.738416715355
"18:00 - 18:15",744.449340212623
"18:15 - 18:30",760.344652780929
"18:30 - 18:45",767.458771688033
"18:45 - 19:00",769.389903491311
"19:00 - 19:15",765.273358573279
"19:15 - 19:30",757.532503272732
"19:30 - 19:45",747.059786551421
"19:45 - 20:00",735.656601633388
"20:00 - 20:15",720.548888409344
"20:15 - 20:30",708.991946114262
"20:30 - 20:45",695.85262108694
"20:45 - 21:00",681.844574092404
"21:00 - 21:15",662.395989392951
"21:15 - 21:30",651.716229392951
"21:30 - 21:45",643.287362507705
"21:45 - 22:00",634.293593545956
"22:00 - 22:15",621.247331032295
"22:15 - 22:30",611.861599447595
"22:30 - 22:45",601.582465458524
"22:45 - 23:00",589.410667207158
"23:00 - 23:15",572.450738026831
"23:15 - 23:30",556.801843600601
"23:30 - 23:45",542.043831360164
"23:45 - 24:00",527.60516950224
"TOTAL IN Mus",14.3684506339554
