"","Average Energy Consumption in MUs in winter from BYPL"
"00:00 - 00:15",376.122778892128
"00:15 - 00:30",358.54978122449
"00:30 - 00:45",345.752353119534
"00:45 - 01:00",333.507830204082
"01:00 - 01:15",322.502987405248
"01:15 - 01:30",314.939289212828
"01:30 - 01:45",308.812766763848
"01:45 - 02:00",303.57733212828
"02:00 - 02:15",299.093740174927
"02:15 - 02:30",295.109386588921
"02:30 - 02:45",291.773586938776
"02:45 - 03:00",288.928914169096
"03:00 - 03:15",286.424219241982
"03:15 - 03:30",284.707337609329
"03:30 - 03:45",284.282506122449
"03:45 - 04:00",285.12682425656
"04:00 - 04:15",288.748154285714
"04:15 - 04:30",293.160129795918
"04:30 - 04:45",300.924370145773
"04:45 - 05:00",312.842018425656
"05:00 - 05:15",333.766664723032
"05:15 - 05:30",357.53804851312
"05:30 - 05:45",388.606097026239
"05:45 - 06:00",426.83100851312
"06:00 - 06:15",475.774731661808
"06:15 - 06:30",523.187529329446
"06:30 - 06:45",565.958356734694
"06:45 - 07:00",604.831694577259
"07:00 - 07:15",640.305912186589
"07:15 - 07:30",669.500863556851
"07:30 - 07:45",689.995973294461
"07:45 - 08:00",705.20199696793
"08:00 - 08:15",716.464709504373
"08:15 - 08:30",721.559827521866
"08:30 - 08:45",723.723618425656
"08:45 - 09:00",723.636491078717
"09:00 - 09:15",723.912023323615
"09:15 - 09:30",727.57196606414
"09:30 - 09:45",730.717402915452
"09:45 - 10:00",730.760490145773
"10:00 - 10:15",729.161516268222
"10:15 - 10:30",725.455801632653
"10:30 - 10:45",720.530139825073
"10:45 - 11:00",713.863431253644
"11:00 - 11:15",705.689792699709
"11:15 - 11:30",697.691449889213
"11:30 - 11:45",688.819656816327
"11:45 - 12:00",680.333649819242
"12:00 - 12:15",669.830850005831
"12:15 - 12:30",660.072363801749
"12:30 - 12:45",648.970912139942
"12:45 - 13:00",634.002818145773
"13:00 - 13:15",610.847817212828
"13:15 - 13:30",595.78225735277
"13:30 - 13:45",589.914817026239
"13:45 - 14:00",588.636636011662
"14:00 - 14:15",586.467236361516
"14:15 - 14:30",583.024098122449
"14:30 - 14:45",580.382366180758
"14:45 - 15:00",577.110021854227
"15:00 - 15:15",574.062438204082
"15:15 - 15:30",569.795162962099
"15:30 - 15:45",567.021213014577
"15:45 - 16:00",567.186803381924
"16:00 - 16:15",569.535893970845
"16:15 - 16:30",571.883869620991
"16:30 - 16:45",577.33937103207
"16:45 - 17:00",586.582046134111
"17:00 - 17:15",600.537707568513
"17:15 - 17:30",615.396898542274
"17:30 - 17:45",635.493131358601
"17:45 - 18:00",657.261816139942
"18:00 - 18:15",678.169571918367
"18:15 - 18:30",697.015712116618
"18:30 - 18:45",711.415060034985
"18:45 - 19:00",719.428504396501
"19:00 - 19:15",720.418547638484
"19:15 - 19:30",716.616727580175
"19:30 - 19:45",707.553293644315
"19:45 - 20:00",696.895772244898
"20:00 - 20:15",681.816280466472
"20:15 - 20:30",668.972219825073
"20:30 - 20:45",655.972041399417
"20:45 - 21:00",640.935199067055
"21:00 - 21:15",620.31368361516
"21:15 - 21:30",606.681588688047
"21:30 - 21:45",593.673279650146
"21:45 - 22:00",578.561756034985
"22:00 - 22:15",554.489762565598
"22:15 - 22:30",535.952993236152
"22:30 - 22:45",517.042408046647
"22:45 - 23:00",496.140536443149
"23:00 - 23:15",469.818500291545
"23:15 - 23:30",445.48894787172
"23:30 - 23:45",422.341579008746
"23:45 - 24:00",400.334857959184
"TOTAL IN Mus",13.2423661302157
