"","Average Energy Consumption in MUs in monsoon from MES"
"00:00 - 00:15",24.4978
"00:15 - 00:30",24.3152405797101
"00:30 - 00:45",24.1534876811594
"00:45 - 01:00",24.0209413043478
"01:00 - 01:15",23.7754514492754
"01:15 - 01:30",23.6017594202899
"01:30 - 01:45",23.47655
"01:45 - 02:00",23.3900036231884
"02:00 - 02:15",23.255115942029
"02:15 - 02:30",23.144302173913
"02:30 - 02:45",22.9723963768116
"02:45 - 03:00",22.8691884057971
"03:00 - 03:15",22.801965942029
"03:15 - 03:30",22.6698565217391
"03:30 - 03:45",22.5955514492754
"03:45 - 04:00",22.526281884058
"04:00 - 04:15",22.4699086956522
"04:15 - 04:30",22.4911144927536
"04:30 - 04:45",22.6172050724638
"04:45 - 05:00",22.8487666666667
"05:00 - 05:15",23.4199550724638
"05:15 - 05:30",23.9998144927536
"05:30 - 05:45",24.5441333333333
"05:45 - 06:00",24.9960768115942
"06:00 - 06:15",25.5045173913043
"06:15 - 06:30",25.6435572463768
"06:30 - 06:45",25.75145
"06:45 - 07:00",25.9991942028986
"07:00 - 07:15",26.2312710144928
"07:15 - 07:30",26.5559514492754
"07:30 - 07:45",27.0698565217391
"07:45 - 08:00",27.7434101449275
"08:00 - 08:15",28.4899768115942
"08:15 - 08:30",29.151952173913
"08:30 - 08:45",29.6659137681159
"08:45 - 09:00",30.1253369565217
"09:00 - 09:15",30.6424884057971
"09:15 - 09:30",30.9852811594203
"09:30 - 09:45",31.2160971014493
"09:45 - 10:00",31.4908594202899
"10:00 - 10:15",31.4352934782609
"10:15 - 10:30",31.5953652173913
"10:30 - 10:45",31.6151913043478
"10:45 - 11:00",31.5499797101449
"11:00 - 11:15",31.5480231884058
"11:15 - 11:30",31.5916094202899
"11:30 - 11:45",31.6805760869565
"11:45 - 12:00",31.8566557971014
"12:00 - 12:15",31.8692072463768
"12:15 - 12:30",31.888652173913
"12:30 - 12:45",31.84345
"12:45 - 13:00",31.8945804347826
"13:00 - 13:15",31.609581884058
"13:15 - 13:30",31.1275869565217
"13:30 - 13:45",30.4969594202899
"13:45 - 14:00",30.0818891304348
"14:00 - 14:15",29.7393608695652
"14:15 - 14:30",29.4552920289855
"14:30 - 14:45",29.0770695652174
"14:45 - 15:00",28.6978065217391
"15:00 - 15:15",28.4001239130435
"15:15 - 15:30",28.186852173913
"15:30 - 15:45",28.0469688405797
"15:45 - 16:00",27.9952724637681
"16:00 - 16:15",28.0227376811594
"16:15 - 16:30",27.8665768115942
"16:30 - 16:45",27.8259985507246
"16:45 - 17:00",27.9896420289855
"17:00 - 17:15",28.2261579710145
"17:15 - 17:30",28.267631884058
"17:30 - 17:45",27.9298152173913
"17:45 - 18:00",27.6620557971014
"18:00 - 18:15",27.3732992753623
"18:15 - 18:30",27.4686485507246
"18:30 - 18:45",27.6292760869565
"18:45 - 19:00",28.0387710144928
"19:00 - 19:15",28.5844217391304
"19:15 - 19:30",29.298802173913
"19:30 - 19:45",29.9777702898551
"19:45 - 20:00",30.5534115942029
"20:00 - 20:15",30.7602028985507
"20:15 - 20:30",30.8906094202899
"20:30 - 20:45",30.8933652173913
"20:45 - 21:00",30.7335956521739
"21:00 - 21:15",30.3082398550725
"21:15 - 21:30",29.9494601449275
"21:30 - 21:45",29.5241688405797
"21:45 - 22:00",28.998318115942
"22:00 - 22:15",28.1722166666667
"22:15 - 22:30",27.5968855072464
"22:30 - 22:45",27.0463594202899
"22:45 - 23:00",26.5084195652174
"23:00 - 23:15",25.8561210144928
"23:15 - 23:30",25.4312615942029
"23:30 - 23:45",25.1152268115942
"23:45 - 24:00",24.8272398550725
"TOTAL IN Mus",0.663082509057971
