"","Average Energy Consumption in MUs in winter from NDPL"
"00:00 - 00:15",507.918070857143
"00:15 - 00:30",493.55302619242
"00:30 - 00:45",481.97708496793
"00:45 - 01:00",471.629718437318
"01:00 - 01:15",460.759256163265
"01:15 - 01:30",453.623328233236
"01:30 - 01:45",449.344942110787
"01:45 - 02:00",445.148302810496
"02:00 - 02:15",440.411028874636
"02:15 - 02:30",436.719796804665
"02:30 - 02:45",433.353555055394
"02:45 - 03:00",429.551243801749
"03:00 - 03:15",425.430796571429
"03:15 - 03:30",422.82367948688
"03:30 - 03:45",421.912409399417
"03:45 - 04:00",423.067333830904
"04:00 - 04:15",426.705722868805
"04:15 - 04:30",430.917296979592
"04:30 - 04:45",437.79704496793
"04:45 - 05:00",448.164713072886
"05:00 - 05:15",467.819335463557
"05:15 - 05:30",490.379035405248
"05:30 - 05:45",519.179745142857
"05:45 - 06:00",552.757450215743
"06:00 - 06:15",594.810131498542
"06:15 - 06:30",638.237144559767
"06:30 - 06:45",679.150862227405
"06:45 - 07:00",714.367933597668
"07:00 - 07:15",740.226975813411
"07:15 - 07:30",764.443783976676
"07:30 - 07:45",784.187160536443
"07:45 - 08:00",800.656172897959
"08:00 - 08:15",819.867275638484
"08:15 - 08:30",831.271608
"08:30 - 08:45",836.121991906705
"08:45 - 09:00",839.373402052478
"09:00 - 09:15",841.690875521866
"09:15 - 09:30",862.51072555102
"09:30 - 09:45",887.78429464723
"09:45 - 10:00",906.305960069971
"10:00 - 10:15",914.979501877551
"10:15 - 10:30",918.207501760933
"10:30 - 10:45",917.538895463557
"10:45 - 11:00",914.083103976676
"11:00 - 11:15",905.361365434402
"11:15 - 11:30",897.515977446064
"11:30 - 11:45",888.576322635568
"11:45 - 12:00",879.820228524781
"12:00 - 12:15",869.288716921283
"12:15 - 12:30",857.35106619242
"12:30 - 12:45",844.495174880466
"12:45 - 13:00",821.596763685131
"13:00 - 13:15",764.207987008746
"13:15 - 13:30",733.571322052478
"13:30 - 13:45",736.850843451895
"13:45 - 14:00",752.602077620991
"14:00 - 14:15",758.688305959184
"14:15 - 14:30",763.02707587172
"14:30 - 14:45",764.63715528863
"14:45 - 15:00",763.72468438484
"15:00 - 15:15",760.991486600583
"15:15 - 15:30",756.546271556851
"15:30 - 15:45",753.807074938775
"15:45 - 16:00",751.516599137026
"16:00 - 16:15",750.550615346939
"16:15 - 16:30",749.195351556851
"16:30 - 16:45",751.613163451895
"16:45 - 17:00",756.766221644315
"17:00 - 17:15",768.378259545189
"17:15 - 17:30",778.828252198251
"17:30 - 17:45",791.584210215743
"17:45 - 18:00",810.787739078717
"18:00 - 18:15",831.336757037901
"18:15 - 18:30",850.845420361516
"18:30 - 18:45",866.767134530612
"18:45 - 19:00",874.936588408163
"19:00 - 19:15",869.19038619242
"19:15 - 19:30",864.293546075802
"19:30 - 19:45",854.660896396501
"19:45 - 20:00",840.789961002915
"20:00 - 20:15",823.513569516035
"20:15 - 20:30",806.089366483965
"20:30 - 20:45",783.523931498542
"20:45 - 21:00",757.600669107872
"21:00 - 21:15",722.890437504373
"21:15 - 21:30",709.12643587172
"21:30 - 21:45",699.80948858309
"21:45 - 22:00",688.974444734694
"22:00 - 22:15",668.797709690962
"22:15 - 22:30",652.521499311953
"22:30 - 22:45",634.494564618076
"22:45 - 23:00",614.631098029154
"23:00 - 23:15",589.148203685131
"23:15 - 23:30",567.26228496793
"23:30 - 23:45",547.087980594752
"23:45 - 24:00",528.352395172012
"TOTAL IN Mus",16.7513210753236
