"","Time","BRPL_fall","BYPL_fall","NDPL_fall","NDMC_fall","MES_fall"
"1","00:00 - 00:15",880.397253387273,515.077842289126,631.068709836066,94.7267787382793,14.535868852459
"2","00:15 - 00:30",860.131794808038,503.780325786393,619.271150928962,92.580091962323,14.3424699453552
"3","00:30 - 00:45",843.632513933721,493.016254092404,609.157678797814,90.9544943666946,14.2006338797814
"4","00:45 - 01:00",828.190841693284,482.842535622459,598.849496830601,89.5479037656017,14.0754754098361
"5","01:00 - 01:15",814.272863332628,472.863529065082,587.321695956284,88.2122349131426,13.9664262295082
"6","01:15 - 01:30",803.183547376344,464.90490108694,578.772113770492,86.9920760060388,13.8789508196721
"7","01:30 - 01:45",794.350747922792,458.227070923005,573.246493333333,86.0426357874596,13.8180546448087
"8","01:45 - 02:00",786.665552075798,452.107228737213,567.610930710382,85.2853037656017,13.7675628415301
"9","02:00 - 02:15",779.919715573065,447.119727097869,562.070202185792,84.6508722901918,13.731825136612
"10","02:15 - 02:30",773.367024425524,442.209841196229,556.405873442623,84.0826781918312,13.6849398907104
"11","02:30 - 02:45",767.745949671426,437.818727972186,551.924104918033,83.5405798311754,13.6607868852459
"12","02:45 - 03:00",763.410457977437,433.438216933934,546.230764043716,83.1636786289896,13.6604153005464
"13","03:00 - 03:15",760.025871201481,429.160640540492,540.237853333333,82.8777802683339,13.6835409836066
"14","03:15 - 03:30",756.873449015688,425.426682944863,536.713754644809,82.6187671535798,13.6833224043716
"15","03:30 - 03:45",755.625963551207,422.741291688033,534.025213224044,82.3309192847273,13.7172677595628
"16","03:45 - 04:00",756.501472075798,420.991642507705,532.898964371585,82.1106755688804,13.7995409836066
"17","04:00 - 04:15",762.26860846924,420.927285349235,533.277196502732,82.1701306508476,14.0415737704918
"18","04:15 - 04:30",767.803961802573,421.1940551853,534.972124043716,82.1997804869131,14.3251803278689
"19","04:30 - 04:45",776.16092857853,424.821609283661,538.261441420765,82.3736972082246,14.8351256830601
"20","04:45 - 05:00",789.261192950114,430.158621961257,543.080043060109,82.8951227819951,15.5845464480874
"21","05:00 - 05:15",813.494073824431,440.750009939399,552.636534863388,83.8739007054924,16.9588196721311
"22","05:15 - 05:30",839.191790327164,454.111104584208,565.589249836066,85.166023109864,18.459650273224
"23","05:30 - 05:45",872.8948141523,472.082599884754,581.877115409836,86.5507505415579,20.0200218579235
"24","05:45 - 06:00",911.116487376344,492.855647097869,600.533083278688,88.0705953503011,21.412262295082
"25","06:00 - 06:15",957.378845081262,520.654617371093,623.240810819672,89.9041584104104,22.5308415300546
"26","06:15 - 06:30",992.19022289547,547.797573218087,645.443335081967,91.4513079186071,23.292306010929
"27","06:30 - 06:45",1019.73375437088,570.389541305519,662.588872240437,92.9438869350006,23.8535081967213
"28","06:45 - 07:00",1039.54623295011,589.103829392951,673.755047431694,96.0442703229787,24.3684371584699
"29","07:00 - 07:15",1053.45917065503,601.50609824541,681.88268,99.6911072628694,24.6745276502732
"30","07:15 - 07:30",1056.01945087361,606.16003245306,688.976517595628,103.231323437733,24.6781298360656
"31","07:30 - 07:45",1054.0564193982,609.620644256339,694.022306010929,107.311205404946,24.6231099453552
"32","07:45 - 08:00",1052.86351327798,612.591441633388,697.576562513661,111.419127809318,24.6115908196721
"33","08:00 - 08:15",1055.20120650203,616.4247751853,701.951198907104,116.625600377624,24.6086487431694
"34","08:15 - 08:30",1060.34050923427,617.56246961153,706.090224043716,122.440180924072,24.5650819672131
"35","08:30 - 08:45",1066.7399793982,619.330854529563,709.070808961749,128.413663984181,24.5737049180328
"36","08:45 - 09:00",1074.75876322334,620.023807097869,712.79241136612,134.356407590738,24.4999071038251
"37","09:00 - 09:15",1087.47398038181,624.114765349235,722.352913333333,140.338449557951,24.4645519125683
"38","09:15 - 09:30",1105.10954453481,633.369288627923,748.50482284153,145.943019831175,24.423956284153
"39","09:30 - 09:45",1120.52865316869,643.35254961153,778.058973005464,151.377473383088,24.3715409836066
"40","09:45 - 10:00",1133.41635710312,653.148840321912,800.531868196721,156.25888431205,24.3139453551913
"41","10:00 - 10:15",1141.52969021787,660.004934966721,815.483601530055,160.293818301121,24.1301420765027
"42","10:15 - 10:30",1145.49635535449,665.270926442131,826.03576852459,162.976442563416,23.9034972677596
"43","10:30 - 10:45",1146.62961032716,670.121033983115,834.681927978142,165.275827481449,23.6682404371585
"44","10:45 - 11:00",1141.48914070968,673.43514108694,838.527587759563,166.867139175438,23.3289398907104
"45","11:00 - 11:15",1137.77205874246,675.080501305519,837.90489704918,168.081919066148,23.0791038251366
"46","11:15 - 11:30",1134.19106398837,674.704090376557,837.130209398907,168.828305951394,22.9094574863388
"47","11:30 - 11:45",1129.86458213044,672.458850595136,835.020655628415,169.080477536093,22.8648249180328
"48","11:45 - 12:00",1125.78729688454,671.430807316448,833.214104590164,169.437794694563,22.8039016393443
"49","12:00 - 12:15",1119.98231480804,670.112289283661,830.710948743169,169.73787578746,22.7054963934426
"50","12:15 - 12:30",1113.8157404911,668.097277698962,827.973824699454,169.481381579809,22.5450810928962
"51","12:30 - 12:45",1106.04797786815,662.033378026831,821.384327868852,169.531721907678,22.3529412021858
"52","12:45 - 13:00",1092.57279032716,653.98021540388,806.740674098361,168.851138301121,22.1523656830601
"53","13:00 - 13:15",1064.94224497197,636.892267425738,762.285869289617,168.233594038826,21.7825954098361
"54","13:15 - 13:30",1052.36309404301,628.044689939399,738.810751803279,166.963239284727,21.1536402185792
"55","13:30 - 13:45",1054.24554289547,626.429825677104,747.793912349727,165.2672778349,20.4093328961749
"56","13:45 - 14:00",1057.3179489064,628.789987644317,765.544297377049,163.931874556212,19.8378655737705
"57","14:00 - 14:15",1061.96157830531,630.652513983115,774.606197595628,163.438623408671,19.3198684153005
"58","14:15 - 14:30",1063.72203601022,631.963562507705,783.490106448087,163.241073244736,18.8994968306011
"59","14:30 - 14:45",1065.07104387908,633.648822616994,789.859601967213,163.23286362725,18.4422797814208
"60","14:45 - 15:00",1064.22446529984,632.897619994044,790.919134644809,163.077968763862,18.0410627322404
