"","Time","BRPL_summer","BYPL_summer","NDPL_summer","NDMC_summer","MES_summer"
"1","00:00 - 00:15",1574.77088274438,860.28515961165,1010.51273022649,140.401146213592,23.5989931067961
"2","00:15 - 00:30",1559.28183730749,848.942136796117,1000.39900129445,138.11989223301,23.5004357281553
"3","00:30 - 00:45",1542.39750216186,840.020146699029,988.364796537172,136.292328737864,23.4003908737864
"4","00:45 - 01:00",1526.0263687638,830.470900679612,976.677003236201,134.346326796117,23.2672850485437
"5","01:00 - 01:15",1507.8205495405,818.010725048544,962.486077216783,132.568620776699,23.1178968932039
"6","01:15 - 01:30",1492.18422216186,809.17601,950.888668964356,130.926666990291,22.9515237864078
"7","01:30 - 01:45",1476.66470837545,800.135620485437,940.683992071152,129.495402524272,22.8300954368932
"8","01:45 - 02:00",1462.74090138516,791.832541165048,930.936010517754,128.308893398058,22.757507184466
"9","02:00 - 02:15",1449.66635653079,783.468014854369,920.28071809057,127.153073592233,22.6539445631068
"10","02:15 - 02:30",1437.84671458904,775.215861067961,910.375701197366,126.140291067961,22.5835277669903
"11","02:30 - 02:45",1425.10505536574,766.790012038835,901.143871974065,125.261265825243,22.5237826213592
"12","02:45 - 03:00",1412.65203342399,760.754995436893,890.497508867268,124.43161184466,22.4746175728155
"13","03:00 - 03:15",1400.41498915215,752.545968640777,878.728490809016,123.600514368932,22.385784368932
"14","03:15 - 03:30",1386.14720099681,744.221633980583,868.430128964356,122.618250291262,22.2651866019417
"15","03:30 - 03:45",1374.68059672496,736.934904174757,859.823084692511,121.900201359223,22.1954503883495
"16","03:45 - 04:00",1363.6811448803,730.156254368932,848.858932556589,121.055861553398,22.1468533009709
"17","04:00 - 04:15",1353.2828918706,722.890197087379,839.280413042026,120.250273203883,22.098827184466
"18","04:15 - 04:30",1339.76754546283,714.736236893204,830.757948381832,119.526508543689,22.0679882524272
"19","04:30 - 04:45",1328.89605478322,709.210952038835,822.853874595424,118.905641747573,22.1768402912621
