"","Time","BRPL_winter","BYPL_winter","NDPL_winter","NDMC_winter","MES_winter"
"1","00:00 - 00:15",672.569249261306,376.122778892128,507.918070857143,101.235935974845,17.8279673469388
"2","00:15 - 00:30",647.225979290461,358.54978122449,493.55302619242,98.9537744588105,17.4420239067055
"3","00:30 - 00:45",626.71298477151,345.752353119534,481.97708496793,97.0812539923382,17.1729531195335
"4","00:45 - 01:00",610.094405996,333.507830204082,471.629718437318,95.6252831468571,16.9853653644315
"5","01:00 - 01:15",595.967504654892,322.502987405248,460.759256163265,94.2954574908805,16.85416303207
"6","01:15 - 01:30",585.101345704455,314.939289212828,453.623328233236,93.2362357999184,16.7323839067055
"7","01:30 - 01:45",577.301625121364,308.812766763848,449.344942110787,92.4325015725131,16.6491952186589
"8","01:45 - 02:00",570.643807745271,303.57733212828,445.148302810496,91.7212345171195,16.5847001749271
"9","02:00 - 02:15",565.384061506204,299.093740174927,440.411028874636,91.2125963830087,16.5627567346939
"10","02:15 - 02:30",560.608756433318,295.109386588921,436.719796804665,90.8511704937959,16.5339678134111
"11","02:30 - 02:45",557.343802847312,291.773586938776,433.353555055394,90.4976246045831,16.5122611078717
"12","02:45 - 03:00",555.16144238084,288.928914169096,429.551243801749,90.2013787736793,16.5281339941691
"13","03:00 - 03:15",555.447408678216,286.424219241982,425.430796571429,90.0860455958367,16.6135835568513
"14","03:15 - 03:30",555.438779873551,284.707337609329,422.82367948688,89.8881077532711,16.6528080466472
"15","03:30 - 03:45",558.037351535359,284.282506122449,421.912409399417,89.7928299690146,16.7451972011662
"16","03:45 - 04:00",563.065318182589,285.12682425656,423.067333830904,89.8325285112886,16.9621678134111
"17","04:00 - 04:15",575.378359698624,288.748154285714,426.705722868805,90.1287157999184,17.4640662390671
"18","04:15 - 04:30",586.848758998915,293.160129795918,430.917296979592,90.3348635550204,17.900663090379
"19","04:30 - 04:45",603.178613342939,300.924370145773,437.79704496793,90.8682587736793,18.6268469970845
"20","04:45 - 05:00",627.271391068886,312.842018425656,448.164713072886,91.5800633217843,19.7191304956268
"21","05:00 - 05:15",669.653352934775,333.766664723032,467.819335463557,93.1421360914636,21.7845226822157
"22","05:15 - 05:30",713.686632235067,357.53804851312,490.379035405248,94.9271469369446,23.7667774927114
"23","05:30 - 05:45",768.845704654892,388.606097026239,519.179745142857,97.0483376074985,26.1310900291545
"24","05:45 - 06:00",832.369456958099,426.83100851312,552.757450215743,99.6754514267405,28.4652499125364
"25","06:00 - 06:15",913.716032701539,475.774731661808,594.810131498542,103.160269852396,30.7310937609329
"26","06:15 - 06:30",985.982214742356,523.187529329446,638.237144559767,106.976851776595,32.4302064139942
"27","06:30 - 06:45",1050.72003060241,565.958356734694,679.150862227405,110.645649094379,33.7212248396501
"28","06:45 - 07:00",1108.86305905722,604.831694577259,714.367933597668,114.229663671638,34.7360174927114
"29","07:00 - 07:15",1165.96853378659,640.305912186589,740.226975813411,117.961771566181,35.6075991836735
"30","07:15 - 07:30",1204.47508072536,669.500863556851,764.443783976676,122.282111974344,35.9962668221574
"31","07:30 - 07:45",1228.74371011312,689.995973294461,784.187160536443,126.586771682799,36.177499941691
"32","07:45 - 08:00",1247.39992842216,705.20199696793,800.656172897959,130.804360953936,36.2909823906706
"33","08:00 - 08:15",1261.98216716218,716.464709504373,819.867275638484,135.492257957353,36.1872198250729
"34","08:15 - 08:30",1270.97184541291,721.559827521866,831.271608,140.483504254729,35.9313451895044
"35","08:30 - 08:45",1273.46183480066,723.723618425656,836.121991906705,144.936161514204,35.7002819825073
"36","08:45 - 09:00",1276.14538302224,723.636491078717,839.373402052478,149.284653525866,35.5725488046647
"37","09:00 - 09:15",1277.96513194352,723.912023323615,841.690875521866,152.975429502542,35.218346122449
"38","09:15 - 09:30",1283.89566978609,727.57196606414,862.51072555102,156.292900406332,34.7916142274052
"39","09:30 - 09:45",1289.14603200183,730.717402915452,887.78429464723,159.638059706624,34.3522756851312
"40","09:45 - 10:00",1290.02680692894,730.760490145773,906.305960069971,162.481440464641,33.9328256559767
"41","10:00 - 10:15",1285.35059398434,729.161516268222,914.979501877551,164.736355916536,33.3765401749271
"42","10:15 - 10:30",1276.92643620008,725.455801632653,918.207501760933,166.390350318869,32.8138927113703
"43","10:30 - 10:45",1264.44383995518,720.530139825073,917.538895463557,167.538011636653,32.1285843731778
"44","10:45 - 11:00",1249.61297161699,713.863431253644,914.083103976676,168.096994143942,31.3992703206997
"45","11:00 - 11:15",1229.36647622341,705.689792699709,905.361365434402,167.985148313038,30.6376693877551
"46","11:15 - 11:30",1212.25514139775,697.691449889213,897.515977446064,167.709736199918,30.1367778425656
"47","11:30 - 11:45",1193.94109614994,688.819656816327,888.576322635568,167.139672876303,29.6118285714286
"48","11:45 - 12:00",1174.82453370096,680.333649819242,879.820228524781,166.556244771347,29.1963475218659
"49","12:00 - 12:15",1150.62260049979,669.830850005831,869.288716921283,165.902929109539,28.8271486880466
"50","12:15 - 12:30",1130.37062872136,660.072363801749,857.35106619242,165.281123861726,28.425306122449
"51","12:30 - 12:45",1111.91907688463,648.970912139942,844.495174880466,164.859137855895,27.9843381924198
"52","12:45 - 13:00",1088.04649717617,634.002818145773,821.596763685131,164.390003861726,27.6388688046647
"53","13:00 - 13:15",1047.02945134527,610.847817212828,764.207987008746,163.890179605166,27.1353935860058
"54","13:15 - 13:30",1022.74283198667,595.78225735277,733.571322052478,161.954959663475,26.385749271137
