"","Time","Central","East","NewD","North","NorthE","NorthW","South","SouthW","West"
"1","00:00 - 00:15",215.071289902912,215.071289902912,140.401146213592,551.908866645076,215.071289902912,336.837576742163,524.92362758146,548.522620688256,861.761204323623
"2","00:15 - 00:30",212.235534199029,212.235534199029,138.11989223301,545.701867963846,212.235534199029,333.466333764817,519.76061243583,543.261048163985,853.226946200647
"3","00:30 - 00:45",210.005036674757,210.005036674757,136.292328737864,539.459968853815,210.005036674757,329.454932179057,514.13250072062,537.532891594406,843.587432899677
"4","00:45 - 01:00",207.617725169903,207.617725169903,134.346326796117,533.176726248637,207.617725169903,325.559001078734,508.6754562546,531.942741303144,834.234457333334
"5","01:00 - 01:15",204.502681262136,204.502681262136,132.568620776699,525.33137366773,204.502681262136,320.828692405594,502.606849846833,525.724746740037,823.435542252428
"6","01:15 - 01:30",202.2940025,202.2940025,130.926666990291,519.256892154785,202.2940025,316.962889654785,497.39474072062,520.346264507028,814.357630375405
"7","01:30 - 01:45",200.033905121359,200.033905121359,129.495402524272,513.595235811743,200.033905121359,313.561330690384,492.221569458483,515.051664895376,805.782900148867
"8","01:45 - 02:00",197.958135291262,197.958135291262,128.308893398058,508.27013879718,197.958135291262,310.312003505918,487.58030046172,510.337807646186,797.892303967638
"9","02:00 - 02:15",195.867003713592,195.867003713592,127.153073592233,502.627243077116,195.867003713592,306.760239363523,483.222118843597,505.876063406703,789.98235820712
"10","02:15 - 02:30",193.80396526699,193.80396526699,126.140291067961,497.262532332779,193.80396526699,303.458567065789,479.282238196347,501.865765963337,782.740805262135
"11","02:30 - 02:45",191.697503009709,191.697503009709,125.261265825243,492.07879366773,191.697503009709,300.381290658022,475.035018455247,497.558801076606,775.416309113268
"12","02:45 - 03:00",190.188748859223,190.188748859223,124.43161184466,487.021251814979,190.188748859223,296.832502955756,470.88401114133,493.358628714145,767.716514097086
"13","03:00 - 03:15",188.136492160194,188.136492160194,123.600514368932,481.045989096533,188.136492160194,292.909496936339,466.80499638405,489.190780752982,759.714493320389
"14","03:15 - 03:30",186.055408495146,186.055408495146,122.618250291262,475.532118149931,186.055408495146,289.476709654785,462.049066998937,484.314253600878,751.525776653722
"15","03:30 - 03:45",184.233726043689,184.233726043689,121.900201359223,470.841420941193,184.233726043689,286.607694897504,458.226865574987,480.422315963336,744.83456047249
