"","Time","Central","East","New Delhi","North","North East","North West","South","South West","West"
"1","00:00 - 00:15",0.000328242103285825,0.000424535777634074,0.00333177344001465,0.000272772487376569,0.000380825979741941,0.000567955734415213,0.000607316712412823,0.000522973985246963,0.000372387162572106
"2","00:15 - 00:30",0.000312906159707899,0.000404700854973534,0.00325666527756493,0.000261114838029847,0.000363033241760229,0.000551892692045621,0.000584432241531365,0.000503885319344139,0.000359843427395636
"3","00:30 - 00:45",0.000301737852565766,0.000390256193822576,0.00319503880178832,0.000252495891478283,0.000350075789115106,0.000538948434739305,0.000565909413723412,0.000488528435982954,0.000349706418427772
"4","00:45 - 01:00",0.000291052065421105,0.000376435605574821,0.003147121380512,0.000244333841122562,0.000337678155423563,0.000527377973882813,0.000550903166206147,0.000476152764996798,0.000341191804050094
"5","01:00 - 01:15",0.000281448146303898,0.000364014264040801,0.00310335552051606,0.000236815901224093,0.000326535703341516,0.000515222585566202,0.000538146854066564,0.000465693684831913,0.000333307081396764
"6","01:15 - 01:30",0.000274847311835398,0.000355476997291452,0.00306849550106692,0.000231687690402059,0.000318877425416725,0.00050724316640241,0.000528334927729488,0.000457603670507702,0.000327624326190657
"7","01:30 - 01:45",0.000269500699698786,0.000348561893718806,0.00304204382335077,0.000227708122220827,0.000312674294298434,0.000502459060319737,0.000521291934509884,0.000451805792613022,0.000323808297925578
"8","01:45 - 02:00",0.000264931739314477,0.00034265257516913,0.00301863533049595,0.000224244655488422,0.00030737339353848,0.000497766363814865,0.000515280057271764,0.000446870819229954,0.000320381161114454
"9","02:00 - 02:15",0.000261018911547494,0.000337591873442642,0.00300189555316797,0.000221145910504336,0.000302833736824712,0.00049246912780035,0.000510530610582751,0.000443034821834716,0.000317230411830027
"10","02:15 - 02:30",0.000257541768777367,0.000333094670021498,0.00299000067447082,0.000218452371216516,0.000298799561169363,0.000488341579399366,0.000506218604672848,0.000439532973669936,0.000314559939610683
"11","02:30 - 02:45",0.000254630618603137,0.000329329499768643,0.00297836513426306,0.000216165266911416,0.000295422049246976,0.000484577436293176,0.000503270416244354,0.000437134331212006,0.000312471447811557
"12","02:45 - 03:00",0.000252148074536462,0.000326118672256553,0.00296861539488824,0.000214106790216789,0.000292541805466609,0.00048032567876682,0.000501299787962949,0.000435596682861357,0.000310591542110785
"13","03:00 - 03:15",0.000249962228910768,0.000323291583156152,0.00296481966746213,0.000212204690879056,0.000290005790757841,0.000475718180496742,0.000501558009866157,0.000435987310777064,0.000309397993422202
"14","03:15 - 03:30",0.000248463907432195,0.000321353711482516,0.00295830533991348,0.00021092608132548,0.000288267440499498,0.000472802893202547,0.00050155021822643,0.000436065855333723,0.000308582474124019
"15","03:30 - 03:45",0.000248093157271286,0.000320874197409539,0.00295516965506054,0.000210578816003905,0.000287837296737153,0.000471783907855359,0.00050389667697451,0.00043813724190952,0.000309125370550386
"16","03:45 - 04:00",0.000248829993155035,0.000321827192749761,0.00295647617282503,0.000211192845793933,0.000288692172588022,0.000473075348328371,0.000508436831282294,0.000442227721659062,0.000311085553196008
"17","04:00 - 04:15",0.000251990325504389,0.000325914645694049,0.00296622398551648,0.000213673861431113,0.000292358785283971,0.000477143807469079,0.000519555263921809,0.000452181317809364,0.000316138410036758
"18","04:15 - 04:30",0.000255840653648248,0.000330894512799264,0.00297300850929802,0.00021667089391208,0.000296825930031811,0.000481853204130433,0.00052991280732833,0.000461386851602987,0.000321101790336604
"19","04:30 - 04:45",0.000262616501126457,0.000339658134679259,0.00299056306643671,0.000221883396357675,0.000304687257779348,0.000489546162001993,0.000544658342401908,0.000474718402967475,0.000328443483151104
"20","04:45 - 05:00",0.000273017024990318,0.000353109774313987,0.00301398924870115,0.000229861961889284,0.000316753929454418,0.000501139324148767,0.000566413643551174,0.000494432667026647,0.000339343064519276
"21","05:00 - 05:15",0.000291277950136605,0.000376727756223353,0.0030653985878382,0.000244038887083464,0.000337940226520561,0.000523117190531251,0.000604683715776847,0.000529423359654014,0.000358958339307306
"22","05:15 - 05:30",0.000312023221232007,0.000403558896130615,0.00312414503659518,0.00026017135862042,0.000362008857908287,0.000548343524626723,0.00064444489494283,0.000565423840619284,0.000380004803048
"23","05:30 - 05:45",0.00033913628686172,0.000438625897852606,0.0031939554914431,0.00028117638697788,0.000393465394650169,0.000580548577349299,0.000694252444958745,0.000610263783419881,0.00040653765741105
"24","05:45 - 06:00",0.000372495142130538,0.000481770964925852,0.00328041637079942,0.000306804623011139,0.000432168286855789,0.000618095282691886,0.000751613135253881,0.00066106362434468,0.000437221778655626
"25","06:00 - 06:15",0.000415208297330245,0.000537014525628125,0.00339510514570992,0.000339510236179779,0.000481724023350183,0.000665118735592065,0.000825067482149471,0.000724553569925246,0.000476220040087798
"26","06:15 - 06:30",0.000456585414863332,0.00059053010633006,0.00352071258109577,0.000371504922287243,0.000529729691013462,0.000713678971015515,0.000890322413361178,0.000780278289657642,0.000512756947943766
"27","06:30 - 06:45",0.000493911487982663,0.000638806221182831,0.00364145628087474,0.000400568863218942,0.000573035343223504,0.000759428830882414,0.000948779379004636,0.000829698501725371,0.000546114455187929
"28","06:45 - 07:00",0.000527836224508242,0.000682683177422587,0.00375940969793115,0.000426755966104306,0.000612394769986593,0.00079880868125926,0.00100128138222539,0.000873771613620641,0.00057559725494365
"29","07:00 - 07:15",0.000558794551028117,0.000722723492457738,0.00388223701057038,0.000449924749527789,0.000648312572456426,0.000827724351237553,0.00105284649497996,0.000916787915242359,0.000601832475221075
"30","07:15 - 07:30",0.000584272966005612,0.000755676299568945,0.00402442362923627,0.000469332991677921,0.000677872590043893,0.000854803669447966,0.00108761714427579,0.000945363938175338,0.000621636681844319
"31","07:30 - 07:45",0.000602159034876959,0.000778809456714546,0.00416609418077337,0.000483276007346811,0.000698623979440552,0.000876880781047707,0.00110953123599308,0.000963236186817837,0.000635515120544398
"32","07:45 - 08:00",0.000615429321797351,0.000795972738087594,0.00430489915925411,0.000493832063179656,0.000714020145768167,0.00089529648733493,0.00112637743165538,0.000976919430154354,0.000646586640209
"33","08:00 - 08:15",0.000625258283666012,0.000808685141306063,0.00445918242413536,0.000502464359358401,0.000725423692101831,0.000916778408518612,0.0011395449044486,0.000987198754921357,0.000657216481346473
"34","08:15 - 08:30",0.000629704789829445,0.000814436082251637,0.00462344921029222,0.000506684345022822,0.000730582521664422,0.0009295307722039,0.00114766240587597,0.000993121076888419,0.000663632735449619
"35","08:30 - 08:45",0.000631593128736817,0.00081687838754536,0.00476999050565095,0.000508477320843201,0.000732773369539469,0.000934954488176989,0.00114991081698096,0.000994415306564343,0.000665937281432039
"36","08:45 - 09:00",0.000631517092758094,0.000816780045519666,0.00491310362105861,0.000508805040295151,0.000732685152714744,0.000938590226189049,0.00115233400787962,0.000996072241072086,0.000667804944037962
"37","09:00 - 09:15",0.000631757549568114,0.000817091043157713,0.00503457065994872,0.000509230582403378,0.00073296413033323,0.0009411816329962,0.00115397720511694,0.000996617607454547,0.000669106549150574
"38","09:15 - 09:30",0.000634951579205442,0.000821222078884987,0.00514375186461517,0.000513727081195843,0.000736669838570486,0.000964462460933209,0.00115933236333945,0.000999967235462464,0.000677484546149245
"39","09:30 - 09:45",0.000637696599889562,0.000824772383611555,0.00525384432142913,0.000518447820348402,0.000739854607315802,0.000992723452854815,0.00116407333644124,0.00100279969333871,0.000687034534147384
"40","09:45 - 10:00",0.000637734202087299,0.000824821016855423,0.00534742275677607,0.000520621348661125,0.000739898233327366,0.00101343444285762,0.00116486865875741,0.0010025277270426,0.000693088998598278
