"","Time","season","consumption","id"
"1","00:00 - 00:15","winter",376.122778892128,"1"
"2","00:15 - 00:30","winter",358.54978122449,"2"
"3","00:30 - 00:45","winter",345.752353119534,"3"
"4","00:45 - 01:00","winter",333.507830204082,"4"
"5","01:00 - 01:15","winter",322.502987405248,"5"
"6","01:15 - 01:30","winter",314.939289212828,"6"
"7","01:30 - 01:45","winter",308.812766763848,"7"
"8","01:45 - 02:00","winter",303.57733212828,"8"
"9","02:00 - 02:15","winter",299.093740174927,"9"
"10","02:15 - 02:30","winter",295.109386588921,"10"
"11","02:30 - 02:45","winter",291.773586938776,"11"
"12","02:45 - 03:00","winter",288.928914169096,"12"
"13","03:00 - 03:15","winter",286.424219241982,"13"
"14","03:15 - 03:30","winter",284.707337609329,"14"
"15","03:30 - 03:45","winter",284.282506122449,"15"
"16","03:45 - 04:00","winter",285.12682425656,"16"
"17","04:00 - 04:15","winter",288.748154285714,"17"
"18","04:15 - 04:30","winter",293.160129795918,"18"
"19","04:30 - 04:45","winter",300.924370145773,"19"
"20","04:45 - 05:00","winter",312.842018425656,"20"
"21","05:00 - 05:15","winter",333.766664723032,"21"
"22","05:15 - 05:30","winter",357.53804851312,"22"
"23","05:30 - 05:45","winter",388.606097026239,"23"
"24","05:45 - 06:00","winter",426.83100851312,"24"
"25","06:00 - 06:15","winter",475.774731661808,"25"
"26","06:15 - 06:30","winter",523.187529329446,"26"
"27","06:30 - 06:45","winter",565.958356734694,"27"
"28","06:45 - 07:00","winter",604.831694577259,"28"
"29","07:00 - 07:15","winter",640.305912186589,"29"
"30","07:15 - 07:30","winter",669.500863556851,"30"
"31","07:30 - 07:45","winter",689.995973294461,"31"
"32","07:45 - 08:00","winter",705.20199696793,"32"
"33","08:00 - 08:15","winter",716.464709504373,"33"
"34","08:15 - 08:30","winter",721.559827521866,"34"
"35","08:30 - 08:45","winter",723.723618425656,"35"
"36","08:45 - 09:00","winter",723.636491078717,"36"
"37","09:00 - 09:15","winter",723.912023323615,"37"
"38","09:15 - 09:30","winter",727.57196606414,"38"
"39","09:30 - 09:45","winter",730.717402915452,"39"
"40","09:45 - 10:00","winter",730.760490145773,"40"
"41","10:00 - 10:15","winter",729.161516268222,"41"
"42","10:15 - 10:30","winter",725.455801632653,"42"
"43","10:30 - 10:45","winter",720.530139825073,"43"
"44","10:45 - 11:00","winter",713.863431253644,"44"
"45","11:00 - 11:15","winter",705.689792699709,"45"
"46","11:15 - 11:30","winter",697.691449889213,"46"
"47","11:30 - 11:45","winter",688.819656816327,"47"
"48","11:45 - 12:00","winter",680.333649819242,"48"
"49","12:00 - 12:15","winter",669.830850005831,"49"
"50","12:15 - 12:30","winter",660.072363801749,"50"
"51","12:30 - 12:45","winter",648.970912139942,"51"
"52","12:45 - 13:00","winter",634.002818145773,"52"
"53","13:00 - 13:15","winter",610.847817212828,"53"
"54","13:15 - 13:30","winter",595.78225735277,"54"
"55","13:30 - 13:45","winter",589.914817026239,"55"
"56","13:45 - 14:00","winter",588.636636011662,"56"
"57","14:00 - 14:15","winter",586.467236361516,"57"
"58","14:15 - 14:30","winter",583.024098122449,"58"
"59","14:30 - 14:45","winter",580.382366180758,"59"
"60","14:45 - 15:00","winter",577.110021854227,"60"
"61","15:00 - 15:15","winter",574.062438204082,"61"
"62","15:15 - 15:30","winter",569.795162962099,"62"
"63","15:30 - 15:45","winter",567.021213014577,"63"
"64","15:45 - 16:00","winter",567.186803381924,"64"
"65","16:00 - 16:15","winter",569.535893970845,"65"
"66","16:15 - 16:30","winter",571.883869620991,"66"
"67","16:30 - 16:45","winter",577.33937103207,"67"
"68","16:45 - 17:00","winter",586.582046134111,"68"
"69","17:00 - 17:15","winter",600.537707568513,"69"
"70","17:15 - 17:30","winter",615.396898542274,"70"
"71","17:30 - 17:45","winter",635.493131358601,"71"
"72","17:45 - 18:00","winter",657.261816139942,"72"
"73","18:00 - 18:15","winter",678.169571918367,"73"
"74","18:15 - 18:30","winter",697.015712116618,"74"
"75","18:30 - 18:45","winter",711.415060034985,"75"
"76","18:45 - 19:00","winter",719.428504396501,"76"
"77","19:00 - 19:15","winter",720.418547638484,"77"
"78","19:15 - 19:30","winter",716.616727580175,"78"
"79","19:30 - 19:45","winter",707.553293644315,"79"
"80","19:45 - 20:00","winter",696.895772244898,"80"
"81","20:00 - 20:15","winter",681.816280466472,"81"
"82","20:15 - 20:30","winter",668.972219825073,"82"
"83","20:30 - 20:45","winter",655.972041399417,"83"
"84","20:45 - 21:00","winter",640.935199067055,"84"
"85","21:00 - 21:15","winter",620.31368361516,"85"
"86","21:15 - 21:30","winter",606.681588688047,"86"
"87","21:30 - 21:45","winter",593.673279650146,"87"
"88","21:45 - 22:00","winter",578.561756034985,"88"
"89","22:00 - 22:15","winter",554.489762565598,"89"
"90","22:15 - 22:30","winter",535.952993236152,"90"
"91","22:30 - 22:45","winter",517.042408046647,"91"
"92","22:45 - 23:00","winter",496.140536443149,"92"
"93","23:00 - 23:15","winter",469.818500291545,"93"
"94","23:15 - 23:30","winter",445.48894787172,"94"
"95","23:30 - 23:45","winter",422.341579008746,"95"
"96","23:45 - 24:00","winter",400.334857959184,"96"
"97","00:00 - 00:15","summer",860.28515961165,"1"
"98","00:15 - 00:30","summer",848.942136796117,"2"
"99","00:30 - 00:45","summer",840.020146699029,"3"
"100","00:45 - 01:00","summer",830.470900679612,"4"
"101","01:00 - 01:15","summer",818.010725048544,"5"
"102","01:15 - 01:30","summer",809.17601,"6"
"103","01:30 - 01:45","summer",800.135620485437,"7"
"104","01:45 - 02:00","summer",791.832541165048,"8"
"105","02:00 - 02:15","summer",783.468014854369,"9"
"106","02:15 - 02:30","summer",775.215861067961,"10"
"107","02:30 - 02:45","summer",766.790012038835,"11"
"108","02:45 - 03:00","summer",760.754995436893,"12"
"109","03:00 - 03:15","summer",752.545968640777,"13"
"110","03:15 - 03:30","summer",744.221633980583,"14"
"111","03:30 - 03:45","summer",736.934904174757,"15"
"112","03:45 - 04:00","summer",730.156254368932,"16"
"113","04:00 - 04:15","summer",722.890197087379,"17"
"114","04:15 - 04:30","summer",714.736236893204,"18"
"115","04:30 - 04:45","summer",709.210952038835,"19"
"116","04:45 - 05:00","summer",706.053030194175,"20"
"117","05:00 - 05:15","summer",705.469085145631,"21"
"118","05:15 - 05:30","summer",703.117901067961,"22"
"119","05:30 - 05:45","summer",701.337621456311,"23"
"120","05:45 - 06:00","summer",704.375898058252,"24"
"121","06:00 - 06:15","summer",714.53765631068,"25"
"122","06:15 - 06:30","summer",721.026826893204,"26"
"123","06:30 - 06:45","summer",726.294978349515,"27"
"124","06:45 - 07:00","summer",728.262986019417,"28"
"125","07:00 - 07:15","summer",728.740813592233,"29"
"126","07:15 - 07:30","summer",726.23552815534,"30"
"127","07:30 - 07:45","summer",725.625043398058,"31"
"128","07:45 - 08:00","summer",725.782078737864,"32"
"129","08:00 - 08:15","summer",727.797267378641,"33"
"130","08:15 - 08:30","summer",728.227670097087,"34"
"131","08:30 - 08:45","summer",729.800613592233,"35"
"132","08:45 - 09:00","summer",734.206463398058,"36"
"133","09:00 - 09:15","summer",745.02510592233,"37"
"134","09:15 - 09:30","summer",761.849371941748,"38"
"135","09:30 - 09:45","summer",778.522509029126,"39"
"136","09:45 - 10:00","summer",794.976618834951,"40"
"137","10:00 - 10:15","summer",808.028371941748,"41"
"138","10:15 - 10:30","summer",820.608394271845,"42"
"139","10:30 - 10:45","summer",833.036142621359,"43"
"140","10:45 - 11:00","summer",844.630081941748,"44"
"141","11:00 - 11:15","summer",852.809758932039,"45"
"142","11:15 - 11:30","summer",859.618895728155,"46"
"143","11:30 - 11:45","summer",864.661465825243,"47"
"144","11:45 - 12:00","summer",872.814026407767,"48"
"145","12:00 - 12:15","summer",878.941270388349,"49"
"146","12:15 - 12:30","summer",883.433258058252,"50"
"147","12:30 - 12:45","summer",887.229136699029,"51"
"148","12:45 - 13:00","summer",885.632496213592,"52"
"149","13:00 - 13:15","summer",877.758640349515,"53"
"150","13:15 - 13:30","summer",875.378696019417,"54"
"151","13:30 - 13:45","summer",880.533893184466,"55"
"152","13:45 - 14:00","summer",889.607049456311,"56"
"153","14:00 - 14:15","summer",899.549183223301,"57"
"154","14:15 - 14:30","summer",908.504262776699,"58"
"155","14:30 - 14:45","summer",919.315660291262,"59"
"156","14:45 - 15:00","summer",923.838913708738,"60"
"157","15:00 - 15:15","summer",929.131827281553,"61"
"158","15:15 - 15:30","summer",929.198878737864,"62"
"159","15:30 - 15:45","summer",927.407943980583,"63"
"160","15:45 - 16:00","summer",925.587785825243,"64"
"161","16:00 - 16:15","summer",927.678272970874,"65"
"162","16:15 - 16:30","summer",923.528719165049,"66"
"163","16:30 - 16:45","summer",919.322211320388,"67"
"164","16:45 - 17:00","summer",914.755098116505,"68"
"165","17:00 - 17:15","summer",910.894332504854,"69"
"166","17:15 - 17:30","summer",903.822285669903,"70"
"167","17:30 - 17:45","summer",897.378834854369,"71"
"168","17:45 - 18:00","summer",893.788864776699,"72"
"169","18:00 - 18:15","summer",889.703204990291,"73"
"170","18:15 - 18:30","summer",887.655280582524,"74"
"171","18:30 - 18:45","summer",889.009972796116,"75"
"172","18:45 - 19:00","summer",894.872176796116,"76"
"173","19:00 - 19:15","summer",900.275322582524,"77"
"174","19:15 - 19:30","summer",908.152869456311,"78"
