"day","hour","value"
1,1,0.641008733018868
2,1,0.653909772115385
3,1,0.638793563525641
4,1,0.651156244423077
5,1,0.651954930192308
6,1,0.648458197115385
7,1,0.648135329811321
1,2,0.599074123584906
2,2,0.609668614807692
3,2,0.594338369102564
4,2,0.605335848653846
5,2,0.606574416153846
6,2,0.605897953653846
7,2,0.604479368679245
1,3,0.56554603754717
2,3,0.580356583653846
3,3,0.566662014487179
4,3,0.578152941923077
5,3,0.576842216153846
6,3,0.575904844038462
7,3,0.573091621886792
1,4,0.537581544716981
2,4,0.559328627692308
3,4,0.546550422371795
4,4,0.556640936346154
5,4,0.555607685384615
6,4,0.554527520192308
7,4,0.552381416415094
1,5,0.529457706226415
2,5,0.548127835576923
3,5,0.535826229871795
4,5,0.544971036153846
5,5,0.546194231730769
6,5,0.545076469038462
7,5,0.540488196792453
1,6,0.560566593962264
2,6,0.579354699615385
3,6,0.565150233333333
4,6,0.573894439038461
5,6,0.578320599230769
6,6,0.569056620192308
7,6,0.557851490754717
1,7,0.650066312264151
2,7,0.664011301923077
3,7,0.654823835064103
4,7,0.662281200576923
5,7,0.671763743076923
6,7,0.645289117884615
7,7,0.610484850566038
1,8,0.703239405849057
2,8,0.7159477975
3,8,0.708770414679487
4,8,0.712643175
5,8,0.728589776923077
6,8,0.70692281
7,8,0.671447415849057
1,9,0.719543653207547
2,9,0.727502677884615
3,9,0.728715689487179
4,9,0.723935510384615
5,9,0.7499635925
6,9,0.735719843653846
7,9,0.710779580377358
1,10,0.752182867358491
2,10,0.738297866346154
3,10,0.766077233910256
4,10,0.7587518925
5,10,0.781236393653846
6,10,0.772714438076923
7,10,0.739149930188679
1,11,0.785362056792453
2,11,0.760804658461538
3,11,0.799589993141026
4,11,0.792811177692308
5,11,0.817322132692308
6,11,0.806578954615385
7,11,0.761913650566038
1,12,0.785999196037736
2,12,0.771292051730769
3,12,0.802006772948718
4,12,0.802321182807692
5,12,0.831240205576923
6,12,0.817526390192308
7,12,0.763862049433962
1,13,0.779928678490566
2,13,0.766958328653846
3,13,0.799019265833333
4,13,0.794952421653846
5,13,0.822131808653846
6,13,0.810862134423077
7,13,0.752639049056604
1,14,0.753696570566038
2,14,0.729241624423077
3,14,0.773927085448718
4,14,0.775231615615385
5,14,0.784179064807692
6,14,0.777984787692308
7,14,0.718222582264151
1,15,0.76862978754717
2,15,0.742948171153846
3,15,0.794809295448718
4,15,0.794120777615385
5,15,0.804187905
6,15,0.792186302884615
7,15,0.720529184339623
1,16,0.771172984716981
2,16,0.750245538076923
3,16,0.79557501775641
4,16,0.798876904923077
5,16,0.81121656
6,16,0.796155687692308
7,16,0.714796458867925
1,17,0.768248833962264
2,17,0.754445974615385
3,17,0.798256838141026
4,17,0.800209562692308
5,17,0.805201105384615
6,17,0.798917459807692
7,17,0.712005458113208
1,18,0.784118790943396
2,18,0.772239748846154
3,18,0.813560692948718
4,18,0.818046937153846
5,18,0.821612103846154
6,18,0.805076039807692
7,18,0.729367787358491
1,19,0.814713024716981
2,19,0.816515232692308
3,19,0.847498267371795
4,19,0.852533949923077
5,19,0.849136743269231
6,19,0.839339553653846
7,19,0.770676603584906
1,20,0.828037340754717
2,20,0.821262494423077
3,20,0.861110323910256
4,20,0.861649271153846
5,20,0.859688360961538
6,20,0.851960476346154
7,20,0.797067636792453
1,21,0.805474548867925
2,21,0.796614540576923
3,21,0.824847499487179
4,21,0.827149989615385
5,21,0.822071686538462
6,21,0.814426156730769
7,21,0.782278556981132
1,22,0.778878857169811
2,22,0.768875886538462
3,22,0.784464600833333
4,22,0.786339181730769
5,22,0.779671929038461
6,22,0.768551058269231
7,22,0.752335430566038
1,23,0.762887660566038
2,23,0.752928912884615
3,23,0.760946759487179
4,23,0.766703633076923
5,23,0.757199756730769
6,23,0.749445735961538
7,23,0.740084147358491
1,24,0.712071707169811
2,24,0.702800037692308
3,24,0.717154869102564
4,24,0.717434609038462
5,24,0.710917058461538
6,24,0.708469091153846
7,24,0.699524115849057
