"subdiv_name","Subdistrict_MapID","X","MU","comp_outage_duration","part_outage_duration","comp_outage_freq","part_outage_freq","ENS_complete","ENS_partial","RNS_complete","RNS_partial","District","subdiv_name2","num_of_households","population_persons","population_males","population_females","growth_rate_2001_2011","sex_ratio_2001","sex_ratio_2011","child_pop_age0to6","child_pop_age0to6_males","child_pop_age0to6_females","percent_child_to_totalpop","child_sex_ratio_2001","child_sex_ratio_2011","scheduled_castes_pop_2011","scheduled_castes_pop_2011_males","scheduled_castes_pop_2011_females","percent_scheduled_caste_to_totalpop","literates","literates_males","literates_females","literacy_rate","literacy_rate_males","literacy_rate_females","total_workers","total_workers_males","total_workers_females","main_workers_person","main_workers_males","main_workers_females","percent_mainworkers_to_totalpop","marginal_workers","marginal_workers_males","marginal_workers_females","percent_marginal_workers_to_totalpop","cultivator_persons","cultivator_males","cultivator_females","agricultural_labourers","agricultural_males","agricultural_females","household_industry_workers","household_industry_workers_males","household_industry_workers_females","other_workers","other_workers_males","other_females_females","nonworkers","nonworkers_males","nonworkers_females","percent_nonworkers_to_total_pop","total_var2","good_HH","livable_HH","dilapidated_HH","percent_HH_residence","good_residence","livable_residence","dilapidated_residence","percent_HH_other","good_other","livable_other","dilapidated_other","roof_grass_thatch_etc","roof_plastic_polythene","roof_handmade_tiles","roof_machinemade_tiles","roof_burnt_brick","roof_stone_slate","roof_GI_metal_asbestos","roof_concrete","roof_other","wall_grass_thatch_bamboo","wall_plastic_polythene","wall_mud_unburnt_brick","wall_wood","wall_stone_no_mortar","wall_stone_with_mortar","wall_GI_metal_asbestos","wall_burnt_brick","wall_concrete","wall_other","floor_mud","floor_wood_bamboo","floor_burnt_brick","floor_stone","floor_cement","floor_mosaic_tiles","floor_other","room_no_exclusive","room_one","room_two","room_three","room_four","room_five","room_six","HH_size_1","HH_size_2","HH_size_3","HH_size_4","HH_size_5","HH_size_6.8","HH_size_9.","status_owned","status_rented","status_others","married_couple_none","married_couple_1","married_couple_2","married_couple_3","married_couple_4","married_couple_5.","drinking_water_treated","drinking_water_untreated","drinking_water_covered_well","drinking_water_uncovered_well","drinking_water_handpump","drinking_water_tubewell_borehold","drinking_water_spring","drinking_water_river_canal","drinking_water_tank_pond_lake","drinking_water_other","location_drinking_water_within_premises","location_drinking_water_near_premises","location_drinking_water_away","lighting_source_electricity","lighting_source_kerosene","lighting_source_solar","lighting_source_other_oil","lighting_source_other","lighting_none","HH_with_latrine_within_premises","flush_latrine_piped_sewer","flush_latrine_septic","flush_latrine_other","pit_latrine_with_slab","pit_latrine_no_slab","night_soil_into_open_drain","night_soil_removed_by_human","night_soil_removed_by_animal","HH_no_latrine_within_premises","public_latrine","open_latrine","bathroom_yes","bathroom_no_roof","bathroom_none","waste_water_closed_drainage","waste_water_open_drainage","waste_water_no_drainage","cooking_fuel_firewood","cooking_fuel_crop_residue","cooking_fuel_cowdung","cooking_fuel_coal_lignite_charcoal","cooking_fuel_kerosene","cooking_fuel_LPG_PNG","cooking_fuel_electricity","cooking_fuel_biogas","cooking_fuel_other","cooking_fuel_none","total_var3","kitchen_cooking_inside_house","kitchen_inside_has","kitchen_inside_does_not_have","kitchen_cooking_outside_house","kitchen_outside_has","kitchen_outside_does_not_have","kitchen_no_cooking","HH_avail_banking_services","assets_radio_transistor","assets_television","assets_computer_laptop_with_internet","assets_computer_laptop_without_internet","assets_telephone_landline_only","assets_telephone_mobile_only","assets_telephone_both_landline_mobile","assets_bicycle","assets_scooter_motorcycle_moped","assets_car_jeep_van","assets_HH_with_TV_computer.laptop_phone_mobile_scooter.car","assets_none","structure_permanent","structure_semi_permanent","structure_total_temporary","structure_serviceable","structure_non_serviceable","structure_unclassifiable","percap_kwh_usage","perHH_kwh_usage","log_percap_kwh_usage","rooms_3plus","log_perHH_kwh_usage","log_comp_outage_duration","log_part_outage_duration","log_comp_outage_freq","log_part_outage_freq","log_ENS_complete","log_ENS_partial","log_RNS_complete","log_RNS_partial","subdivID","id","name","percap_kwh_usage2","X.Intercept.","subdistrictsCivil.Lines","subdistrictsConnaught.Place","subdistrictsDaryaganj","subdistrictsDefence.Colony","subdistrictsDelhi.Cantonment","subdistrictsGandhi.Nagar","subdistrictsHauz.Khas","subdistrictsKalkaji","subdistrictsKarol.Bagh","subdistrictsKotwali","subdistrictsModel.Town","subdistrictsNajafgarh","subdistrictsNarela","subdistrictsPaharganj","subdistrictsParliament.Street","subdistrictsPatel.Nagar","subdistrictsPreet.Vihar","subdistrictsPunjabi.Bagh","subdistrictsRajouri.Garden","subdistrictsSadar.Bazaar","subdistrictsSaraswati.Vihar","subdistrictsSeelampur","subdistrictsSeemapuri","subdistrictsShahdara","subdistrictsVasant.Vihar","subdistrictsVivek.Vihar","subdistrictsCivilLines","subdistrictsConnaughtPlace","subdistrictsDaryaganj.1","subdistrictsDefenceColony","subdistrictsDelhiCantonment","subdistrictsGandhiNagar","subdistrictsHauzKhas","subdistrictsKalkaji.1","subdistrictsKarolBagh","subdistrictsKotwali.1","subdistrictsModelTown","subdistrictsNajafgarh.1","subdistrictsNarela.1","subdistrictsPaharganj.1","subdistrictsParliamentStreet","subdistrictsPatelNagar","subdistrictsPreetVihar","subdistrictsPunjabiBagh","subdistrictsRajouriGarden","subdistrictsSadarBazaar","subdistrictsSaraswatiVihar","subdistrictsSeelampur.1","subdistrictsSeemapuri.1","subdistrictsShahdara.1","subdistrictsVasantVihar","subdistrictsVivekVihar","NA.","part_outage_freq2"
"Chanakyapuri","p18",1,369.8064363,126.754761,240.0002368,0.610866318,2.670588317,0.1494942597,0.302065946,0.0002199601241,0.0003842603675,"New Delhi","Chanakya Puri",15074,61382,34005,27377,-18.1507854,796.3064984,805.0874871,5992,3165,2827,9.761819426,898.2737361,893.206951,15095,8281,6814,24.59189991,48178,28101,20077,86.97959921,91.11867704,81.78004073,25830,20708,5122,24230,19690,4540,39.47411293,1600,1018,582,2.60662735,46,35,11,118,78,40,315,195,120,25351,20400,4951,35552,13297,22255,57.91925972,100,55.8,39.7,4.5,97.8,55.3,38,4.4,2.2,0.4,1.7,0.1,8.9,9.1,0.2,0.1,3.3,6.5,10.5,61.3,0.1,0.7,0.5,15.4,1.9,2,2.4,0.1,68.6,8.1,0.4,7.3,0.1,4.1,4.8,66.2,16.4,1.1,3.4,54.3,24.5,7.6,5.3,2.6,2.4,10.7,9.9,14.3,25.7,17.5,18.8,3,14.5,36.9,48.6,21.5,68.7,8.2,1.5,0.2,0,86.3,6.7,0,0,2.8,1.8,0,0,2,0.3,69.8,16.9,13.3,98.2,1.6,0,0,0.2,0,69,68.2,0.4,0,0.3,0.1,0,0,0,31,28,2.9,75.4,10.5,14.1,75.4,18.3,6.3,6.5,0.2,0.1,0,9.4,81.9,0.7,0.1,0.1,1.1,100,95.2,70.1,25.1,3.7,0.2,3.5,1.1,78.9,31.5,81.4,19.2,12.4,5.7,65.2,16.6,38.2,27.4,19.9,23.2,5.5,78.5,5.8,15.2,14.2,1,0.5,6024.672319,24532.73426,8.70361837,17.8,10.1077636,4.842254204,5.48063991,-0.4928771359,0.9822987915,-1.900497284,-1.197109921,-8.422064282,-7.864190195,18,"p18","Chanakyapuri",6025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"Civil Lines","p6",2,990.1376666,316.9676087,2360.614876,4.101923366,26.96538345,0.5131131389,2.771064379,0.0006198032652,0.003213327327,"North","Civil Lines",139116,688616,367522,321094,30.79722532,836.055283,873.6728686,81395,43583,37812,11.8200855,868.7627984,867.5859854,129391,67996,61395,18.79000778,532415,299128,233287,87.68059734,92.34084195,82.35150839,225926,194192,31734,216529,187767,28762,31.44408495,9397,6425,2972,1.364621211,2058,1617,441,1378,1035,343,6785,5718,1067,215705,185822,29883,462690,173330,289360,67.19129384,100,62.1,34.9,3,95.5,59.6,33.1,2.9,4.5,2.5,1.8,0.1,0.7,0.5,0.6,0.6,5.2,31.4,5.4,55.5,0.1,0.1,0.1,1.8,0.1,1.6,4.2,0.2,87.9,3.8,0.2,1.5,0,2.7,12.3,74,9.4,0.1,1.4,32,35.3,16.9,8.6,2.8,3,3.8,6.7,11.7,23.8,22,26.3,5.8,69.5,26.3,4.3,12.2,69.8,14,3.3,0.6,0.1,72.9,5.2,0.1,0.1,8,1.2,0,0,3.7,8.8,70.3,21.4,8.3,99.1,0.7,0,0,0.1,0.1,90.3,49.9,37.7,0.6,1.7,0,0.4,0,0,9.7,7,2.7,87.6,4.1,8.4,60.3,34.6,5.1,2.3,0.5,0.5,0.1,4.2,91.8,0,0.1,0,0.5,100,98.5,81.5,17,1.1,0.4,0.7,0.5,81,29.5,89.5,12.3,11.2,4.3,74.4,12.7,29.5,37.2,15.4,17.4,2.3,97.1,2,0.6,0.4,0.2,0.3,1437.866193,7117.352904,7.270915483,31.3,8.870291152,5.758799588,7.766677405,1.411455977,3.294553949,-0.6672589145,1.019231499,-7.386108445,-5.740448328,6,"p6","Civil Lines",1438,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
"Connaught Place","p16",3,109.0097475,56.98940743,95.04631904,0.2746477466,0.8981493687,0.0672131698,0.1167362659,9.89e-05,0.0001563837814,"New Delhi","Connaught Place",6814,28228,15208,13020,-37.25158938,754.1821018,856.1283535,2374,1228,1146,8.410089273,926.1308168,933.2247557,5534,2928,2606,19.60464787,22969,12899,10070,88.84118512,92.26752504,84.80714165,12714,9425,3289,12056,9003,3053,42.70936659,658,422,236,2.331018847,35,17,18,61,47,14,448,300,148,12170,9061,3109,15514,5783,9731,54.95961457,100,76.1,22.6,1.3,97.7,74.9,21.7,1.1,2.3,1.3,0.9,0.2,1.7,2.8,0.3,0.5,1.1,11.4,9.1,73.1,0,0.2,0.3,0.5,0.3,1.1,3.5,0.7,87.4,5.8,0.1,1.6,0.3,2.1,4.6,61.3,30,0.1,1,45.1,23,11.4,10.8,5.8,2.8,7.3,10.1,14.9,26.2,18.6,19,3.9,17.6,63.5,18.9,18,69.3,10.7,1.6,0.3,0,93.5,3.5,0,0,1.7,1.1,0,0,0,0.2,81.8,14.8,3.4,99.2,0.5,0,0,0.3,0,78.2,77.8,0.2,0.2,0,0,0,0,0,21.8,18.7,3.1,83.5,6,10.6,89.8,8,2.1,1.8,0.3,0.2,0.1,5,92.1,0.2,0,0,0.4,100,98.1,86.8,11.3,1.5,0.3,1.2,0.4,90.8,43.4,88.6,35.1,11,10.4,59.6,25.2,34.7,31.5,34.4,36.7,1.9,95,4,0.9,0.6,0.3,0.1,3861.759513,15997.90836,8.258878191,30.9,9.680213265,4.042865416,4.554364342,-1.292265924,-0.1074188896,-2.699886072,-2.147838026,-9.22145307,-8.763197435,16,"p16","Connaught Place",3862,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Daryaganj","p12",4,132.6338572,5.020303909,23.17857823,0.05850164891,0.3171568217,0.005560706494,0.0186076602,9.71e-06,3.35e-05,"Central","Darya Ganj",53125,271108,143293,127815,-12.07127498,853.5616167,891.9835582,30709,15773,14936,11.32722015,932.3099686,946.9346351,30211,15769,14442,11.14352952,198753,107129,91624,82.67630065,84.00956713,81.1701025,93360,82653,10707,88525,79318,9207,32.65303864,4835,3335,1500,1.783422105,433,274,159,343,259,84,4940,4184,756,87644,77936,9708,177748,60640,117108,65.56353925,100,51.9,43.3,4.8,97.1,50.5,42,4.7,2.9,1.5,1.3,0.1,2.4,2,0.4,0.9,8,50,3.9,32.1,0.2,0.5,0.3,3.1,1.4,2,7.1,0.6,78.7,6.3,0.1,2.6,0.1,3.2,9.1,75.7,9.1,0.2,1.3,49.3,31.1,11.4,4.1,1.2,1.5,3.4,7.1,11.8,20.5,19.6,28.4,9.1,66.8,28.1,5.1,14.1,69.8,12,3.1,0.7,0.3,89.7,3.6,0,0,1.6,4.9,0,0,0,0.2,89.4,10,0.6,98.6,1.1,0.1,0,0.1,0,88.7,87.2,1.1,0.2,0.1,0,0,0,0,11.3,10.5,0.9,86.9,2.9,10.3,91.1,7.2,1.7,3.2,0.1,0.1,0.1,11.8,83.8,0.3,0,0.1,0.4,100,97.8,81.3,16.5,1.8,0.5,1.3,0.4,65.9,27.9,87,9.3,8.5,5,74.5,10.2,12.5,29.4,8.5,11.2,3.5,93.4,2.8,3.4,2.7,0.7,0.4,489.2288578,2496.637312,6.192830392,18.3,7.82270003,1.613490471,3.1432285,-2.838700339,-1.148358922,-5.192030111,-3.984181944,-11.54239955,-10.30458005,12,"p12","Daryaganj",489,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Defence Colony","p19",5,626.1488312,806.3325433,1364.568778,4.132001711,12.91294526,0.9559840131,1.588626028,0.001398633353,0.002237455143,"South","Defence Colony",137677,637775,339725,298050,4.540254001,814.8489698,877.32725,66230,34886,31344,10.38454,885.0192379,898.4693,68480,35958,32522,10.737329,508758,280938,227820,89.01451329,92.15946778,85.41990056,232196,185243,46953,217951,175385,42566,34.17365058,14245,9858,4387,2.233546313,636,494,142,1236,999,237,7036,5987,1049,223288,177763,45525,405579,154482,251097,63.5928031,100,75.5,20.9,3.6,97.3,73.8,20,3.5,2.7,1.7,0.9,0.1,0.9,1,0.2,0.4,4.5,7.7,7,78.2,0.1,0.4,0.2,2.9,0.2,0.6,3.4,0.2,84.7,7.3,0.2,1.9,0.1,1.7,15.2,52.6,28.2,0.5,0.8,26.1,29.5,26.1,10.5,2.9,4.2,4.5,9.1,14.3,24.9,18.7,23.3,5.3,60.9,33.5,5.6,14.8,68.8,13,2.8,0.5,0.1,82.7,4.9,0.2,0,1.9,7.8,0,0,0,2.4,84.9,10.7,4.4,99.5,0.4,0,0,0,0,91.3,83.3,7.1,0.4,0.2,0.1,0.1,0,0,8.7,5.5,3.2,90.3,1.8,7.9,87.5,10.9,1.7,2.3,0.1,0.2,0.1,5,91.4,0,0.4,0,0.4,100,98.4,85.9,12.5,1.2,0.3,0.9,0.4,88.1,47.4,89.8,32.9,14.9,7.5,59.8,27.5,22.5,42,35.4,38.7,2,95.5,2.9,1.3,0.8,0.6,0.2,981.770736,4547.955223,6.889357815,43.6,8.422433009,6.692496242,7.218593744,1.418761965,2.558230317,-0.04501408875,0.4628695091,-6.572259695,-6.102416156,19,"p19","Defence Colony",982,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"Delhi Cantonment","p23",6,940.6046129,665.3887692,1134.873457,2.932929503,13.40352127,0.8356957167,1.247352695,0.00132891689,0.001812303241,"South West","Delhi Cantonment",63974,286140,160494,125646,-6.88517335,692.9340341,782.8703877,31252,16874,14378,10.92192633,838.3266602,852.0801233,53894,29216,24678,18.83483609,223321,131775,91546,87.61534478,91.75254143,82.27522738,110721,93096,17625,101265,86393,14872,35.39001887,9456,6703,2753,3.304676033,375,286,89,493,401,92,2257,1697,560,107596,90712,16884,175419,67398,108021,61.3053051,100,56.5,38,5.6,95.8,54.2,36.5,5.1,4.2,2.3,1.4,0.5,2.9,3.3,0.4,0.8,5.5,14.6,14.1,58,0.5,0.3,2.1,6.2,0.7,1.5,3.9,0.8,78.8,5.7,0.1,7,0.2,3.3,11.3,62.4,15.2,0.6,2.1,42.5,24.2,15.8,8.2,3.1,4.1,6.7,10.2,13.9,23.8,19.5,21.6,4.3,53.2,33.5,13.2,19.3,65.5,11.9,2.7,0.5,0.1,77.7,14,0,0,0.7,5.5,0,0,0.3,1.7,74.1,17.5,8.4,95.4,3.8,0.1,0,0.6,0.1,74.7,72.7,0.4,0.9,0.3,0.1,0.3,0,0,25.3,15.2,10.1,75.2,5.5,19.2,74.2,18.8,7,4.8,0.2,0.1,0.1,12.4,81.8,0,0,0,0.4,100,96.5,63.6,32.9,3.1,0.4,2.7,0.4,76.1,31.8,79.4,19,10,5.5,62,18.2,27.9,29.3,21.3,22.9,6.9,88.7,6,4.7,2.6,2.1,0.5,3287.21819,14702.92014,8.097796951,31.2,9.595801402,6.500371485,7.034276432,1.076001754,2.595517454,-0.1794907074,0.2210234612,-6.623391037,-6.313156734,23,"p23","Delhi Cantonment",3287,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"Gandhi Nagar","p15",7,167.2319906,47.98149187,323.30212,0.5817201303,4.52704285,0.05290917363,0.339645275,9.35e-05,0.0004315868343,"East","Gandhi Nagar",80389,395342,208645,186697,7.1564676,847.4939533,894.8069688,43344,23361,19983,10.96367196,845.8416325,855.4000257,37461,19743,17718,9.475593284,318578,172557,146021,90.50562787,93.13108525,87.58772509,131210,114595,16615,127237,111911,15326,32.18403307,3973,2684,1289,1.004952674,232,180,52,833,644,189,6364,5650,714,123781,108121,15660,264132,94050,170082,66.81101426,100,72.2,25.4,2.4,92.7,67.4,23,2.3,7.3,4.8,2.4,0.1,1.2,1.1,0.1,0.2,3.5,8.9,2.6,82.3,0.1,1.1,0.1,0.9,0.6,1.1,3.6,1.1,85.4,6.1,0.1,2.2,0.1,2.4,20.1,56.1,18.7,0.4,0.8,28.4,31.8,20.3,10.7,3.5,4.6,3.6,6.8,13.1,25.9,20.2,24.3,6,72.8,22.7,4.5,11.9,68.1,15.3,3.8,0.7,0.1,92.5,2.8,0,0,2.3,1.9,0,0,0.1,0.3,90.6,8.2,1.1,99.3,0.4,0,0,0.2,0,95.3,71.2,5,3.8,0.2,0.9,14.1,0.2,0,4.7,3.1,1.6,92.3,3.3,4.5,51.6,46.2,2.1,2.9,0.3,0.1,0,3.9,92.4,0,0,0,0.3,100,98.3,87.2,11.1,1.4,0.4,1,0.3,81.8,38.9,90.6,15.5,15.1,5.1,69.2,19.1,28.9,57.1,21.3,25.6,2.3,96.4,1.8,1.5,0.6,1,0.2,423.00588,2080.284499,6.04738608,39,7.640259942,3.87081535,5.778587242,-0.5417658227,1.510068934,-2.939178541,-1.079853515,-9.278019803,-7.748041829,15,"p15","Gandhi Nagar",423,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Hauz Khas","p22",8,1942.624219,486.2229566,1185.003667,2.696937742,14.64513339,0.6202955128,1.815274031,0.0009138144343,0.00179423427,"South","Hauz Khas",254502,1231293,658380,572913,19.24547488,805.8868796,870.1859109,149983,79739,70244,12.180935,882.1726712,880.9240146,219813,115084,104729,17.85220902,939355,533893,405462,86.87194237,92.26670768,80.66182717,413366,346853,66513,390586,330625,59961,31.72161297,22780,16228,6552,1.850087672,1498,1187,311,2801,2243,558,11625,9664,1961,397442,333759,63683,817927,311527,506400,66.42829936,100,69.2,28.6,2.1,96.8,67.3,27.4,2,3.2,1.9,1.2,0.1,0.6,0.3,0.4,0.7,3.5,16.2,7.5,70.8,0.1,0.1,0.2,2.3,0.1,0.8,3.2,0.2,87.8,5.2,0.1,2.3,0.1,2.1,14.2,65.2,15.7,0.5,1.9,31.2,30.2,18.9,10.8,3.2,3.7,4.2,8.4,13.4,23.5,19.9,25.2,5.4,64.3,32.3,3.4,12.5,70.1,13.3,3.3,0.6,0.1,57.3,13.4,0.1,0,0.4,25.7,0,0,1.1,1.9,76.3,15.6,8.1,99.4,0.4,0,0,0.1,0.1,94.1,54,37,1,1.1,0.2,0.7,0,0,5.9,2.4,3.5,91.5,3.3,5.2,59.2,32.7,8.1,3.8,0.2,0.6,0.1,1.8,93.1,0,0.1,0,0.3,100,97.9,82.3,15.6,1.8,0.4,1.5,0.3,81.8,36.1,89.4,19.8,11.3,5.6,72.7,15.5,28.6,38.5,21.7,24.2,1.6,96.9,2.3,0.6,0.4,0.2,0.2,1577.710763,7633.041071,7.363730191,36.7,8.940241613,6.186667277,7.077501148,0.9921169597,2.684108089,-0.4775592809,0.5962364377,-6.997883033,-6.323176939,22,"p22","Hauz Khas",1578,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"Kalkaji","p21",9,1577.446123,148.5943339,1556.413813,2.108934491,27.97510168,0.2072525839,2.080491106,0.0002550519539,0.002018878399,"South","Kalkaji",181954,862861,469323,393538,38.19551329,773.3599934,838.5227232,114830,60967,53863,13.30805309,897.4972562,883.4779471,134633,72157,62476,15.6030925,630289,370205,260084,84.25974325,90.65741657,76.56848458,278831,243496,35335,260549,229525,31024,30.19594118,18282,13971,4311,2.118765363,850,731,119,1871,1559,312,6420,5246,1174,269690,235960,33730,584030,225827,358203,67.68529346,100,56.6,40,3.4,96.2,54.6,38.3,3.3,3.8,2,1.6,0.1,1.4,1.2,0.4,0.9,2.9,24.4,10.9,57.8,0.1,0.3,0.4,4,0.1,1.2,3.3,0.1,86.4,4,0.1,2.7,0.1,2.4,7.7,76,10.8,0.3,1.2,42.6,29.8,14.3,7.7,2.1,2.3,4.7,8.6,13,22.6,20.5,25.9,4.6,64.4,32.8,2.8,13.1,71.8,11.9,2.6,0.5,0.1,47,11.9,0.1,0,19.2,18,0,0,1,2.7,69.3,23.2,7.5,98.8,1,0,0,0.1,0.1,76.9,37.2,36.4,0.9,1.8,0.1,0.5,0,0,23.1,16,7.1,75.2,9.2,15.6,40.5,57.1,2.4,3.8,0.4,0.4,0.4,6,88.3,0,0.1,0,0.4,100,98,64.8,33.2,1.6,0.3,1.3,0.4,71.4,26.8,81.5,11,10,3.9,76,9.5,29.1,30.9,11.9,14.4,3.8,94.1,3.9,1.8,1.1,0.6,0.2,1828.157864,8669.477575,7.511064107,26.4,9.067563811,5.001220002,7.350139616,0.7461828392,3.331314889,-1.573817018,0.7326039743,-8.274043293,-6.20521317,21,"p21","Kalkaji",1828,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"Karol Bagh","p14",10,101.5521851,11.8017136,97.34722487,0.118017136,1.307046805,0.01410894861,0.09079303344,2.36e-05,0.0001307053103,"Central","Karol Bagh",30496,136599,71544,65055,-2.601819634,867.9559409,909.3005703,12834,6963,5871,9.395383568,869.1671964,843.171047,59352,30206,29146,43.44980564,112691,60602,52089,91.05239769,93.83874514,88.01196269,51608,41821,9787,49356,40441,8915,36.13203611,2252,1380,872,1.648621147,59,37,22,93,74,19,2782,2403,379,48674,39307,9367,84991,29723,55268,62.21934275,100,74.3,24.9,0.8,95.2,71.5,22.9,0.7,4.8,2.8,2,0,0.1,0.2,0.1,1.3,5.4,16.3,1.1,75.4,0,0,0,0.6,0.2,0.8,4.3,0.1,84.3,9.5,0.1,0.1,0,1.6,18.5,54,25.4,0.4,1,22.8,28.8,27.1,12.6,2.7,5,4.3,9.1,15.2,27.4,19.6,19.8,4.6,79.6,17.1,3.4,14.8,67.4,13.9,3.2,0.6,0.1,98.1,1.1,0,0,0,0.6,0,0,0,0.1,97.6,2.1,0.2,99.6,0.4,0,0,0,0,98.3,97.7,0.5,0,0,0,0,0,0,1.7,1.7,0.1,96.8,1,2.1,96.8,2.7,0.5,0.6,0.1,0,0,1.5,97.3,0,0,0,0.4,100,99.3,90.7,8.6,0.2,0.1,0.2,0.4,88.8,47.5,95.3,32.7,10.2,7.9,56.7,30.9,17.9,44.4,36.2,37.1,0.9,98.8,1,0.1,0,0,0.1,743.4328591,3330.016564,6.611278458,47.4,8.110732557,2.468244741,4.578284225,-2.136925445,0.2677702449,-4.26094603,-2.399172721,-10.65551674,-8.942565308,14,"p14","Karol Bagh",743,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
