"","subdiv","district"
"0","Narela","North West"
"1","Saraswati Vihar","North West"
"2","Model Town","North West"
"3","Punjabi Bagh","West"
"4","Patel Nagar","West"
"5","Rajouri Garden","West"
"6","Civil Lines","North"
"7","Sadar Bazaar","North"
"8","Kotwali","North"
"9","Seelampur","North East"
"10","Vivek Vihar","East"
"11","Seemapuri","North East"
"12","Daryaganj","Central"
"13","Paharganj","Central"
"14","Karol Bagh","Central"
"15","Gandhi Nagar","East"
"16","Connaught Place","New Delhi"
"17","Parliament Street","New Delhi"
"18","Chanakyapuri","New Delhi"
"19","Defence Colony","South"
"20","Preet Vihar","East"
"21","Kalkaji","South"
"22","Hauz Khas","South"
"23","Delhi Cantonment","South West"
"24","Vasant Vihar","South West"
"25","Najafgarh","South West"
"26","Shahdara","North East"
