"","Subdistrict","District","Subdistrict2","annual_percap_consump_KWh","Total","Good","Livable","Dilapidated","Total.1","Good_residence","Livable_residence","Dilapidated_residence","Total_other","Good_other","Livable_other","Dilapidated_other","num_of_households","population_persons","population_males","population_females","growth_rate_2001_2011","sex_ratio_2001","sex_ratio_2011","child_pop_age0to6","child_pop_age0to6_males","child_pop_age0to6_females","percent_child_to_totalpop","child_sex_ratio_2001","child_sex_ratio_2011","scheduled_castes_pop_2011","scheduled_castes_pop_2011_males","scheduled_castes_pop_2011_females","percent_scheduled_caste_to_totalpop","literates","literates_males","literates_females","literacy_rate","literacy_rate_males","literacy_rate_females","total_workers","total_workers_males","total_workers_females","main_workers_person","main_workers_males","main_workers_females","percent_mainworkers_to_totalpop","marginal_workers","marginal_workers_males","marginal_workers_females","percent_marginal_workers_to_totalpop","cultivator_persons","cultivator_males","cultivator_females","agricultural_labourers","agricultural_males","agricultural_females","household_industry_workers","household_industry_workers_males","household_industry_workers_females","other_workers","other_workers_males","other_females_females","nonworkers","nonworkers_males","nonworkers_females","percent_nonworkers_to_total_pop","intercept","heating","cooling","threshold.t","sig.heating","sig.cooling","cooling.per","heating.per"
"1","Chanakyapuri","New Delhi","Chanakya Puri",6024.672319,100,55.8,39.7,4.5,97.8,55.3,38,4.4,2.2,0.4,1.7,0.1,15074,61382,34005,27377,-18.1507854,796.3064984,805.0874871,5992,3165,2827,9.761819426,898.2737361,893.206951,15095,8281,6814,24.59189991,48178,28101,20077,86.97959921,91.11867704,81.78004073,25830,20708,5122,24230,19690,4540,39.47411293,1600,1018,582,2.60662735,46,35,11,118,78,40,315,195,120,25351,20400,4951,35552,13297,22255,57.91925972,59.7089982828636,-0.625843235048512,2.16069243805276,20.4565186170838,0.483804293755897,0.0184631086437663,3.52007500252967e-05,-1.01958755832086e-05
"2","Civil Lines","North","Civil Lines",1425.528364,100,62.1,34.9,3,95.5,59.6,33.1,2.9,4.5,2.5,1.8,0.1,139116,688616,367522,321094,30.79722532,836.055283,873.6728686,81395,43583,37812,11.8200855,868.7627984,867.5859854,129391,67996,61395,18.79000778,532415,299128,233287,87.68059734,92.34084195,82.35150839,225926,194192,31734,216529,187767,28762,31.44408495,9397,6425,2972,1.364621211,2058,1617,441,1378,1035,343,6785,5718,1067,215705,185822,29883,462690,173330,289360,67.19129384,101.119627599462,1.02582670019245,4.31481125265223,22.9572844657925,0.243753750439818,5.22127925953907e-05,6.26591780128872e-06,1.48969338527198e-06
"3","Connaught Place","New Delhi","Connaught Place",3861.759513,100,76.1,22.6,1.3,97.7,74.9,21.7,1.1,2.3,1.3,0.9,0.2,6814,28228,15208,13020,-37.25158938,754.1821018,856.1283535,2374,1228,1146,8.410089273,926.1308168,933.2247557,5534,2928,2606,19.60464787,22969,12899,10070,88.84118512,92.26752504,84.80714165,12714,9425,3289,12056,9003,3053,42.70936659,658,422,236,2.331018847,35,17,18,61,47,14,448,300,148,12170,9061,3109,15514,5783,9731,54.95961457,15.7383273235308,-0.0901138696512821,0.573505452082863,21.0124292835744,0.631559457523522,0.00408462915478463,2.03168999604245e-05,-3.19235757585667e-06
"4","Daryaganj","Central","Darya Ganj",489.2288578,100,51.9,43.3,4.8,97.1,50.5,42,4.7,2.9,1.5,1.3,0.1,53125,271108,143293,127815,-12.07127498,853.5616167,891.9835582,30709,15773,14936,11.32722015,932.3099686,946.9346351,30211,15769,14442,11.14352952,198753,107129,91624,82.67630065,84.00956713,81.1701025,93360,82653,10707,88525,79318,9207,32.65303864,4835,3335,1500,1.783422105,433,274,159,343,259,84,4940,4184,756,87644,77936,9708,177748,60640,117108,65.56353925,39.2522150667203,-2.00422477050499,3.13496178632503,14.744493309742,0.00465973442113718,1.38358577905414e-05,1.15635163341732e-05,-7.39271718468282e-06
"5","Defence Colony","South","Defence Colony",981.770736,100,75.5,20.9,3.6,97.3,73.8,20,3.5,2.7,1.7,0.9,0.1,137677,637775,339725,298050,4.540254001,814.8489698,877.32725,66230,34886,31344,10.38454,885.0192379,898.4693,68480,35958,32522,10.737329,508758,280938,227820,89.01451329,92.15946778,85.41990056,232196,185243,46953,217951,175385,42566,34.17365058,14245,9858,4387,2.233546313,636,494,142,1236,999,237,7036,5987,1049,223288,177763,45525,405579,154482,251097,63.5928031,85.2093561353713,-0.56762918390982,4.60822077364403,22.6069798134567,0.535459246277402,5.52510088602439e-06,7.225464738574e-06,-8.9001479190909e-07
"6","Delhi Cantonment","South West","Delhi Cantonment",2546.784039,100,56.5,38,5.6,95.8,54.2,36.5,5.1,4.2,2.3,1.4,0.5,63974,286140,160494,125646,-6.88517335,692.9340341,782.8703877,31252,16874,14378,10.92192633,838.3266602,852.0801233,53894,29216,24678,18.83483609,223321,131775,91546,87.61534478,91.75254143,82.27522738,110721,93096,17625,101265,86393,14872,35.39001887,9456,6703,2753,3.304676033,375,286,89,493,401,92,2257,1697,560,107596,90712,16884,175419,67398,108021,61.3053051,114.042202767012,-0.00717793592610147,3.72349154431827,20.526023491174,0.994233577262829,0.000466135446982697,1.30128312864971e-05,-2.50853984975937e-08
"7","Gandhi Nagar","East","Gandhi Nagar",423.00588,100,72.2,25.4,2.4,92.7,67.4,23,2.3,7.3,4.8,2.4,0.1,80389,395342,208645,186697,7.1564676,847.4939533,894.8069688,43344,23361,19983,10.96367196,845.8416325,855.4000257,37461,19743,17718,9.475593284,318578,172557,146021,90.50562787,93.13108525,87.58772509,131210,114595,16615,127237,111911,15326,32.18403307,3973,2684,1289,1.004952674,232,180,52,833,644,189,6364,5650,714,123781,108121,15660,264132,94050,170082,66.81101426,24.5814876670366,-0.148705962162015,1.09934605491486,22.7684741587865,0.33121175451744,6.21813619515511e-09,2.78074693534929e-06,-3.76145115272384e-07
"8","Hauz Khas","South","Hauz Khas",1577.710763,100,69.2,28.6,2.1,96.8,67.3,27.4,2,3.2,1.9,1.2,0.1,254502,1231293,658380,572913,19.24547488,805.8868796,870.1859109,149983,79739,70244,12.180935,882.1726712,880.9240146,219813,115084,104729,17.85220902,939355,533893,405462,86.87194237,92.26670768,80.66182717,413366,346853,66513,390586,330625,59961,31.72161297,22780,16228,6552,1.850087672,1498,1187,311,2801,2243,558,11625,9664,1961,397442,333759,63683,817927,311527,506400,66.42829936,302.258244766091,-2.53551122764612,10.3238700589974,22.9835010152395,0.0767290951677044,7.9313821320381e-10,8.38457626170002e-06,-2.05922654286682e-06
"9","Kalkaji","South","Kalkaji",1828.157864,100,56.6,40,3.4,96.2,54.6,38.3,3.3,3.8,2,1.6,0.1,181954,862861,469323,393538,38.19551329,773.3599934,838.5227232,114830,60967,53863,13.30805309,897.4972562,883.4779471,134633,72157,62476,15.6030925,630289,370205,260084,84.25974325,90.65741657,76.56848458,278831,243496,35335,260549,229525,31024,30.19594118,18282,13971,4311,2.118765363,850,731,119,1871,1559,312,6420,5246,1174,269690,235960,33730,584030,225827,358203,67.68529346,218.208212059944,-1.44658452299175,9.58542930455737,22.4855655923372,0.237450005750739,1.30216226315924e-11,1.11088915880511e-05,-1.67649774759985e-06
"10","Karol Bagh","Central","Karol Bagh",738.1445555,100,74.3,24.9,0.8,95.2,71.5,22.9,0.7,4.8,2.8,2,0,30496,136599,71544,65055,-2.601819634,867.9559409,909.3005703,12834,6963,5871,9.395383568,869.1671964,843.171047,59352,30206,29146,43.44980564,112691,60602,52089,91.05239769,93.83874514,88.01196269,51608,41821,9787,49356,40441,8915,36.13203611,2252,1380,872,1.648621147,59,37,22,93,74,19,2782,2403,379,48674,39307,9367,84991,29723,55268,62.21934275,17.2019298657573,-0.237225479290985,0.612745901816613,19.5006128163678,0.266212944230951,0.00514890737954391,4.48572758085061e-06,-1.73665604646436e-06
