"","grid_name","population_persons","num_of_households","perc_population_males","perc_population_females","perc_child_pop_age0to6","perc_scheduled_castes_pop_2011","perc_literates","perc_total_workers","perc_main_workers_person","perc_marginal_workers","perc_cultivator_persons","perc_agricultural_labourers","perc_household_industry_workers","perc_other_workers","perc_nonworkers","perc_Total","perc_Total.1","perc_Total_other","perc_Good","perc_Livable","perc_Dilapidated","perc_Good_residence","perc_Livable_residence","perc_Dilapidated_residence","perc_Good_other","perc_Livable_other","perc_Dilapidated_other"
"1","BAWANA",466242.935758555,92705.4831879126,0.540561952490401,0.459438047509599,0.131410489627714,0.192084100833517,0.716222657579972,0.317654204472851,0.300405377343959,0.0172488271288927,0.00709086943344928,0.0082955854175147,0.00861648586689537,0.293651263754992,0.682345795527149,1,0.957591771116792,0.042408228883208,0.563786609572503,0.390114157262227,0.0460992331652703,0.541069384971357,0.370423152980165,0.0450992331652703,0.0227172246011457,0.0189475593618332,0.001
"2","GAZIPUR",380256.929335364,80786.593079073,0.532060787373936,0.467939212626064,0.115459383174686,0.185198415925283,0.786477696254397,0.341192953498215,0.325244945508474,0.0159480079897409,0.000705582399624452,0.00176653082210087,0.0100174778376533,0.328703362438837,0.658807046501785,1,0.965862629019731,0.0341373709802687,0.74730802468024,0.234834466718444,0.0178575086013154,0.725168093490764,0.223837026927652,0.017,0.0221399311894767,0.0109974397907921,0.000857508601315419
"3","GEETA COLONY",995929.136891991,196393.922794993,0.528559741343439,0.471440258656561,0.117291202849422,0.175020923173102,0.770279880117785,0.324988745115106,0.310257285079393,0.014731460035713,0.000724317015165745,0.00130708663754735,0.0126914340539904,0.310265907408403,0.675011254884894,1,0.941889864998054,0.0581101350019463,0.692212101576085,0.286895194451298,0.0208927039726176,0.656042164166811,0.265766377321254,0.0200660652482638,0.0361572911232599,0.0211289805118005,0.000826638724353781
"4","GOPALPUR",1081208.09034985,210177.361855284,0.533806073181075,0.466193926818925,0.125310854170561,0.166019282247684,0.741714759725056,0.317048114093719,0.302828223429939,0.0142198906637803,0.0017753081868715,0.00170120920222495,0.0113106478671817,0.302260948837441,0.682951885906281,1,0.951889970103544,0.0481100298964559,0.605749500291225,0.367648386404601,0.0266021133041735,0.578184104362123,0.348437369343346,0.0256021133041735,0.0275653959291024,0.0191883539926041,0.001
"5","KANJHAWALA",1578592.27166046,319278.492809693,0.534008573501404,0.465991426498596,0.120950995253879,0.195584158838265,0.752015872612227,0.3264396537226,0.312880490685831,0.0135591630367689,0.00190101216332364,0.00211619819410707,0.0106522844079626,0.311770158957206,0.6735603462774,1,0.965799507252193,0.0342004927478076,0.652862458676859,0.316586257787076,0.0305512835360657,0.632980604357584,0.302920091246652,0.0291163022773258,0.0198818543192743,0.0136646953084077,0.00143498125873987
"6","KASHMIRI GATE",515462.220383605,102052.718029089,0.532365797334012,0.467634202665988,0.115150431025857,0.139770038328137,0.742612003422121,0.339291820289662,0.321870071263584,0.0174217490260781,0.00135245705685346,0.00140063424156499,0.018006694436962,0.318532034554281,0.660708179710338,1,0.958510766553961,0.0414892334460395,0.541677889355499,0.41692508267977,0.0413970279647306,0.520958888630313,0.398397232538732,0.0398944605287443,0.0212378772388067,0.0186779677774107,0.00147096810875245
"7","LODHI ROAD",705630.721921104,152116.562692171,0.533573719276384,0.466426280723616,0.106585930471452,0.125581643099939,0.793108748434956,0.361045312124163,0.340143333962772,0.0209019781613906,0.000979746494965259,0.00199898721281195,0.0109969302568128,0.347069648159573,0.638954687875837,1,0.969905653364155,0.030094346635845,0.738528232500277,0.229014169599562,0.0323628182210976,0.719905764543611,0.218546307806282,0.0313299267752427,0.018601980590166,0.0104790132662799,0.0010328914458549
"8","MEHRAULI",961262.153848893,200405.272223363,0.535935996011813,0.464064003988187,0.121034069684384,0.176483338458979,0.764326376067965,0.339198954195477,0.320564423772015,0.0186345304234619,0.00123717839185137,0.00234383832593574,0.00933359303332065,0.326284344444369,0.660801045804523,1,0.96861654479515,0.0313834552048501,0.689054285978728,0.288329169226122,0.0216850497723887,0.6705338208194,0.276534684157838,0.0206165447951499,0.018451960182089,0.0118629900455222,0.00106850497723887
"9","NAJAFGARH",1008799.94522452,205847.731649359,0.534196987040175,0.465803012959825,0.122335026313405,0.137186396322664,0.771898582987258,0.318669552837683,0.302784395697703,0.0158851571399797,0.00557762814665052,0.00363316201278753,0.00875237690998641,0.300706385768258,0.681330447162317,1,0.957146777323397,0.0428532226766025,0.726528343655314,0.252868400039998,0.0206020067718991,0.698400260866174,0.238578593991571,0.0193146997890504,0.0281293323219289,0.0142898060484273,0.00128855651563802
"10","NARAINA",832937.941951605,180279.71275414,0.541203402233,0.458796597767,0.104840974745688,0.131776787046993,0.78441204617943,0.367869899968677,0.351104843252773,0.0167650567159043,0.000912391314575919,0.00116550226924312,0.0113618876855444,0.354430118699314,0.632130100031323,1,0.961082314875882,0.0389176851241178,0.679792385545267,0.285759423868293,0.0344553799637068,0.657024158001975,0.27195115757152,0.0322704055671477,0.022958715745227,0.0136105887175716,0.00238031539582042
