district,subdiv,total_HH,good_HH,livable_HH,dilapidated_HH,room_3plus,assets_HH_with_TV_computer-laptop_TV_mobile_scooter-car
New Delhi,Chanakya Puri,100,55.8,39.7,4.5,17.9,23.2
North,Civil Lines,100,62.1,34.9,3,31.3,17.4
New Delhi,Connaught Place,100,76.1,22.6,1.3,30.8,36.7
Central,Darya Ganj,100,51.9,43.3,4.8,18.2,11.2
South,Defence Colony,100,75.5,20.9,3.6,43.7,38.7
South West,Delhi Cantonment,100,56.5,38,5.6,31.2,22.9
East,Gandhi Nagar,100,72.2,25.4,2.4,39.1,25.6
South,Hauz Khas,100,69.2,28.6,2.1,36.6,24.2
South,Kalkaji,100,56.6,40,3.4,26.4,14.4
Central,Karol Bagh,100,74.3,24.9,0.8,47.4,37.1
North,Kotwali,100,52.3,43.5,4.2,29.1,19.3
North West,Model Town,100,58.7,38.5,2.8,32.9,21.5
South West,Najafgarh,100,73.9,24.3,1.8,45.9,24.8
North West,Narela,100,53.3,41.5,5.2,32.3,11.9
Central,Pahar Ganj,100,51.3,45.6,3.1,29.1,19.2
New Delhi,Parliament Street,100,77.4,18.5,4.1,24.9,30.3
West,Patel Nagar,100,68.8,28.9,2.2,42,25.7
East,Preet Vihar,100,75.6,22.6,1.8,37.8,29.1
West,Punjabi Bagh,100,65.3,31.1,3.6,39.9,22.7
West,Rajouri Garden,100,71.5,25.3,3.2,48.2,37.6
North,Sadar Bazar,100,50.3,44.3,5.4,20.7,10.6
North West,Saraswati Vihar,100,65.3,31.8,2.9,39.4,24.2
North East,Seelam Pur,100,61,37.1,1.9,32.1,9.7
North East,Seema Puri,100,62.1,35.7,2.2,28.4,13.6
North East,Shahdara,100,68.7,29.2,2.1,41.4,22.6
South West,Vasant Vihar,100,64.9,32,3.1,32.3,30.6
East,Vivek Vihar,100,69.5,28.8,1.7,47.8,33.9
