,gird,num_of_households,num_of_population,num_of_males,num_of_females,num_literacy,num_nonworkers,num_scheduled_caste,num_dilapidated,num_room_3more,num_tv.pc.ph.car,sex_ratio,percent_literacy,percent_scheduled_caste,percent_nonworkers,percent_dilapidated,percent_room_3more,percent_tv.pc.ph.car
1,BAWANA,92733.51778,466405.002,252128.9636,214276.0385,384482.8146,318259.2156,89587.72728,4279.308206,31628.63342,13938.27428,849.8668119,82.4353969,19.20814033,68.23666432,4.614629434,34.10701349,15.03045999
2,GAZIPUR,75421.7678,355164.0531,188953.7775,166210.2756,315806.1345,233976.1812,65809.26286,1346.271888,29641.42141,22491.09116,879.6345738,88.91838342,18.52925776,65.87833965,1.784991161,39.30088392,29.82042428
3,GEETA COLONY,202994.8329,1029561.623,544254.3987,485307.2248,897104.1001,695256.0872,183099.3145,4239.746532,77079.66631,48784.94008,891.6918742,87.13457064,17.78420158,67.52933203,2.088598252,37.97124549,24.03260191
4,GOPALPUR,207159.9438,1064495.012,568259.1728,496235.8389,902777.7582,726568.1025,177248.2013,5525.602439,66558.12346,33920.88686,873.2561878,84.80807784,16.65091892,68.25472121,2.667312193,32.12885766,16.37424989
5,KANJHAWALA,317081.5489,1567729.676,837180.8564,730548.82,1341152.593,1055952.626,306650.7905,9689.787308,125249.4929,75637.2695,872.6296288,85.5474393,19.5601828,67.35552958,3.055929095,39.50071938,23.85420084
6,KASHMIRI GATE,102600.3211,518510.2892,276034.7837,242475.5055,435052.635,342733.0293,72448.66602,4235.411479,24648.49485,13894.84191,878.4237343,83.90433982,13.97246449,66.09956186,4.128068446,24.02379894,13.54268853
7,LODHI ROAD,153667.7657,712859.9224,380361.1709,332498.7515,632795.7007,455544.3739,89642.16678,4966.567231,62933.17241,53911.51971,874.1658639,88.76858985,12.57500442,63.90377122,3.232016297,40.95404922,35.08316755
8,MEHRAULI,200536.3367,961980.3119,515547.0325,446433.2794,836493.6335,635713.9619,169794.7898,4347.161602,72811.93555,49399.54408,865.940935,86.95537977,17.65054729,66.08388488,2.167767534,36.3085996,24.63371222
9,NAJAFGARH,206602.2504,1012496.068,540872.504,471623.5638,890483.2674,689847.4629,138883.7572,4255.635076,93034.51591,50614.61303,871.9680891,87.94930624,13.71696756,68.13334736,2.059820291,45.03073694,24.49857779
10,NARAINA,180389.9969,833472.8027,451075.2861,382397.5166,730375.1842,526888.1968,109829.7296,6213.689361,78282.44281,57456.81323,847.7465477,87.630356,13.17736214,63.21600358,3.444586433,43.39622159,31.85144088
11,NARELA,47313.52428,239301.5661,129879.6602,109421.9059,194679.9166,163908.4526,45885.53822,2460.303262,15282.26834,5630.309389,842.486851,81.35338174,19.17477556,68.49451731,5.2,32.3,11.9
12,OKHLA,152399.7362,726441.7621,392859.8756,333581.8866,618887.5052,487999.2952,117069.0673,4609.376676,45688.90925,27579.97429,849.1116231,85.19437309,16.11540985,67.17665759,3.024530613,29.97965113,18.09712731
13,PAPPANKALAN-1,196443.935,918899.5358,492468.6651,426430.8706,807228.9872,601065.8797,123932.745,4907.230777,79794.40909,51399.17561,865.9045758,87.84736043,13.48708321,65.41149019,2.498031195,40.61943123,26.16480656
14,PAPPANKALAN-2,115139.5404,548351.8079,294098.9669,254252.841,484021.7872,366346.923,70714.77299,2414.719137,49513.71999,29726.75246,864.5145669,88.26847659,12.89587669,66.80873807,2.097211027,43.00322881,25.81802252
15,PARK STREET,99395.38903,450834.4499,242564.571,208269.8789,398734.16,281910.5432,107337.6022,2765.229323,35645.95785,28089.40158,858.6162355,88.44358723,23.80865133,62.53083438,2.782049901,35.8627882,28.26026625
16,PATPARGANJ,139145.8259,657050.3799,349355.7592,307694.6207,585902.9387,434313.1565,107871.0656,2687.357812,53171.93616,39632.15928,880.7486713,89.17169165,16.41747253,66.10043457,1.931324777,38.21310184,28.48246365
17,ROHINI,171142.7831,843899.703,450777.7827,393121.9203,721457.0542,567585.711,161113.7846,5375.374656,67448.69783,39941.3439,872.0969298,85.49085296,19.09157973,67.25748439,3.140871359,39.41077539,23.33802406
18,SARITA VIHAR,107698.6623,507764.8888,274703.6173,233061.2715,434060.1586,338775.7093,74399.33042,3638.276708,33083.95436,21983.66957,848.409911,85.48447681,14.65231883,66.71901047,3.378200463,30.71900214,20.41220301
19,SHALIMARBAGH,169011.2639,835543.1379,447843.8185,387699.3193,706558.5821,561172.5181,154128.6558,5500.700551,60692.74,35327.29086,865.7020668,84.56278917,18.44652284,67.16260271,3.254635474,35.91047046,20.90232925
20,SOW,259292.9586,1428432.38,757983.1384,670449.2415,1186433.995,1007425.298,235797.433,5253.763946,83182.0288,31215.11062,884.5173561,83.05846406,16.50742704,70.52663552,2.026188437,32.08032692,12.03854928
21,SUBZI MANDI,136131.6524,662339.0314,352876.4971,309462.5343,571324.6527,436237.0935,143044.1234,4011.260408,46266.90213,28520.29839,876.9712262,86.25864182,21.5968132,65.86311131,2.946603775,33.98688058,20.95052685
22,VASANT KUNJ,103695.4469,446407.5967,247245.7018,199161.8949,393172.4894,273412.1822,68020.4756,3394.958622,33730.63021,30398.16721,805.5221725,88.07477569,15.23730244,61.24720643,3.273970772,32.52855476,29.31485241
