"","id_grid","X","id_discom","id_subdiv","x","y","area_intersection","id_intersect","area_subdiv","area_discom","weight_in_subdiv","weight_in_discom","area_grid","weight_in_grid"
"1","BAWANA",152,"NDPL","Saraswati Vihar",-1074570.66447816,3292497.26438902,8020480.36901717,134,154625990.987483,529592854.173835,0.0518701954166711,0.0151446159173147,126292974.814758,0.0635069399606852
"2","BAWANA",157,"NDPL","Narela",-1067223.36624494,3292085.99661641,118272494.445741,128,273957195.070175,529592854.173835,0.431718883730887,0.223327209786933,126292974.814758,0.936493060039315
"3","GAZIPUR",82,"BYPL","Preet Vihar",-1042798.12969597,3268058.74410813,15829230.6980815,121,56404279.9631173,186262579.403726,0.280638822238883,0.0849834182945115,21487017.8081157,0.736688117422362
"4","GAZIPUR",93,"BYPL","Vivek Vihar",-1042452.78808696,3273253.81418588,5657787.11003418,96,25057350.4009447,186262579.403726,0.225793510467127,0.0303753288940065,21487017.8081157,0.263311882577638
"5","GEETA COLONY",91,"BYPL","Seemapuri",-1042342.9443061,3276525.03216908,3750279.10358142,97,8752612.4752948,186262579.403726,0.428475396822034,0.0201343668469911,38467860.3019936,0.0974912322686964
"6","GEETA COLONY",97,"BYPL","Vivek Vihar",-1045186.77220532,3274380.01486805,17117472.0523762,94,25057350.4009447,186262579.403726,0.683131766865935,0.0918996832706475,38467860.3019936,0.444981132768882
"7","GEETA COLONY",67,"BYPL","Kotwali",-1049473.21592044,3273268.46789186,7339.85447246768,87,3511727.46757499,186262579.403726,0.00209009797606424,3.94059531225458e-05,38467860.3019936,0.000190804854100172
"8","GEETA COLONY",88,"BYPL","Daryaganj",-1050384.08677216,3271401.53861817,326195.131079388,100,6992759.26330147,186262579.403726,0.0466475562502608,0.00175126497294101,38467860.3019936,0.0084796796213405
"9","GEETA COLONY",81,"BYPL","Seelampur",-1047793.85152599,3275657.1750539,851539.280457055,89,45433670.2428217,186262579.403726,0.0187424717375016,0.00457171420680982,38467860.3019936,0.0221363827821982
"10","GEETA COLONY",89,"BYPL","Shahdara",-1045530.84897184,3276056.45080939,3305232.75420664,123,5560166.02696866,186262579.403726,0.594448571890688,0.0177450176239776,38467860.3019936,0.0859219288065094
"11","GEETA COLONY",57,"BYPL","Preet Vihar",-1047698.04466476,3272237.56104773,9777397.50111273,120,56404279.9631173,186262579.403726,0.173344957288811,0.0524925485967857,38467860.3019936,0.254170557560386
"12","GEETA COLONY",56,"BYPL","Gandhi Nagar",-1049413.06646163,3270603.28177625,3332404.62470768,109,6171605.41213555,186262579.403726,0.53995749925214,0.0178908970088118,38467860.3019936,0.0866282813378882
"13","GOPALPUR",126,"NDPL","Saraswati Vihar",-1056038.77313629,3279659.54527125,722496.22390768,136,154625990.987483,529592854.173835,0.00467254062071729,0.00136424843766968,64899462.439273,0.0111325455828502
"14","GOPALPUR",144,"NDPL","Seelampur",-1050693.49908173,3287565.25483197,3256421.56772162,154,45433670.2428217,529592854.173835,0.0716741911960352,0.00614891523187494,64899462.439273,0.0501764027825143
"15","GOPALPUR",133,"NDPL","Civil Lines",-1052494.16125193,3283685.78331021,30034866.3926956,151,59705912.3093206,529592854.173835,0.503046770931042,0.0567131262364747,64899462.439273,0.462790680597693
