"","subdivison","population","perc_scheduled_caste","perc_literacy","perc_tot_workers","perc_main_workers","perc_marginal_workers","perc_female","perc_male_workers","perc_female_workers","perc_male","scheduled_caste","literacy","tot_workers","main_workers","marginal_workers","female","male","female_workers","male_workers","total_household","total_hh_good","total_hh_liveable","total_hh_dilapidated","total_residence_household","res_good","res_liveable","res_dilapidated","other_total_households","other_good","other_liveable","other_dilapidated"
"4","Daryaganj",271108,11.1,82.7,34.4,32.7,1.8,47.1458773784355,57.7,8.4,52.8541226215645,30092.988,224206.316,93261.152,88652.316,4879.944,127816.245243129,143291.754756871,10736.5646004228,82679.3424947146,"114587","65804","45088","3695","110063","63624","42889","3550","4524","2180","2199","145"
"5","Paharganj",174613,30.7,84.2,35.7,33.3,2.5,46.751863684771,57.2,11.3,53.248136315229,53606.191,147024.146,62336.841,58146.129,4365.325,81634.8317358892,92978.1682641108,9224.73598615549,53183.5122470714,"114587","65804","45088","3695","110063","63624","42889","3550","4524","2180","2199","145"
"6","Karol Bagh",136599,43.4,91.1,37.8,36.1,1.6,47.6165531691985,58.5,15,52.3834468308015,59283.966,124441.689,51634.422,49312.239,2185.584,65043.7354635935,71555.2645364065,9756.56031953902,41859.8297537978,"114587","65804","45088","3695","110063","63624","42889","3550","4524","2180","2199","145"
"7","Gandhi Nagar",395342,9.5,90.5,33.2,32.2,1,47.2295514511873,54.9,8.9,52.7704485488127,37557.49,357784.51,131253.544,127300.124,3953.42,186718.253298153,208623.746701847,16617.9245435356,114534.436939314,"354385","262095","85473","6817","339063","252117","80431","6515","15322","9978","5042","302"
"8","Preet Vihar",1066098,18.3,38.8,34.1,32.4,1.7,46.723494938732,53.1,12.4,53.276505061268,195095.934,413646.024,363539.418,345415.752,18123.666,498118.245071923,567979.754928077,61766.6623889185,301597.249866809,"354385","262095","85473","6817","339063","252117","80431","6515","15322","9978","5042","302"
"9","Vivek Vihar",247906,19.5,89.6,34.4,33.2,1.2,47.2573839662447,54.3,12.2,52.7426160337553,48341.67,222123.776,85279.664,82304.792,2974.872,117153.890295359,130752.109704641,14292.7746160338,70998.3955696202,"354385","262095","85473","6817","339063","252117","80431","6515","15322","9978","5042","302"
"10","Connaught Place",28228,19.6,88.8,45,42.7,2.3,46.1206896551724,62,25.3,53.8793103448276,5532.688,25066.464,12702.6,12053.356,649.244,13018.9482758621,15209.0517241379,3293.7939137931,9429.61206896552,"30385","20520","8744","1121","29788","20315","8381","1092","597","205","363","29"
"11","Parliament Street",52394,24.1,89.7,40.1,38.5,1.5,45.1754385964912,58.5,17.7,54.8245614035088,12626.954,46997.418,21009.994,20171.69,785.91,23669.2192982456,28724.7807017544,4189.45181578947,16803.9967105263,"30385","20520","8744","1121","29788","20315","8381","1092","597","205","363","29"
"12","Chanakyapuri",61382,24.8,87,42.1,39.5,2.6,44.5983379501385,60.9,18.7,55.4016620498615,15222.736,53402.34,25841.822,24245.89,1595.932,27375.351800554,34006.648199446,5119.1907867036,20710.0487534626,"30385","20520","8744","1121","29788","20315","8381","1092","597","205","363","29"
"13","Sadar Bazaar",130188,21.4,81.8,34.5,32.9,1.7,46.3519313304721,58.1,7.3,53.6480686695279,27860.232,106493.784,44914.86,42831.852,2213.196,60344.652360515,69843.347639485,4405.1596223176,40578.9849785408,"175890","105054","64825","6011","167762","100686","61353","5723","8128","4368","3472","288"
"14","Kotwali",69174,12.1,88.1,37,35.1,1.9,45.5930359085963,60.6,8.7,54.4069640914037,8370.054,60942.294,25594.38,24280.074,1314.306,31538.5266594124,37635.4733405876,2743.85181936888,22807.0968443961,"175890","105054","64825","6011","167762","100686","61353","5723","8128","4368","3472","288"
"15","Civil Lines",688616,18.8,87.7,32.8,31.4,1.4,46.6382070437567,52.8,9.9,53.3617929562433,129459.808,603916.232,225866.048,216225.424,9640.624,321158.155816435,367457.844183565,31794.6574258271,194017.741728922,"175890","105054","64825","6011","167762","100686","61353","5723","8128","4368","3472","288"
"16","Seelampur",1378779,12.7,82.6,28.7,27,1.7,46.8367889420521,49.4,5.2,53.1632110579479,175104.933,1138871.454,395709.573,372270.33,23439.243,645775.810207336,733003.189792664,33580.3421307815,362103.575757576,"395060","246444","140641","7975","368430","230662","130228","7540","26630","15782","10413","435"
