,grid,num_of_households,num_of_population,num_of_males,num_of_females,num_literacy,num_nonworkers,num_scheduled_caste,num_dilapidated,num_room_3more,num_tv.pc.ph.car,sex_ratio,percent_literacy,percent_scheduled_caste,percent_nonworkers,percent_dilapidated,percent_room_3more,percent_tv.pc.ph.car
1,BAWANA,92733.51777,466405.002,252128.9636,214276.0385,384482.8146,318259.2156,89587.72727,4279.308206,31628.63341,13938.27428,849.8668119,82.4353969,19.20814033,68.23666432,4.614629434,34.10701349,15.03045998
2,GAZIPUR,75421.7678,355164.0531,188953.7775,166210.2756,315806.1345,233976.1812,65809.26286,1346.271888,29641.42141,22491.09116,879.6345738,88.91838342,18.52925776,65.87833965,1.784991161,39.30088392,29.82042428
3,GEETA COLONY,205257.2225,1040699.002,550132.6661,490566.3355,907154.7594,702691.0285,184162.0576,4295.759825,77948.80127,49353.94616,891.7236983,87.1678322,17.69599638,67.521063,2.092866586,37.97615514,24.04492546
4,GOPALPUR,158406.4342,794506.2533,424673.7691,369832.4842,678184.6628,535308.0611,141018.3925,4530.58892,50958.20821,28710.91858,870.8625565,85.35926055,17.74918598,67.3761923,2.860104101,32.16927928,18.12484368
5,KANJHAWALA,241702.609,1195656.847,638608.6371,557048.2103,1024209.092,806598.4993,231014.2308,7039.664803,95210.83335,58392.02653,872.2841784,85.66078924,19.32111469,67.46070171,2.912531574,39.3917276,24.15862483
6,KASHMIRI GATE,195833.9963,959404.3268,510355.6987,449048.6282,817782.5241,626080.2372,192985.8328,6654.484606,59062.44503,37223.79828,879.8738397,85.23856952,20.11517224,65.25718299,3.398023189,30.1594443,19.00783265
7,LODHI ROAD,117434.9396,546735.6873,291342.4183,255393.269,485561.4653,350257.7223,66035.33856,3851.542079,49586.65052,42465.67767,876.6085983,88.81100623,12.07811015,64.06344608,3.279724154,42.2247848,36.16102484
8,MEHRAULI,200536.3367,961980.3119,515547.0325,446433.2794,836493.6335,635713.9619,169794.7898,4347.161602,72811.93555,49399.54408,865.940935,86.95537977,17.65054729,66.08388488,2.167767534,36.3085996,24.63371222
9,NAJAFGARH,271228.8589,1331509.562,711130.2793,620379.2828,1162266.586,903675.0984,203655.7546,6518.67365,118782.9952,65419.07676,872.3848511,87.28939087,15.29510267,67.8684648,2.403384978,43.79437928,24.11951185
10,NARAINA,43299.10069,194334.165,108379.1508,85955.01429,170541.5411,120391.2346,34607.21529,2168.415523,14139.76981,10315.44436,793.0954772,87.75684967,17.80809632,61.95062746,5.007992055,32.65603576,23.82369193
11,NARELA,47313.52428,239301.5661,129879.6602,109421.9059,194679.9166,163908.4526,45885.53822,2460.303262,15282.26834,5630.309389,842.486851,81.35338174,19.17477556,68.49451731,5.2,32.3,11.9
12,OKHLA,152399.7362,726441.7621,392859.8756,333581.8866,618887.5052,487999.2952,117069.0673,4609.376676,45688.90925,27579.97429,849.1116231,85.19437309,16.11540985,67.17665759,3.024530613,29.97965113,18.09712731
13,PAPPANKALAN-1,393650.4466,1851286.875,991437.1302,859849.7453,1618565.94,1203608.686,254202.2777,10849.10856,167829.7024,112316.4525,867.2761178,87.42923431,13.73111218,65.0147042,2.756025976,42.63419586,28.53202721
14,PAPPANKALAN-2,115139.5404,548351.8079,294098.9669,254252.841,484021.7872,366346.923,70714.77299,2414.719137,49513.71999,29726.75246,864.5145669,88.26847659,12.89587669,66.80873807,2.097211027,43.00322881,25.81802252
15,PARK STREET,65726.62701,291227.3322,158405.985,132821.3473,256603.0526,176966.0459,62500.52348,2276.624315,19620.32355,19034.4077,838.4869252,88.11091,21.4610775,60.76560345,3.4637778,29.85140793,28.95996428
16,PATPARGANJ,160599.4124,757612.6898,402849.211,354763.4788,675588.1025,499535.9947,120915.4749,3295.916938,61988.42075,46840.84998,880.6359033,89.17328228,15.96006463,65.93553691,2.05225965,38.59816162,29.16626486
17,ROHINI,127129.747,628750.668,336113.7062,292636.9618,536948.4952,423905.0996,120883.577,3941.90528,49725.03665,29743.60642,870.6487012,85.39927232,19.22599579,67.42022254,3.100694663,39.11361252,23.39626021
18,SARITA VIHAR,99027.57873,467441.148,253220.2813,214220.8668,398212.037,312647.9396,68489.30686,3406.26437,29557.39383,19055.40915,845.986213,85.18976958,14.6519636,66.88498455,3.439712869,29.84763862,19.24252758
19,SHALIMARBAGH,158360.5566,784657.2471,420782.205,363875.042,662140.9061,527475.3218,146810.5784,5236.306297,56278.09236,32654.51344,864.7586273,84.3860053,18.71015388,67.22366023,3.306572298,35.53794805,20.62035783
20,SOW,307849.8926,1697448.1,901049.221,796398.8794,1410173.925,1198031.543,271844.4078,6242.880196,98720.41587,36390.87474,883.8572421,83.07611434,16.01488775,70.57839015,2.027897474,32.06771165,11.82098017
21,SUBZI MANDI,111806.0268,539719.7613,288821.5402,250898.2211,470148.1564,356717.624,92398.35811,3315.582433,40385.61496,24743.8205,868.6963617,87.10967989,17.1196915,66.09311898,2.96547738,36.12114313,22.13102568
22,VASANT KUNJ,95141.12794,409306.8308,226555.8246,182751.0062,360533.0113,250797.8344,61924.51515,3036.874435,31008.46133,28066.67854,806.6488977,88.08380025,15.12911843,61.27379646,3.19196808,32.59206823,29.50004814
