"","x","y","grid","discom","polyArea"
"1",-1055931.45175082,3270940.96303813,"PARK STREET","NDMC",48.3533084082827
"11",-1062596.5990489,3269673.0036973,"NARAINA","MES",47.534041604247
"12",-1049825.28096769,3258247.08574675,"OKHLA","BRPL",70.1711277526597
"2",-1046536.44923021,3258557.07526008,"SARITA VIHAR","BRPL",37.742177550073
"3",-1051750.45266983,3265861.08150343,"LODHI ROAD","BRPL",43.412366564488
"4",-1062045.65923537,3261235.85017995,"VASANT KUNJ","BRPL",65.7726682515314
"5",-1060862.14112404,3257981.62784596,"MEHRAULI","BRPL",130.598627361275
"6",-1068929.40264883,3269784.32556171,"PAPPANKALAN-1","BRPL",127.465057967678
"7",-1073975.43009373,3270140.64053227,"PAPPANKALAN-2","BRPL",87.2345495737764
"8",-1076882.589218,3272631.90901316,"NAJAFGARH","BRPL",214.845108950197
"13",-1045742.26430562,3269396.06870906,"PATPARGANJ","BYPL",35.9011163252491
"21",-1047532.78623833,3273063.70615689,"GEETA COLONY","BYPL",38.6777946978247
"31",-1050841.10589286,3274764.81902537,"KASHMIRI GATE","BYPL",37.3979692520504
"41",-1042617.62422172,3269059.01018436,"GAZIPUR","BYPL",22.2974057418193
"51",-1048815.47615214,3278836.54542877,"SOW","BYPL",55.1515937297855
"14",-1073473.04907776,3283459.88003826,"KANJHAWALA","NDPL",83.7136396807871
"22",-1059701.64478823,3283327.15692476,"SHALIMARBAGH","NDPL",88.4190655897642
"32",-1063615.64045153,3283277.08740575,"ROHINI","NDPL",55.2035240614531
"42",-1066218.95960429,3291162.68030749,"BAWANA","NDPL",126.398755090373
"52",-1061601.38084533,3299561.51238823,"NARELA","NDPL",83.360497812091
"61",-1053564.22019062,3275886.32613859,"SUBZI MANDI","NDPL",41.261362052234
"71",-1051965.82562793,3280601.23021003,"GOPALPUR","NDPL",54.9822538755025
