"","id_discom","id_subdiv","x","y","area_intersection","id_intersect","grid","area_subdiv","area_discom","weight_in_subdiv","weight_in_discom"
"1","BRPL","Defence Colony",-1049865.29461184,3261853.0160599,1808035.92376686,77,"OKHLA",48638677.707989,770007528.141509,0.0371728017488825,0.00234807564561186
"2","BRPL","Defence Colony",-1051319.08128894,3264706.03595493,32823093.6952542,79,"LODHI ROAD",48638677.707989,770007528.141509,0.674835238990531,0.0426269776536809
"3","BRPL","Defence Colony",-1046966.00807409,3261512.75958188,6969996.32108968,78,"SARITA VIHAR",48638677.707989,770007528.141509,0.143301517424781,0.00905185477590391
"4","BRPL","Chanakyapuri",-1055019.51121775,3265548.34214913,412925.156024229,75,"LODHI ROAD",18948260.9743779,770007528.141509,0.0217922455566024,0.000536261193472829
"5","BRPL","Connaught Place",-1051014.03617152,3269498.58956529,745292.230834578,69,"LODHI ROAD",6119752.00935557,770007528.141509,0.121784711160716,0.000967902525100523
"6","BRPL","Vasant Vihar",-1064257.38116741,3261542.92709129,51713029.4649701,103,"VASANT KUNJ",97787044.6336208,770007528.141509,0.528833135910013,0.0671591219241515
"7","BRPL","Patel Nagar",-1066806.15730593,3274341.62631886,35755937.3773077,26,"PAPPANKALAN-1",55165059.5244373,770007528.141509,0.648162762544801,0.0464358283140533
"8","BRPL","Hauz Khas",-1059581.20816241,3253402.74687974,120746800.720275,93,"MEHRAULI",164380210.216045,770007528.141509,0.734558013775364,0.156812493783937
"9","BRPL","Daryaganj",-1051058.88624498,3270214.91614756,31897.8749876202,56,"LODHI ROAD",6992759.2632897,770007528.141509,0.00456155771800644,4.14254066640217e-05
"10","BRPL","Hauz Khas",-1054189.12210543,3254217.4797827,28938342.7324145,90,"OKHLA",164380210.216045,770007528.141509,0.176045174138546,0.0375818958579017
"11","BRPL","Delhi Cantonment",-1068047.61338078,3265164.44439232,6831572.31634698,97,"PAPPANKALAN-1",74652275.9513713,770007528.141509,0.0915119094399358,0.0088720850987466
"12","BRPL","Kalkaji",-1053240.98438668,3261503.7347919,68661.6775304122,88,"LODHI ROAD",67188380.9448308,770007528.141509,0.00102192784771509,8.91701379805132e-05
"13","BRPL","Hauz Khas",-1055239.31490099,3262442.08593929,6606300.1844363,91,"LODHI ROAD",164380210.216045,770007528.141509,0.0401891454923535,0.00857952674875955
"14","BRPL","Delhi Cantonment",-1060338.99500691,3264791.35447218,7909932.86652227,96,"VASANT KUNJ",74652275.9513713,770007528.141509,0.105957022283886,0.0102725396537534
"15","BRPL","Punjabi Bagh",-1074094.54535763,3278307.02365473,39554909.7574815,21,"NAJAFGARH",74961537.778024,770007528.141509,0.527669401268306,0.0513695104422566
"16","BRPL","Vasant Vihar",-1057097.67776959,3264366.42544902,117516.03233658,102,"LODHI ROAD",97787044.6336208,770007528.141509,0.00120175461664557,0.000152616731709386
"17","BRPL","Kalkaji",-1050704.33536025,3257830.07522028,37841070.2388312,86,"OKHLA",67188380.9448308,770007528.141509,0.563208544493771,0.0491437665942883
"18","BRPL","Patel Nagar",-1072276.27268698,3275133.03273213,53130.724340259,28,"NAJAFGARH",55165059.5244373,770007528.141509,0.000963122759193668,6.90002660993398e-05
"19","BRPL","Najafgarh",-1082906.45146995,3270347.0902817,170896452.502922,110,"NAJAFGARH",269733276.673263,770007528.141509,0.633575710830572,0.221941274931945
"20","BRPL","Rajouri Garden",-1063938.47411433,3273582.06975509,13348391.6609883,33,"PAPPANKALAN-1",13900109.7762597,770007528.141509,0.960308362728639,0.0173354041007962
"21","BRPL","Najafgarh",-1067793.65573891,3269556.67538869,24961944.538731,108,"PAPPANKALAN-1",269733276.673263,770007528.141509,0.0925430664195291,0.0324177928480507
"22","BRPL","Preet Vihar",-1045723.51128063,3262240.55871559,2036.5237062095,81,"SARITA VIHAR",56404279.963122,770007528.141509,3.61058364283883e-05,2.64481012429171e-06
"23","BRPL","Kalkaji",-1045762.23287081,3256962.83946239,29278649.0284692,87,"SARITA VIHAR",67188380.9448308,770007528.141509,0.435769527658514,0.0380238477656656
"24","BRPL","Hauz Khas",-1057708.68543996,3261866.27301389,5293898.63017118,92,"VASANT KUNJ",164380210.216045,770007528.141509,0.0322052065952063,0.00687512580941714
"25","BRPL","Vasant Vihar",-1070447.00852398,3264657.26774456,18742642.6816893,105,"PAPPANKALAN-1",97787044.6336208,770007528.141509,0.191667953069984,0.0243408564159451
"26","BRPL","Najafgarh",-1076389.5266265,3266402.35909225,70031651.2388024,109,"PAPPANKALAN-2",269733276.673263,770007528.141509,0.259632968177056,0.0909493072201916
"27","BRPL","Saraswati Vihar",-1060043.21782351,3277970.2802753,296667.964564391,7,"PAPPANKALAN-1",154625990.9875,770007528.141509,0.00191861641545356,0.000385279304061389
"28","BRPL","Preet Vihar",-1049619.2504868,3268041.95599776,2375809.07963499,82,"LODHI ROAD",56404279.963122,770007528.141509,0.0421210780669185,0.00308543617147386
"29","BRPL","Saraswati Vihar",-1074429.57936522,3280900.96139348,2989720.12455284,8,"NAJAFGARH",154625990.9875,770007528.141509,0.019335171955629,0.00388271544795002
"30","BRPL","Gandhi Nagar",-1050548.40924944,3269498.72802538,218696.830571111,65,"LODHI ROAD",6171605.41212459,770007528.141509,0.0354359710265119,0.000284019081084776
"31","BRPL","Punjabi Bagh",-1066845.21099538,3277832.93113174,27272975.5360611,19,"PAPPANKALAN-1",74961537.778024,770007528.141509,0.363826254696399,0.0354191024623969
"32","BRPL","Patel Nagar",-1071836.72888401,3273777.2554533,5053100.38268304,27,"PAPPANKALAN-2",55165059.5244373,770007528.141509,0.0915996543146045,0.00656240387010139
"33","BRPL","Vasant Vihar",-1072947.11529202,3264294.38569927,10906532.2838254,106,"PAPPANKALAN-2",97787044.6336208,770007528.141509,0.111533509624808,0.0141641891607858
"34","BRPL","Vasant Vihar",-1064400.20181483,3256858.8968515,8766427.8923021,104,"MEHRAULI",97787044.6336208,770007528.141509,0.089648152525187,0.0113848599811235
"35","BRPL","Patel Nagar",-1058260.89088503,3276710.60925187,12173.8028785307,25,"LODHI ROAD",55165059.5244373,770007528.141509,0.000220679592906773,1.58099790373653e-05
"36","BRPL","Punjabi Bagh",-1072958.29967883,3274015.75405867,631312.144205735,20,"PAPPANKALAN-2",74961537.778024,770007528.141509,0.00842181421191192,0.00081987788577791
"37","BYPL","Preet Vihar",-1047698.04466469,3272237.56104768,9777397.50169216,84,"GEETA COLONY",56404279.963122,186262579.40374,0.17334495729907,0.0524925485998925
