"","grid","grid_area","grid_area_km2"
"1","KANJHAWALA",118849831.732301,118.849831732301
"2","SHALIMARBAGH",91173957.3033925,91.1739573033925
"3","ROHINI",73018882.4782523,73.0188824782523
"4","BAWANA",127702546.766811,127.702546766811
"5","NARELA",83039722.2771792,83.0397222771792
"6","OKHLA",71216655.2147752,71.2166552147752
"7","SARITA VIHAR",44962723.2063355,44.9627232063355
"8","LODHI ROAD",61599726.6766139,61.5997266766139
"9","PARK STREET",49050105.972391,49.050105972391
"10","PATPARGANJ",30232043.9760645,30.2320439760645
"11","GEETA COLONY",38490245.9289142,38.4902459289142
"12","KASHMIRI GATE",19506153.7597168,19.5061537597168
"13","NARAINA",69720115.1035501,69.7201151035501
"14","VASANT KUNJ",73030951.9089274,73.0309519089274
"15","MEHRAULI",130657526.34713,130.65752634713
"16","PAPPANKALAN-1",80811582.2687792,80.8115822687792
"17","PAPPANKALAN-2",89049699.1324448,89.0496991324448
"18","NAJAFGARH",186986991.156824,186.986991156824
"19","SUBZI MANDI",34919818.9623217,34.9198189623217
"20","GOPALPUR",66504372.3867694,66.5043723867694
"21","GAZIPUR",23714882.0411202,23.7148820411202
"22","SOW",44245611.7628829,44.2456117628829
