Discom,grid_name,address,Lat,Long,,,
NDPL,GOPALPUR,"Gopalpur, Odisha, India",19.265012,84.872428,,,
NDPL,SUBZI MANDI,"Subzi Mandi, New Delhi, Delhi, India",28.669446,77.204587,,,
NDPL,ROHINI,"Rohini, New Delhi, Delhi, India",28.749472,77.056533,,,
NDPL,SHALIMARBAGH,"Shalimar Bagh, New Delhi, Delhi, India",28.716413,77.154585,,,
NDPL,NARELA,"Narela, New Delhi, Delhi, India",28.85396,77.091784,,,
NDPL,NARAINA,"Naraina, New Delhi, Delhi, India",28.632142,77.138852,,,
NDPL,KASHMIRI GATE,"Kashmere Gate, New Delhi, Delhi, India",28.666472,77.233289,,,
NDPL,KANJHAWALA,"Kanjhawala, New Delhi, Delhi 110081, India",28.734729,77.004176,,,
NDPL,BAWANA,"Bawana, New Delhi, Delhi 110039, India",28.805465,77.046301,,,
BRPL,PAPPANKALAN,"Pappan Kalan, Block D, Matiala, New Delhi, Delhi 110078",28.6112097,77.0433743,,,
BRPL,PAPPANKALAN,"Pappan Kalan, Block D, Matiala, New Delhi, Delhi 110078",28.6112097,77.0433743,,,
BRPL,NAJAFGARH,"Najafgarh, New Delhi, Delhi, India",28.609013,76.985453,,,
BRPL,LODHI ROAD,"Lodhi Road, New Delhi, Delhi, India",28.590983,77.227913,,,
BRPL,OKHLA,"Okhla, New Delhi, Delhi, India",28.564515,77.287897,,,
BRPL,VASANT KUNJ,"Vasant Kunj, New Delhi, Delhi, India",28.527335,77.151545,,,
BRPL,MEHRAULI,"Mehrauli, New Delhi, Delhi, India",28.521208,77.178983,,,
BRPL,SARITA VIHAR,"Sarita Vihar, New Delhi, Delhi, India",28.527958,77.289785,,,
BYPL,PARK STREET,"Park Street, Okeechobee, FL, USA",27.243568,-80.911904,,,
BYPL,SOW,"Show Low Regional Airport (SOW), Apache Sitgreaves National Forest, Show Low, AZ 85901, USA",34.263842,-110.007419,,,
BYPL,PATPARGANJ,"Patparganj, New Delhi, Delhi, India",28.61316,77.288369,,,
BYPL,GEETA COLONY,"Geeta Colony, New Delhi, Delhi, India",28.652089,77.271201,,,
BYPL,GAZIPUR,"Joydebpur, Bangladesh",23.991735,90.419588,,,
