subdiv,subdiv_name,,grid_name,,,,Shankar Road District (SRD),Rajinder Nagar,,
Chanakya Puri,Chanakyapuri,CCK,BAWANA,BWN,,,Krishna Nagar District (KNR),Trans-Yamuna,,
Civil Lines,Civil Lines,CVL,GAZIPUR,,,,Laxmi Nagar District (LNR),,,
Connaught Place,Connaught Place,,GEETA COLONY,,,,Mayur Vihar District (MVR),,,
Darya Ganj,Daryaganj,DRG,GOPALPUR,,,,Jhilmil District (JLM),,,
Defence Colony,Defence Colony,,KANJHAWALA,,,,Yamuna Vihar District (YVR),,,
Delhi Cantonment,Delhi Cantonment,,KASHMIRI GATE,,,,Nand Nagri District (NNG),,,
Gandhi Nagar,Gandhi Nagar,,LODHI ROAD,,,,,,,
Hauz Khas,Hauz Khas,,MEHRAULI,,,,Nehru Place District (NHP),,,
Kalkaji,Kalkaji,,NAJAFGARH,,,,Alaknanda District (ALN),,,
Karol Bagh,Karol Bagh,,NARAINA,,,,Nizamuddin District (NZD),,,
Kotwali,Kotwali,,NARELA,NRL,,,R.K.Puram District (RKP),,,
Model Town,Model Town,,OKHLA,,,,Mehrauli District (MLI),,,
Najafgarh,Najafgarh,,PAPPANKALAN-1,,,,Janakpuri District (JKP),,,
Narela,Narela,NRL,PAPPANKALAN-2,,,,Vikaspuri District (VKP),,,
Pahar Ganj,Paharganj,PHG,PARK STREET,,,,Palam District (PLM),,,
Parliament Street,Parliament Street,,PATPARGANJ,,,,,,,
Patel Nagar,Patel Nagar,,ROHINI,RHN,,,Najafgarh District (NGF),,,
Preet Vihar,Preet Vihar,,SARITA VIHAR,,,,Nangloi District,,,
Punjabi Bagh,Punjabi Bagh,PJB,SHALIMARBAGH,SMB,,,,,,
Rajouri Garden,Rajouri Garden,,SOW,,,,Kesav Puram District (KPM),,,
Sadar Bazar,Sadar Bazaar,,SUBZI MANDI,,,,Pitampura District (PPR),,,
Saraswati Vihar,Saraswati Vihar,,VASANT KUNJ,,,,Moti Nagar District (MTN ),,,
Seelam Pur,Seelampur,,,,,,Shakti Nagar District (SKN),,,
Seema Puri,Seemapuri,,,,,,,,,
Shahdara,Shahdara,,,,,,Mangol Puri District (MGP),,,
Vasant Vihar,Vasant Vihar,,,,,,Shalimar Bagh District (SMB),,,
Vivek Vihar,Vivek Vihar,,,,,,,,,
