"","district","subdiv","num_of_households","num_of_population","num_of_males","num_of_females","sex_ratio","percent_literacy","percent_scheduled_caste","percent_nonworkers","percent_dilapidated_hh","percent_room_3more","percent_tv.pc.ph.car","num_literacy","num_scheduled_caste","num_nonworkers","num_dilapidated","num_room_3more","num_tv.pc.ph.car"
"1","Central","Darya Ganj",53125,271108,143293,127815,891.9835582,82.67630065,11.14352952,65.56353925,4.8,18.2,11.2,224142.065166202,30211.0000110816,177747.99998989,2550,9668.75,5950
"2","Central","Karol Bagh",30496,136599,71544,65055,909.3005703,91.05239769,43.44980564,62.21934275,0.8,47.4,37.1,124376.664720563,59352.0000061836,84991.0000030725,243.968,14455.104,11314.016
"3","Central","Pahar Ganj",36018,174613,92984,81629,877.8822163,84.23531531,30.70504487,64.26039298,3.1,29.1,19.2,147085.81112225,53614.9999988531,112206.999994167,1116.558,10481.238,6915.456
"4","East","Gandhi Nagar",80389,395342,208645,186697,894.8069688,90.50562787,9.475593284,66.81101426,2.4,39.1,25.6,357806.759333815,37461.0000008313,264131.999995769,1929.336,31432.099,20579.584
"5","East","Preet Vihar",228414,1066098,568086,498012,876.6489581,88.79384198,18.34165339,65.92545901,1.8,37.8,29.1,946629.37347194,195539.999957722,702829.99999643,4111.452,86340.492,66468.474
"6","East","Vivek Vihar",50134,247906,130769,117137,895.7551102,89.58405538,19.53200003,65.62648746,1.7,47.8,33.9,222084.248330343,48420.9999943718,162692.000002588,852.278,23964.052,16995.426
"7","New Delhi","Chanakya Puri",15074,61382,34005,27377,805.0874871,86.97959921,24.59189991,57.91925972,4.5,17.9,23.2,53389.8175870822,15095.0000027562,35552.0000013304,678.33,2698.246,3497.168
"8","New Delhi","Connaught Place",6814,28228,15208,13020,856.1283535,88.84118512,19.60464787,54.95961457,1.3,30.8,36.7,25078.0897356736,5534.0000007436,15514.0000008196,88.582,2098.712,2500.738
"9","New Delhi","Parliament Street",11320,52394,28729,23665,823.7321174,89.65,24.07909303,59.92480055,4.1,24.9,30.3,46971.221,12616.0000021382,31397.000000167,464.12,2818.68,3429.96
"10","North","Civil Lines",139116,688616,367522,321094,873.6728686,87.68059734,18.79000778,67.19129384,3,31.3,17.4,603782.622178814,129390.999974325,462689.999989254,4173.48,43543.308,24206.184
